TimeStep,CellId,Orientation,label,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2,InstantaneousGrowthRate,InstantaneousVelocity
1.0,0.0,2.0988708442106963,1.0,103.27979278564453,79.1632080078125,19.866910934448242,7.414102077484131,0.0,,,0.147,0.08
1.0,1.0,1.8925468662621197,2.0,111.60000610351562,85.20000457763672,18.34120750427246,8.221921920776367,0.0,,,-0.001,0.152
1.0,2.0,0.5880025328719031,3.0,99.4615249633789,96.80769348144531,21.0786075592041,9.15255355834961,0.0,44.0,3.0,-0.111,0.099
2.0,0.0,2.0032040724530837,1.0,103.65120697021484,79.33902740478516,20.603696823120117,7.0541462898254395,0.0,,,0.002,0.011
2.0,1.0,2.034443917435608,2.0,112.10001373291016,85.80001068115234,18.335756301879883,8.049844741821289,0.0,,,0.064,-0.022
2.0,2.0,0.5880025328719031,3.0,100.0769271850586,96.88461303710938,20.523906707763672,8.59785270690918,0.0,44.0,3.0,0.278,-0.024
3.0,0.0,1.9756881256228167,1.0,103.69828033447266,79.37069702148438,20.6151123046875,7.353161334991455,0.0,,,0.265,0.027
3.0,1.0,1.8925468662621197,2.0,112.15000915527344,85.55000305175781,18.657434463500977,7.589465618133545,0.0,,,0.025,0.058
3.0,2.0,0.4636475906407117,3.0,99.69999694824219,97.0999984741211,21.913463592529297,8.497057914733887,0.0,44.0,3.0,0.268,0.07
4.0,0.0,2.0607536853186645,1.0,103.98096466064453,79.22319030761719,21.941177368164062,7.470588207244873,0.0,,,0.351,0.0
4.0,1.0,2.034443917435608,2.0,112.40000915527344,85.70000457763672,18.782970428466797,7.602630138397217,0.0,,,0.0,-0.088
4.0,2.0,0.4636475906407117,3.0,99.70001220703125,97.60000610351562,23.25510597229004,8.497057914733887,0.0,44.0,3.0,0.268,-0.043
5.0,0.0,2.083185757496511,1.0,104.28932189941406,78.81898498535156,23.695959091186523,7.735232353210449,0.0,,,0.476,-0.026
5.0,1.0,2.034443917435608,2.0,112.0,85.5,18.782970428466797,7.602630138397217,0.0,,,0.447,0.047
5.0,2.0,0.4636475906407117,3.0,99.50000762939453,97.5,24.59674835205078,8.497057914733887,0.0,44.0,3.0,0.984,-0.015
6.0,0.0,2.1451012234951135,1.0,105.15000915527344,77.45000457763672,26.076061248779297,7.852450370788574,0.0,,,0.162,0.072
6.0,1.0,2.034443917435608,2.0,112.90000915527344,84.70000457763672,21.0190372467041,7.602630138397217,0.0,,,-0.358,-0.011
6.0,2.0,0.4636475906407117,3.0,99.10000610351562,97.80000305175781,29.516094207763672,8.497057914733887,0.0,44.0,3.0,0.268,-0.043
7.0,0.0,2.173083589700794,1.0,105.55701446533203,77.5079574584961,26.884363174438477,7.673890113830566,0.0,,,0.223,0.032
7.0,1.0,2.034443917435608,2.0,112.30001068115234,85.4000015258789,19.230182647705078,7.155416965484619,0.0,,,0.161,0.015
7.0,2.0,0.4636475906407117,3.0,98.90000915527344,97.70000457763672,30.857736587524414,8.497057914733887,0.0,44.0,3.0,0.537,-0.085
8.0,0.0,2.2142974057293423,1.0,106.20000457763672,76.90000915527344,28.0,8.199999809265137,0.0,,,0.165,0.006
8.0,1.0,2.1293956304405346,2.0,112.63483428955078,85.08428192138672,20.033960342407227,7.525985240936279,0.0,,,0.111,-0.026
8.0,2.0,0.4636475906407117,3.0,98.5,97.50000762939453,33.541019439697266,8.497058868408203,0.0,44.0,3.0,0.751,0.011
9.0,0.0,2.1962813872710654,1.0,106.45233154296875,76.60445404052734,28.824153900146484,7.746491432189941,0.0,,,0.117,-0.053
9.0,1.0,2.089942463498151,2.0,112.67693328857422,84.81538391113281,20.589765548706055,7.442083358764648,0.0,,,0.272,-0.032
9.0,2.0,0.507098528563954,3.0,98.40565490722656,97.66980743408203,37.29737854003906,8.935829162597656,0.0,44.0,3.0,0.467,-0.045
10.0,0.0,2.1708465343851273,1.0,106.388671875,76.23961639404297,29.406999588012695,7.688388824462891,0.0,,,1.33,-0.103
10.0,1.0,2.1112157942857044,2.0,112.64704895019531,84.58822631835938,21.951818466186523,7.545937538146973,0.0,,,1.245,-0.067
10.0,2.0,0.5485493659295196,3.0,98.09213256835938,97.66741943359375,39.63019943237305,8.438009262084961,0.0,44.0,3.0,,
11.0,0.0,2.158798926245827,1.0,107.38459777832031,73.9230728149414,36.055511474609375,8.875203132629395,0.0,,,,
11.0,1.0,2.034443917435608,2.0,113.70000457763672,82.60000610351562,28.17445945739746,7.155417442321777,0.0,,,,
11.0,3.0,0.4636475906407117,3.0,108.80000305175781,103.89999389648438,22.807889938354492,8.049844741821289,2.0,,,,
11.0,44.0,0.7853981633974483,3.0,87.75000762939453,89.75000762939453,24.748737335205078,8.485280990600586,2.0,,,0.421,-0.687
12.0,4.0,2.086345331813781,4.0,107.10304260253906,74.6417236328125,38.94799041748047,9.222234725952148,0.0,,,,
12.0,5.0,2.007423518305178,5.0,113.77373504638672,82.12773895263672,30.870637893676758,7.793175220489502,0.0,,,,
12.0,6.0,0.32175053946722293,6.0,108.1500015258789,104.05000305175781,25.61444854736328,8.221921920776367,0.0,,,,
12.0,44.0,0.9505467747057146,3.0,85.52027130126953,87.12837982177734,26.85320472717285,8.137334823608398,2.0,,,0.617,-0.009
13.0,7.0,2.093199742537913,7.0,106.65655517578125,75.9386215209961,43.40990447998047,9.21771240234375,0.0,,,,
13.0,8.0,2.034443917435608,8.0,114.10000610351562,82.30000305175781,34.435447692871094,7.602630138397217,0.0,,,,
13.0,9.0,0.08314123439356214,9.0,108.5,104.5,29.148963928222656,8.055412292480469,0.0,,,,
13.0,44.0,1.1659044946774626,3.0,85.52587127685547,87.06034851074219,29.937870025634766,8.797532081604004,2.0,,,0.551,0.09
14.0,10.0,2.034443917435608,10.0,114.30001831054688,81.4000015258789,38.013153076171875,8.049844741821289,0.0,,,,
14.0,11.0,2.057695544149413,11.0,106.04729461669922,77.46621704101562,45.59305953979492,9.357754707336426,0.0,,,,
14.0,12.0,3.030935513977856,12.0,109.92682647705078,104.34146881103516,32.46687316894531,8.171934127807617,0.0,,,,
14.0,44.0,1.1659044946774626,3.0,85.76725006103516,87.4569091796875,32.695308685302734,8.66622543334961,2.0,,,0.683,0.249
15.0,13.0,2.034443917435608,13.0,114.20001983642578,81.60000610351562,41.14365005493164,8.049844741821289,0.0,,,,
15.0,14.0,2.054243321717857,14.0,105.3833999633789,78.88877868652344,49.648677825927734,9.252408027648926,0.0,45.0,21.0,-3.615,0.348
15.0,15.0,2.819842180701597,15.0,110.15000915527344,105.45001220703125,37.94733428955078,7.905694484710693,0.0,46.0,22.0,-2.67,-0.515
15.0,44.0,1.2793395776224612,3.0,85.87615203857422,89.087158203125,36.11005401611328,8.907784461975098,2.0,,,1.786,0.185
16.0,14.0,1.7681918907414147,14.0,93.09616088867188,95.51923370361328,31.574697494506836,6.6679487228393555,0.0,45.0,21.0,0.662,-0.223
16.0,15.0,2.677945096238595,15.0,94.10001373291016,116.70001220703125,24.59674835205078,7.602630138397217,0.0,46.0,22.0,0.507,0.001
16.0,16.0,1.9513027246539383,16.0,118.55171966552734,71.62068939208984,28.225692749023438,7.427813529968262,0.0,48.0,25.0,0.446,-0.137
16.0,17.0,1.961403362299309,17.0,106.91864013671875,74.05474090576172,30.29680633544922,7.288639068603516,0.0,49.0,20.0,0.656,0.071
16.0,18.0,2.356194490192345,18.0,104.50000762939453,97.0,24.748737335205078,7.77817440032959,0.0,51.0,24.0,0.711,0.292
16.0,19.0,2.677945096238595,19.0,116.70000457763672,102.39999389648438,24.149534225463867,7.602630138397217,0.0,53.0,23.0,0.181,-0.043
16.0,44.0,1.6001996163584051,3.0,82.41053771972656,93.54148864746094,45.039344787597656,7.908344745635986,2.0,,,-0.16,-0.079
17.0,14.0,1.7506498150886307,14.0,93.04400634765625,94.00800323486328,34.88266372680664,6.708204746246338,0.0,45.0,21.0,-0.002,0.043
17.0,15.0,2.843093707546861,15.0,92.61891174316406,117.88648223876953,27.129423141479492,8.234405517578125,0.0,46.0,22.0,0.761,0.162
17.0,16.0,1.9513027246539383,16.0,118.96551513671875,69.5862045288086,30.45403480529785,7.056422710418701,0.0,48.0,25.0,0.528,-0.047
