Cell_lable,NumberOfDivision
0,0
1,1
2,6
3,1
4,1
5,0
6,0
7,2
8,0
9,0
10,0
11,0
12,1
13,1
14,0
15,1
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
