CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
1.0,1.0,29.617602698106896,31.657640987874732,0.014,5.0,0.172,-1.9221856355726676
2.0,1.0,18.280673445363668,31.926774369154842,0.019,15.0,0.476,-1.2716637080494264
3.0,1.0,18.60808490606749,37.624078420044114,-0.012,20.0,0.575,-1.3095425987967073
4.0,1.0,33.33891479810414,38.70987382540264,0.177,5.0,0.464,-0.8020441632839462
5.0,1.0,32.479669977696275,53.89595191697661,-0.04,10.0,0.988,-0.7841882488508622
6.0,1.0,30.274276340297654,38.50716664098821,0.14,6.0,0.754,-0.4521002871253543
7.0,1.0,27.27765935706335,63.4552670589003,-0.121,13.0,1.517,-0.7575273531363049
8.0,1.0,46.24100665020423,54.76637462154449,0.137,5.0,0.766,-0.6651170383305521
9.0,1.0,50.302246669198574,61.055152874470664,-0.035,5.0,0.9,-0.7295699744352198
10.0,1.0,43.19590899298414,46.41494647342586,0.062,3.0,0.44,-0.38857869555717905
11.0,1.0,36.986027249464215,47.57043092487876,0.044,6.0,1.064,-0.7626611251161504
12.0,1.0,49.58448235833864,57.356734124103355,0.064,4.0,0.844,-0.818721144811923
13.0,1.0,44.61585276687968,49.20669355683765,0.221,3.0,0.629,-0.5704953825815847
14.0,1.0,55.72762747040484,60.625160246954785,-0.009,3.0,0.66,-0.5600512852950049
15.0,1.0,45.16844533690725,53.544308671335344,-0.001,5.0,0.713,-0.5045944830391853
16.0,1.0,29.65758953083874,42.29883207084982,0.831,7.0,0.842,-0.2762120896450999
17.0,1.0,25.752152382990836,32.772806545151866,-0.015,5.0,0.761,-0.2507547477741205
18.0,1.0,30.13978077229194,30.350640296719916,0.018,2.0,0.042,-0.32743051627519637
19.0,1.0,21.33185354799503,22.22604596175512,0.252,2.0,0.179,-0.7376965790240165
20.0,1.0,29.2671886521469,40.622525846271316,0.57,6.0,0.757,-0.5693988765786627
21.0,1.0,29.43953004003667,42.468785573843356,0.224,6.0,0.882,-0.4356169870953279
22.0,1.0,30.866891760029763,43.21637271325385,-0.011,5.0,0.979,-0.6537969529811065
23.0,1.0,39.251010175268085,45.69195272566253,-0.022,3.0,1.029,-0.5125946438323845
24,1,37.662796189212976,,,1,NaN,-0.5924669419758656
25,1,32.127898485940946,,,1,NaN,-0.7591679133360358
26.0,1.0,35.89723498319878,38.3344954578116,1.218,4.0,0.25,-0.3552691500314261
27.0,1.0,49.74122364630616,54.83575288353854,0.704,3.0,0.711,-0.46720460620949417
28.0,1.0,29.727031726836024,34.43389500150959,1.027,4.0,0.492,-0.36848442393502046
29.0,1.0,43.042698260411655,47.694107361779636,0.142,3.0,0.618,-0.6637968317439087
30.0,1.0,43.71192629550657,51.30013681221416,-0.049,4.0,0.764,-0.5573384187207118
31.0,1.0,36.71985602064648,41.18208674890147,0.037,4.0,0.478,-0.44246722803685695
32.0,1.0,25.168189382613697,27.613953482275917,0.396,3.0,0.363,-0.24263133576799276
33.0,1.0,23.960934259784757,26.474187175218873,0.143,3.0,0.331,-0.4459093330093305
34.0,1.0,33.70019966749421,37.80449411565738,0.344,3.0,0.525,-0.5892956183625405
35.0,1.0,39.27980950649332,43.36228557924748,-0.0,3.0,0.542,-0.6444911809067784
36.0,1.0,28.582102741155097,30.90006831996172,-0.024,3.0,0.292,-0.4175382666886949
37.0,1.0,30.711109445433905,32.74063810920661,0.151,3.0,0.282,-0.5048819890076007
38,1,32.434939411427145,,,1,NaN,-0.48885505049736905
39,1,29.39084943471354,,,1,NaN,-0.17913242650201902
40,1,32.992593695591935,,,1,NaN,-0.19132684539627387
41,1,31.741461904199586,,,1,NaN,-0.44658565172926945
42,1,108.9168400033318,,,1,NaN,-0.6713349461601551
43,1,26.971098631215877,,,1,NaN,-0.5920074310168967
44,1,28.68192309513919,,,1,NaN,-0.6964495331717816
45,1,29.694691959813248,,,1,NaN,-0.7544981972697923
46,1,30.01764814117237,,,1,NaN,-0.5074256849433626
47,1,28.879413446015747,,,1,NaN,-0.5784423215976181
