TimeStep,NumberOfCells
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,4
20,4
21,4
22,5
23,5
24,5
25,6
26,7
27,9
28,10
29,12
30,14
31,16
32,16
33,17
34,20
35,23
