TimeStep,NumberOfCells
1,1
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,3
11,3
12,4
13,4
14,4
15,6
16,7
17,8
18,8
19,8
20,11
21,12
22,14
23,14
24,15
25,16
26,22
27,28
28,30
