ImageNumber,ObjectNumber,Children_FilterObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,1,97.08614232209737,73.02621722846442,0,1
1,2,1,101.60984848484848,80.74621212121212,0,2
2,1,1,95.50819672131148,74.12786885245902,0,1
2,2,1,101.8929889298893,80.58302583025831,0,2
3,1,1,95.60317460317461,73.99365079365079,0,1
3,2,1,101.95698924731182,80.38351254480287,0,2
4,1,1,95.82926829268293,73.8719512195122,0,1
4,2,1,101.8406779661017,80.57966101694915,0,2
5,1,1,96.40634005763688,73.55043227665706,0,1
5,2,1,102.34740259740259,80.2987012987013,0,2
6,1,1,111.72043010752688,66.56451612903226,0,1
6,2,1,105.49453551912568,78.90983606557377,0,2
6,3,1,89.77884615384616,76.5625,0,3
7,1,1,111.83505154639175,66.60309278350516,0,1
7,2,1,104.71717171717172,79.20202020202021,0,2
7,3,1,88.74537037037037,76.78703703703704,0,3
8,1,1,113.17560975609756,66.38536585365854,0,1
8,2,1,105.22117647058823,79.18352941176471,0,2
8,3,1,90.62637362637362,75.85714285714286,0,3
9,1,1,114.09677419354838,65.84331797235023,0,1
9,2,1,118.85067873303167,72.95475113122171,0,2
9,3,1,90.56020942408377,76.34031413612566,0,3
9,4,1,93.64,84.34222222222222,0,4
10,1,1,114.91555555555556,65.47555555555556,0,1
10,2,1,120.65714285714286,72.27755102040817,0,2
10,3,1,89.79710144927536,76.71497584541063,0,3
10,4,1,93.04065040650407,84.5691056910569,0,4
11,1,1,117.78542510121457,64.07692307692308,0,1
11,2,1,127.13157894736842,69.95065789473684,0,2
11,3,1,91.89539748953975,77.4142259414226,0,3
11,4,1,96.37777777777778,85.06984126984128,0,4
12,1,1,118.19622641509434,64.00377358490566,0,1
12,2,1,130.7177177177177,69.1981981981982,0,2
12,3,1,93.00381679389314,77.23664122137404,0,3
12,4,1,97.88011695906432,84.92397660818713,0,4
13,1,1,118.82534246575342,63.8013698630137,0,1
13,2,1,134.69662921348313,68.38483146067416,0,2
13,3,1,93.6037037037037,77.14814814814815,0,3
13,4,1,100.0377358490566,84.3234501347709,0,4
14,1,1,120.26349206349207,63.5015873015873,0,1
14,2,1,139.51776649746193,67.61675126903553,0,2
14,3,1,94.76491228070175,76.87719298245614,0,3
14,4,1,102.0,83.90243902439025,0,4
15,1,1,121.8821752265861,63.17220543806646,0,1
15,2,1,143.25233644859813,66.9766355140187,0,2
15,3,1,95.36363636363636,76.77441077441077,0,3
15,4,1,104.83076923076923,83.20659340659341,0,4
16,1,1,171.471875,59.284375,0,1
16,2,1,138.60476190476192,61.05714285714286,0,2
16,3,1,109.77981651376147,64.88532110091744,0,3
16,4,1,138.376,68.98,0,4
16,5,1,110.34285714285714,73.00714285714285,0,5
16,6,1,88.62573099415205,79.07602339181287,0,6
16,7,1,133.80666666666667,77.88666666666667,0,7
16,8,1,95.73913043478261,85.35451505016722,0,8
16,9,1,74.8780487804878,84.90243902439025,0,9
17,1,1,173.1031518624642,57.722063037249285,0,1
17,2,1,135.635593220339,61.266949152542374,0,2
17,3,1,105.11392405063292,66.19831223628692,0,3
17,4,1,144.68363636363637,69.39636363636363,0,4
17,5,1,114.19607843137256,72.6078431372549,0,5
17,6,1,90.08426966292134,78.63483146067416,0,6
17,7,1,139.6833855799373,77.88087774294671,0,7
17,8,1,97.52852852852853,84.93393393393393,0,8
18,1,1,171.42268041237114,57.44845360824742,0,1
18,2,1,130.2156862745098,62.05490196078431,0,2
18,3,1,96.2007299270073,68.83211678832117,0,3
18,4,1,150.71768707482994,68.91156462585035,0,4
18,5,1,117.46583850931677,71.09316770186335,0,5
18,6,1,91.33854166666667,78.77604166666667,0,6
18,7,1,145.1534090909091,77.52556818181819,0,7
18,8,1,99.23783783783784,84.47837837837838,0,8
19,1,1,170.46943765281173,57.090464547677264,0,1
19,2,1,125.5934065934066,61.35897435897436,0,2
19,3,1,91.36267605633803,70.90845070422536,0,3
19,4,1,154.6042944785276,67.82515337423312,0,4
19,5,1,118.92857142857143,70.4010989010989,0,5
19,6,1,150.7110552763819,76.64070351758794,0,6
19,7,1,91.84102564102564,78.77948717948718,0,7
19,8,1,100.79652605459057,84.06203473945409,0,8
20,1,1,169.3002257336343,57.309255079006775,0,1
20,2,1,121.29896907216495,60.017182130584196,0,2
20,3,1,156.97383720930233,67.74709302325581,0,3
20,4,1,92.77022653721683,70.8284789644013,0,4
20,5,1,119.46913580246914,70.57407407407408,0,5
20,6,1,153.15581395348838,77.44883720930233,0,6
20,7,1,91.68617021276596,79.08510638297872,0,7
20,8,1,103.65207373271889,83.46774193548387,0,8
21,1,1,141.01742160278746,53.52264808362369,0,1
21,2,1,178.75409836065575,56.527868852459015,0,2
21,3,1,106.03951367781156,59.2370820668693,0,3
21,4,1,144.5609756097561,63.04471544715447,0,4
21,5,1,176.9607843137255,64.90980392156862,0,5
21,6,1,115.44578313253012,64.51204819277109,0,6
21,7,1,127.38562091503267,69.60130718954248,0,7
21,8,1,88.52511415525115,72.76712328767124,0,8
21,9,1,171.09615384615384,74.21794871794872,0,9
21,10,1,135.65991902834008,75.48987854251013,0,10
21,11,1,95.65671641791045,78.2089552238806,0,11
21,12,1,95.58055555555555,86.05277777777778,0,12
21,13,1,133.17880794701986,84.05298013245033,0,13
22,1,1,139.10703363914374,52.58103975535168,0,1
22,2,1,180.66272189349112,56.35502958579882,0,2
22,3,1,100.38709677419355,60.63343108504399,0,3
22,4,1,141.7058823529412,61.79779411764706,0,4
22,5,1,177.01459854014598,65.24817518248175,0,5
22,6,1,113.62765957446808,64.61170212765957,0,6
22,7,1,126.61146496815287,69.45859872611464,0,7
22,8,1,171.4402332361516,75.69970845481049,0,8
22,9,1,84.67219917012449,74.29045643153528,0,9
22,10,1,94.35897435897436,78.6996336996337,0,10
22,11,1,139.63358778625954,75.03053435114504,0,11
22,12,1,95.34986945169713,86.00522193211488,0,12
22,13,1,128.7553516819572,85.10091743119266,0,13
23,1,1,138.96791443850267,52.419786096256686,0,1
23,2,1,184.92105263157896,55.45263157894737,0,2
23,3,1,97.73553719008264,61.43801652892562,0,3
23,4,1,141.9965870307167,61.64505119453925,0,4
23,5,1,181.75986842105263,64.03618421052632,0,5
23,6,1,112.31553398058253,64.76699029126213,0,6
23,7,1,125.95294117647059,69.74705882352941,0,7
23,8,1,173.336,75.68533333333333,0,8
23,9,1,80.41825095057034,75.79467680608364,0,9
23,10,1,91.55442176870748,79.60544217687075,0,10
23,11,1,140.72607260726073,75.05940594059406,0,11
23,12,1,91.78454332552693,87.09367681498829,0,12
23,13,1,126.80833333333334,85.49444444444444,0,13
24,1,1,137.11380145278451,51.87167070217917,0,1
24,2,1,201.0704845814978,53.629955947136565,0,2
24,3,1,141.23853211009174,61.1651376146789,0,3
24,4,1,174.08,57.80571428571429,0,4
24,5,1,94.07671232876713,62.62191780821918,0,5
24,6,1,186.72285714285715,63.54857142857143,0,6
24,7,1,110.26406926406926,65.49350649350649,0,7
24,8,1,124.71578947368421,70.33684210526316,0,8
24,9,1,175.96172248803828,75.38755980861244,0,9
24,10,1,75.41666666666667,77.23913043478261,0,10
24,11,1,140.36627906976744,75.06976744186046,0,11
24,12,1,88.22408026755853,80.40133779264214,0,12
24,13,1,86.22933884297521,88.61157024793388,0,13
24,14,1,124.6044776119403,86.23880597014926,0,14
25,1,1,132.30065359477123,50.99782135076253,0,1
25,2,1,203.87603305785123,54.53305785123967,0,2
25,3,1,127.01932367149759,57.23671497584541,0,3
25,4,1,173.8128078817734,57.29556650246305,0,4
25,5,1,88.59791122715404,64.12793733681463,0,5
25,6,1,190.33246753246752,63.28311688311688,0,6
25,7,1,151.07738095238096,64.22619047619048,0,7
25,8,1,107.96923076923076,66.18461538461538,0,8
25,9,1,125.47804878048781,70.58048780487805,0,9
25,10,1,191.76150627615064,70.71548117154812,0,10
25,11,1,140.49197860962568,75.32085561497327,0,11
25,12,1,69.30645161290323,79.38064516129032,0,12
25,13,1,97.61627906976744,76.79651162790698,0,13
25,14,1,162.0090909090909,81.08636363636364,0,14
25,15,1,79.49619771863118,90.1787072243346,0,15
25,16,1,138.0,83.01477832512315,0,16
25,17,1,74.01923076923077,85.26282051282051,0,17
