TimeStep,NumberOfCells
1,1
2,1
3,1
4,1
5,1
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,3
22,3
23,3
24,3
25,3
26,5
27,5
28,5
29,5
30,5
31,8
32,9
33,9
34,11
35,13
36,14
37,16
38,17
39,21
