StepNumber,NumberOfCells
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,3
15,4
16,3
17,3
18,5
19,5
20,6
21,7
22,7
23,9
24,9
25,9
26,10
27,12
28,13
29,17
30,18
31,21
