CellId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength,AverageOrientation
1,0.504398094969214,19.4189364991881,13,0.0440352191006801,35.8956622262378,-0.732806850087959
2,0.0721806335109273,22.5164430348938,31,-0.00817744717569531,26.0910026473173,-0.894526387849368
3,0.104911924500937,40.0389617244507,9,-0.156641433753107,42.0242982158103,-0.721442213108502
4,-2.21466979073264,46.4982644939945,2,0.240065586453431,35.4249155403313,-0.950407418952423
5,0.537016730470733,20.9566982027264,12,0.159043333748839,42.0603888778874,-1.11407310370755
6,0.615659975080222,24.0330945721365,11,0.147553901100141,39.2481626770662,-0.689293084217209
7,-0.0729405603677666,28.7233128235118,6,0.0535801729072986,26.8259700341406,-0.694676290800676
8,0.323825194776824,19.9031255729248,11,-0.0163111418576085,35.0301611959937,-0.568208133298542
9,0.358760217327845,23.6891900210074,7,0.217157785887198,32.798645860927,0.701643864299413
10,0.789182029011978,30.1984459714928,6,-0.367489733708139,46.1141310389033,-1.00464487203614
11,0.953972454361203,24.7541391973628,4,0.0175226084204709,35.9549502288825,-1.08233571652334
12,1.23272911550474,17.8947027516686,3,-0.0738136257059258,30.2837794194381,-0.601764379516727
13,-0.578636879958288,51.8618068458361,8,0.141459825884699,31.3154997273366,-0.779023117288817
14,0.642244804672519,46.2772302476213,3,-0.0760501534164509,51.6131990078714,-0.618328567676611
15,-0.0190057195395732,19.8072103269985,6,0.0305842286106288,27.604945580399,-0.7171615972747
16,0.696613755428397,20.1298432243607,5,-0.0307187711521584,29.0252812160714,-0.865537864464222
17,0.268063165296196,25.5741333484497,2,0.157312360205647,26.9144491749307,-0.840654109597215
18,1.23080725841553,24.8700142093634,5,-0.138604063197741,39.7006142121317,-0.694657490819448
19,0.671874410809843,24.7862046831911,5,-0.0325407841280872,33.3662990995953,-0.813648529067056
20,NaN,27.4090550276451,1,NaN,NaN,NaN
21,NaN,27.2581210046583,1,NaN,NaN,NaN
22,1.25720157837597,34.4769495211267,3,-0.400520792870282,42.4813106696798,-0.773804163790586
23,1.03795100170865,39.0894357585604,3,-0.361568982684635,47.0849171312354,-0.897659728378297
24,0.555373488224654,41.9957621274944,2,0.00244948759584247,44.7726295686176,-0.930072553763972
25,0.243128319753227,35.6150139505838,2,-0.0682448268343535,36.83065554935,-0.581097407341866
26,0.660152722588743,38.1205047719903,3,0.0538698834088516,42.4252879341933,-0.816289607901579
27,0.651301427387744,34.66896176212,3,-0.223746708046493,37.6642386680269,-0.776274469859829
28,0.475949638132938,25.3550995136742,3,0.132079337589202,29.2498404986847,-0.797215711438393
29,0.481952826670226,37.1609743598836,3,-0.0351971969331733,40.4406565338477,-0.191937430708654
30,NaN,39.1616059145302,1,NaN,NaN,NaN
31,-0.398448414704442,34.2872954768648,3,0.286525779034917,31.9912750317266,-0.504917632147432
32,0.452941492059303,28.2710072905132,3,0.0104752825729065,32.4617649327592,-1.22495053927323
33,-0.013814560410459,11.5269916756751,2,-0.00930002645370393,11.4579188736228,-0.886689143125227
34,NaN,39.2466385532779,1,NaN,NaN,NaN
35,NaN,39.6955880271366,1,NaN,NaN,NaN
36,NaN,22.2823363645495,1,NaN,NaN,NaN
37,NaN,23.0531532225119,1,NaN,NaN,NaN
38,NaN,19.0873573411829,1,NaN,NaN,NaN
39,NaN,6.88150658532314,1,NaN,NaN,NaN
