StepNumber,NumberOfCells
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,3
10,3
11,3
12,4
13,4
14,4
15,4
16,5
17,6
18,7
19,7
20,8
21,8
22,9
23,10
24,10
25,12
26,14
27,16
28,16
29,19
30,23
31,29
32,31
33,28
34,35
35,46
