StepNumber,NumberOfCells
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,4
11,4
12,4
13,4
14,4
15,4
16,7
17,7
18,7
19,7
20,7
21,10
22,12
23,13
24,13
25,13
26,15
27,19
28,20
29,21
30,22
31,26
