TimeStep,CellLifeId,label,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2
1,1,1,0.601676791887091,100.017897091723,97.6912751677852,20.6385179169802,6.7813082368804,0,5,4
1,2,2,-1.08927928072364,103.662878787879,79.4621212121212,21.4463185504853,5.95765162636402,0,15,13
1,3,3,-1.19326746573842,111.37315270936,86.8251231527094,18.2521443016473,6.68785099548589,0,9,8
2,1,1,0.557198546578952,99.9990157480315,97.8307086614173,23.3313339062492,6.97830290856485,0,5,4
2,2,2,-1.07806972552548,103.897291196388,79.3160270880361,22.1761709148287,6.37322884091762,0,15,13
2,3,3,-1.21407797001957,112.13475177305,86.3770685579196,19.0189687131976,6.6670363620441,0,9,8
3,1,1,0.546975194068731,100.391891891892,98.0623700623701,23.6598836846302,6.46984699539183,0,5,4
3,2,2,-1.10378266158945,104.690045248869,79.1221719457014,22.8946924532404,6.13573708087036,0,15,13
3,3,3,-1.14582113963129,112.806930693069,86.2376237623762,19.9672627497368,6.28561533092644,0,9,8
4,1,1,0.531061998235626,99.7459935897436,98.3365384615385,27.6882536823956,7.35196169901535,0,5,4
4,2,2,-1.1038571674161,104.417338709677,79.5110887096774,25.9699397130859,6.42761274393074,0,15,13
4,3,3,-1.16025192461051,112.65144766147,86.5222717149221,20.1914583094158,6.78605090789673,0,9,8
5,1,1,0.483444388753609,99.3303571428571,98.125,29.2179832431067,7.47000319985439,0,5,4
5,2,2,-1.03392375449879,104.693702290076,78.6145038167939,26.5993204082786,6.6224889701568,0,15,13
5,3,3,-1.12378467929059,112.171524663677,86.5369955156951,19.4748610264795,6.97050764382274,0,9,8
6,1,1,0.519362505564283,99.239103362391,97.7428393524284,36.5576505020827,7.50662618513358,0,5,4
6,2,2,-1.00301231354865,105.804674457429,76.991652754591,30.7274860543692,6.72183131638483,0,15,13
6,3,3,-1.10349605765355,113.061475409836,85.2704918032787,22.1032618415078,6.84100926013746,0,9,8
7,1,1,0.504007586634974,99.2604679802956,98.0899014778325,36.8800474795717,7.4385610557202,0,5,4
7,2,2,-0.966622315772416,106.385057471264,77.0418719211823,31.3484108575749,6.69534900928538,0,15,13
7,3,3,-1.05620278210644,112.559633027523,85.8509174311927,20.695448472466,6.5037056473677,0,9,8
8,1,1,0.499993592765639,98.8471760797342,98.1904761904762,40.6397329316048,7.70729174389873,0,5,4
8,2,2,-0.92490757432102,106.329457364341,76.9860465116279,32.1637668119968,7.02523297311402,0,15,13
8,3,3,-1.04168835275587,112.487750556793,85.7861915367483,21.2486769757326,6.5045907624784,0,9,8
9,1,1,0.525870823884377,99.0691382765531,98.3852705410822,45.2239458607786,7.83654089813367,0,5,4
9,2,2,-0.923602768584859,106.887957317073,76.3513719512195,32.7294446194748,7.15395436599117,0,15,13
9,3,3,-1.03327141122375,112.495824634656,85.7755741127349,22.7937598197972,6.53720102339428,0,9,8
10,2,2,-0.956055390928821,106.70820668693,76.4156534954407,33.6674253355848,7.11657828972988,0,15,13
10,3,3,-1.0732571795971,112.693386773547,85.2715430861723,23.8608456918639,6.43175561325893,0,9,8
10,4,1,0.675975907568359,90.0246679316888,92.8984819734345,21.8695689719044,7.62346181209165,1,0,0
10,5,1,0.49024170188542,107.536429872495,103.651183970856,21.6545904947098,7.8869391919267,1,19,17
11,2,2,-0.992757116554454,108.106119791667,73.6790364583333,38.3088796151492,7.56906119424105,0,15,13
11,3,3,-1.07987067217767,113.743410852713,83.2410852713178,31.9525169565382,6.34097069903848,0,9,8
11,4,1,0.763818645434714,87.7843839541547,90.3402578796562,29.0253539018935,7.55642405346847,1,0,0
11,5,1,0.394849095807278,109.38558692422,104.465081723626,25.8670156997641,7.95499081836011,1,19,17
12,2,2,-1.04513579877873,107.814771395076,74.0328253223916,41.4146846451996,7.97526016405401,0,15,13
12,3,3,-1.11921381809834,113.876453488372,83.0065406976744,34.8245582016384,6.32693424776282,0,9,8
12,4,1,0.903789774685875,85.4156939040208,87.523346303502,30.6262148611432,8.10345551697012,1,0,0
12,5,1,0.335720421198001,108.286103542234,104.489782016349,31.8553552950622,7.48077722862878,1,19,17
13,2,2,-1.04749065334592,107.30174291939,75.10348583878,44.306713806843,8.34441457836841,0,15,13
13,3,3,-1.07089397714647,114.185656836461,82.2473190348526,38.3208121181474,6.20821903248616,0,9,8
13,4,1,1.13366102698487,85.2224178403756,86.8345070422535,34.9262325556009,7.79120444242952,1,0,0
13,5,1,0.0814320406790349,109.600490196078,104.972426470588,35.4219102149426,7.46990641956705,1,19,17
14,2,2,-1.07955298129323,107.063357972545,76.6599788806758,45.6939259061888,8.31955168785932,0,15,13
14,3,3,-1.07000590351183,115.046540880503,81.6471698113208,41.2047260613525,6.07531720437017,0,9,8
14,4,1,1.19628954837136,85.3271939328277,87.2708559046587,39.4280177322074,7.73104383209904,1,0,0
14,5,1,-0.11959407991255,111.470010905125,104.761723009815,40.0436170716708,7.52308817440777,1,19,17
15,2,2,-1.0990076487648,106.080773042616,78.5148662041625,48.9564901135509,8.33971008768153,0,15,13
15,3,3,-1.07007981357812,115.071265678449,81.714937286203,45.1470044172122,6.13953587819594,0,9,8
15,4,1,1.30952765580419,85.3664349553128,88.369414101291,43.957045416972,7.60904519436283,1,0,0
15,5,1,-0.298028278232984,111.405900305188,105.636826042726,47.280453371938,7.20412288118492,1,19,17
16,2,2,-1.14445009400104,108.00418760469,73.5209380234506,33.9480926137493,5.81496243070657,0,15,13
16,4,1,-1.5529724102952,83.1063094209162,92.2856525496975,60.6094914169916,7.22269149668834,1,0,0
16,5,1,-0.453326469079363,118.04303599374,103.036776212833,28.6084321908921,7.03414192712819,1,19,17
16,6,4,-0.469393370579802,94.8967479674797,117.058536585366,29.3871494369499,6.52922952753743,0,14,10
16,7,5,-1.40032540379651,93.7097649186257,95.0406871609403,36.2730110295359,5.08658720456089,0,12,11
16,8,3,-0.903389692648193,105.980412371134,96.7237113402062,25.6553606976844,5.93235931931015,3,18,16
16,9,3,-1.18470429937824,119.345307917889,71.9574780058651,37.7142849640005,6.27363178204759,3,21,20
17,2,2,-1.22421276544342,107.306891025641,75.4102564102564,35.2984463582302,6.02352359315797,0,15,13
17,4,1,-1.5243001750797,82.8581896551724,91.8806034482759,56.1685477133211,7.47522830543369,1,0,0
17,5,1,-0.537997576173452,118.257624398074,102.516051364366,29.1518431321235,7.03096947569722,1,19,17
17,6,4,-0.368440584864954,93.0490797546012,118.371932515337,32.0357921065054,6.68850911322918,0,14,10
17,7,5,-1.38119471047675,93.4196721311475,94.5040983606557,42.2901608030277,4.87495822289761,0,12,11
17,8,3,-0.851312206436354,106.569444444444,97.6148148148148,31.2329916090029,5.6677886425306,3,18,16
17,9,3,-1.1928892958127,119.628099173554,69.7238292011019,41.0771554660071,6.39584071061711,3,21,20
18,2,2,-1.20346901082003,106.494082840237,75.7699704142012,37.7040638566864,6.34685204474144,0,15,13
18,4,1,-1.48570783050312,82.6284658040666,90.7416820702403,55.4427849832479,7.04640463977167,1,0,0
18,5,1,-0.546786653250835,118.331343283582,101.992537313433,31.7819906982159,6.96767868946164,1,19,17
18,6,4,-0.17476772013811,93.2620865139949,118.930661577608,36.3372563352901,7.09021200839162,0,14,10
18,7,5,-1.3563922111426,92.2702936096719,95.2746113989637,43.3599661746234,4.6497193420799,0,12,11
18,8,3,-0.836377297435998,105.724709784411,98.6417910447761,38.8647688442903,5.60034282560076,3,18,16
18,9,3,-1.15637531168789,119.600765306122,68.4764030612245,42.9260915428377,6.49239647926232,3,21,20
19,2,2,-1.18094170030002,105.496339677892,77.4516837481698,40.0794163727588,6.17064804579126,0,15,13
19,4,1,-1.48356872439515,82.5441988950276,90.1081952117864,63.6070143645003,6.69275197805879,1,0,0
19,5,1,-0.586423147077989,118.855555555556,101.265185185185,36.736698712679,6.08984849476871,1,19,17
19,6,4,-0.0694114722906247,94.9781390134529,119.341367713004,42.4747165949882,7.07043301081146,0,14,10
19,7,5,-1.43516679932693,92.0553797468354,93.9667721518987,52.1628656190728,4.58036144484026,0,12,11
