StepNumber,NumberOfCells
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,2
12,1
13,2
14,2
15,2
16,2
17,3
18,2
19,3
20,3
21,3
22,4
23,4
24,4
25,7
26,7
27,8
28,8
29,8
30,8
31,9
32,9
33,11
34,12
35,12
