StepNumber,NumberOfCells
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,5
11,5
12,5
13,5
14,6
15,7
16,9
17,9
18,9
19,10
20,11
21,13
22,16
23,18
24,19
25,17
26,26
27,24
28,28
29,30
30,34
