CellId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength,AverageOrientation
1,0.12,29,5,-1.34179562553947,30.2,1.22075673790872
2,0.413333333333333,18,15,-0.455898876446853,30.4,-0.432825407608211
3,0.5,18,20,-0.321592047078954,35.4,-0.0587831601845345
4,0.44,31,5,-1.69901270134407,36.4,-0.796596060579801
5,0.86,31,10,-0.502734919418107,49.2,-0.783958880805908
6,0.666666666666667,29,6,-1.82764065331144,36,-0.452782809165986
7,1.02857142857143,25,14,-0.684192967542046,60.2857142857143,-0.752524599523332
8,0.68,42,5,-1.75006775614092,50,-0.663476716419464
9,0.8,46,5,-0.515835511165554,55.4,-0.729664985394221
10,0.333333333333333,40,3,-4.69526411955655,42.6666666666667,-0.388544914222969
11,0.475,35,8,-0.666430175152256,43.625,-0.667173621414725
12,0.566666666666667,45,6,-0.731859314618487,55.6666666666667,-0.766987348291817
13,0.6,51,3,0.590127274715599,55.3333333333333,-0.559211610520594
14,0.533333333333333,41,3,-1.29043350901654,45,-0.569262220761635
15,0.6,42,5,0.676395160666278,48.8,-0.505966642064936
16,0.725,28,8,-0.878197746959925,41.25,-0.285913606516506
17,0.68,24,5,-2.25792348665917,30.6,-0.247188705388463
18,0.366666666666667,28,6,-1.30654935400043,33.3333333333333,-0.344031409173049
19,0.533333333333333,21,6,-1.01300291128558,28.5,-0.489113777510825
20,0.666666666666667,27,6,-0.67370163301892,37,-0.571920741757085
21,0.8,27,6,-0.297192883495539,39.1666666666667,-0.438870700460785
22,0.8,29,5,-0.034433477221595,39.2,-0.650827007231125
23,0.933333333333333,36,3,2.22326831300202,42,-0.514300992637418
24,0,1,1,NaN,NaN,NaN
25,0,1,1,NaN,NaN,NaN
26,0.533333333333333,39,3,-1.98890256139722,43,-0.657103464397365
27,0.65,40,4,1.01600018008878,46.5,-0.558499755453054
28,0.4,34,4,3.2803565865798,37.75,-0.446992152582168
29,0.266666666666667,24,3,-3.46829240844036,26,-0.247322695915121
30,0.333333333333333,23,3,-2.87530379026362,25.3333333333333,-0.44611398458949
31,0.4,32,3,-2.9942196956489,35,-0.593130677750963
32,0.4,36,3,-1.74505690382212,39,-0.642994019547567
33,0.266666666666667,27,3,3.02519458410235,29,-0.411165133765757
34,0.333333333333333,28,3,5.55461944001093,30.3333333333333,-0.511022491511854
35,0,30,1,NaN,NaN,NaN
36,0,31,1,NaN,NaN,NaN
37,0,25,1,NaN,NaN,NaN
38,0,27,1,NaN,NaN,NaN
39,0,28,1,NaN,NaN,NaN
40,0,27,1,NaN,NaN,NaN
41,0,29,1,NaN,NaN,NaN
