ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_3,Neighbors_FirstClosestDistance_3,Neighbors_FirstClosestObjectNumber_3,Neighbors_NumberOfNeighbors_3,Neighbors_PercentTouching_3,Neighbors_SecondClosestDistance_3,Neighbors_SecondClosestObjectNumber_3,Number_Object_Number,Parent_RunOmnipose,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,1,206,368,124,65,101,49,112.22815533980582,56.310679611650485,1.4152069392666493,221,0.9265137887036142,16.195287778099022,1,0.5597826086956522,0.7066104413805329,26.429176792992514,25.059928172283335,5.0,2.4074919348750936,2.23606797749979,9.391485505499118,9.944263545038037,-60.786843426057466,60.52691193458119,0.9321266968325792,0.4176550098972031,0.01284822679625162,0.1517101928227179,0.09931082673093251,0.010861016633459038,0.009393256508083224,0.04725050210892739,0.0509940956294629,0.044109578718790246,0.004114020469724924,0.007675230474007755,0.006051804637298254,0.009058721468765591,0.012144851644331928,0.016787958146944042,0.02335101447842665,0.001765843536939945,0.002089713692039732,0.003080055669549461,0.0037553990743950027,0.0042503671378611154,0.007063897514461571,0.0009125625801943201,0.002391916550740146,0.013394986593707173,0.0037396912171438943,0.0020535052687760563,0.002667525810041202,0.0014481405416960466,0.0022884950634181928,112.22815533980582,56.310679611650485,0,65.32560917270287,9.29409078439885,2,2.0,52.7027027027027,23.124717355605764,3,1,1,0.0,0.0,nan,0.0,1,1,nan,0.0,0,0.0,0.0
1,2,223,494,129,75,103,56,115.30493273542601,65.08071748878923,1.670831843939023,240,0.958754541808811,16.85029431422316,1,0.451417004048583,0.5985042741599166,31.828160705086553,29.154759474226502,4.47213595499958,2.259765724749032,2.23606797749979,8.267983464049607,9.046688082723737,-56.85496204498628,68.42640687119285,0.9291666666666667,0.3340381393834604,0.01059669083036572,0.11823064506059788,0.09116364717594094,0.008085562102903784,0.010002627650200643,0.04546133074756375,0.054563970511089,0.04279028690085177,0.005414671411802947,0.006886632268782555,0.008245744641588264,0.023364773564869688,0.022541516750651535,0.024833997451206596,0.023149741511744388,0.0044095399887036715,0.0006301328656894658,0.0061847325671626294,0.005905892064176697,0.009452612225278897,0.006880525655162,0.00978281689556126,0.00857403531438666,0.013540128597015668,0.0016518710469326891,0.0017053157339893903,0.0006218539733952589,0.003931248076345848,0.0037894355937055017,115.30493273542601,65.08071748878923,0,90.98033923379016,9.29409078439885,1,2.0,46.51162790697674,21.016388038423475,3,2,2,0.0,0.0,nan,0.0,2,1,nan,0.0,0,0.0,0.0
1,3,178,336,104,83,88,62,95.59550561797752,72.37640449438203,1.3699009414070331,193,0.9136960367844821,15.054455784347004,1,0.5297619047619048,0.7299797888837818,23.73871536362524,22.360679774997898,5.0,2.311154555028386,2.23606797749979,8.951068183274085,9.647372812146273,-32.81926344611412,55.35533905932738,0.9222797927461139,0.4532732779257179,0.02856146203787875,0.15205535939045228,0.10482289852157117,0.021758593599681447,0.01877745268643356,0.036072485677131665,0.050870882318036555,0.04025064416865133,0.007778342387362092,0.012852252114875829,0.01033753049847817,0.0078080769293787065,0.005469513415881993,0.011637238186758348,0.018103903165556847,0.002922795462547799,7.760537523289203e-05,0.0018866608366218038,0.005413435204195719,0.0044444729776551934,0.007585994063135137,0.005679782879720718,0.0031131001390615406,0.009495468464806088,0.007194616313320808,0.004876664371455854,0.008174686438472597,0.0032155879849031207,0.002867444332867126,95.59550561797752,72.37640449438203,0,23.69405159350696,21.016388038423475,2,2.0,28.985507246376812,23.124717355605764,1,3,3,0.0,0.0,nan,0.0,3,1,nan,0.0,0,0.0,0.0
2,1,234,456,123,68,99,49,110.76068376068376,57.64102564102564,1.463373571323504,248,0.9344546178567157,17.26088217525478,1,0.5131578947368421,0.6833525079283618,29.020178944939794,27.459060435491963,5.0,2.492038091503637,2.23606797749979,9.429903335828895,10.333570548966735,-55.12569707191574,65.59797974644667,0.9435483870967742,0.3951433069867746,0.008530129681270282,0.14611944229661245,0.09623776656609873,0.004522506220784161,0.00777257754298916,0.04377126850142317,0.05749050554844078,0.04118162247019437,0.0005947628701684148,0.0062300263027125265,0.005177272213819703,0.016319639061265788,0.014307005655271784,0.021171435074693983,0.020734925169904987,0.0018171592336458469,0.0010243855507555283,0.005309640575308958,0.0027291272058818632,0.0006139674972362904,0.0017974971037014622,0.0005496685672928432,0.004537062532723003,0.011595989124385423,0.0015182994041749846,0.001310151111822363,0.0025709444032733053,0.003321087093626442,0.0013961117696137046,110.76068376068376,57.64102564102564,0,67.91869349533023,9.098408085739285,2,2.0,57.31707317073171,21.45181762645665,3,1,1,1.980730520137771,1.980730520137771,nan,1.980730520137771,1,2,1.0,1.0,1,-1.467471579122062,1.330346029375157
2,2,253,609,128,77,99,56,113.15415019762845,66.41897233201581,1.8488843702265247,277,0.9672491639931218,17.94796937867892,1,0.4154351395730706,0.5408667064871561,36.12786808876651,32.7566787083184,4.47213595499958,2.274739841473378,2.23606797749979,8.276891366513716,9.170293050915147,-57.46239723206429,76.66904755831214,0.9133574007220217,0.300213983986949,0.003192135115464834,0.10578802549907179,0.08544816059946969,0.004067923334838246,0.004029414544562994,0.040446232853846485,0.05521701299101956,0.04109839823385767,0.0032803162276401165,0.002072652285193913,0.004547327709687304,0.024869530150177403,0.02464916383926896,0.02790181827969417,0.02285579574394508,0.001731337797101654,0.0022502451789577138,0.0011929312616151676,0.004231121213747613,0.012353621311347537,0.012244829844431055,0.011586413186355173,0.012784631228737317,0.013523896426252131,0.0017951596194674365,0.0008953035826197538,0.0019571347630571593,0.001570684079569253,0.003500761934079275,113.15415019762845,66.41897233201581,0,87.02179291271662,9.098408085739285,1,2.0,50.0,19.905239962242632,3,2,2,2.53313867569746,2.53313867569746,nan,2.53313867569746,2,2,1.0,1.0,2,-2.1507825377975536,1.3382548432265793
2,3,206,260,99,84,89,58,93.70388349514563,70.6504854368932,1.475318092855135,223,0.9350544324115676,16.195287778099022,1,0.7923076923076923,0.6778199256437861,27.403745832176448,25.179356624028344,5.0,2.353489189451796,2.0,9.0,9.714742243793754,-3.0443033360827325,61.798989873223334,0.9237668161434978,0.4137024388256207,0.008327017565423016,0.1375629346215972,0.10704461816952432,0.0024362425059120674,0.008950672714085822,0.046907436696208234,0.0518338870468965,0.04750999779449962,0.007426019919414614,0.006730564719539609,0.008342964025288122,0.009620536141561208,0.018886020476559427,0.014701066274094966,0.02427783106558145,0.0017977970725643656,0.0018318727058393095,0.0017632520641521195,0.00647497825789145,0.0036425541763969904,0.0059403769817169055,0.0027082853725168498,0.0014178428131454092,0.012936001578350434,0.001688595219960423,0.009663082018256922,0.004660982977969206,0.0028544873962212305,0.004869189529420093,93.70388349514563,70.6504854368932,0,25.05951359195317,19.905239962242632,2,2.0,30.0,21.45181762645665,1,3,3,2.5606699999394955,2.5606699999394955,nan,2.5606699999394955,3,2,1.0,1.0,3,-1.8916221228318904,-1.7259190574888237
3,1,241,520,125,68,99,48,111.21576763485477,57.50207468879668,1.6106058455685848,260,0.9511393122154307,17.517155313611116,1,0.4634615384615385,0.6208843726423796,31.688413811290225,29.410882339705484,5.0,2.394498382930704,2.23606797749979,9.067315822017903,9.784179878419598,-55.60531151119515,69.84062043356595,0.926923076923077,0.35179682218694097,0.005205223385712162,0.13199761869165286,0.09022143530971785,0.0027749126646210696,0.0044096618928387106,0.04301141867562846,0.059613257045282184,0.03988596804416979,0.002610841637849425,0.004458231185815424,0.00297184543036385,0.025201295597371047,0.017210370428856755,0.027742293259007466,0.01996800539651899,0.0009862307065075654,0.0010170203843438642,0.0035406840098306095,0.001695940799822384,0.0038474968875692236,0.006965881874305872,0.0038531367610415363,0.01113232546870244,0.010306019552389412,0.0017708857627341664,0.002726465141235685,0.0018872180923240394,0.002143303576351046,0.0008997259332251386,111.21576763485477,57.50207468879668,0,70.90065371436127,8.770115071865371,2,2.0,54.02298850574713,21.365236305916262,3,1,1,1.563442066398449,0.4758242318922292,nan,2.45655475203,1,3,0.6364368899600068,2.0,1,0.4550838741710095,-0.13895095222896003
3,2,246,609,128,76,99,55,113.66666666666667,65.92276422764228,1.930662477745408,273,0.9691020616427931,17.697935698969246,1,0.4039408866995074,0.5179569249037157,36.34566213584102,33.28663395418648,4.47213595499958,2.2209450671265754,2.23606797749979,8.38443616300637,8.965023860388403,-57.602476078091065,77.25483399593904,0.9010989010989011,0.28268675812712096,0.011399072104780963,0.10299883817293526,0.07941806360025579,0.008621678672232767,0.00576542008529239,0.03631682534169206,0.05553751449779993,0.03789802255437167,0.007829745319940129,0.004113026581353964,0.0030972326195533354,0.021733679714853,0.0257395921727459,0.028069190556659792,0.021506343597080944,0.005840580167302041,0.004498956788457346,0.001413696530796204,0.0021193780074091864,0.012102180283500616,0.012633493759269764,0.012587818683804033,0.013481256754894437,0.013389753849434324,0.0042430119056975826,0.002095755567009575,0.0025524376353295805,0.0015790464473418586,0.001881541565136366,113.66666666666667,65.92276422764228,0,84.96356604639149,8.770115071865371,1,2.0,51.578947368421055,20.267387431228848,3,2,2,1.841998486009479,0.7133691988594554,nan,3.246507874556915,2,3,0.5673784131082311,2.0,2,0.5125164690382178,-0.4962081043735367
3,3,209,243,99,84,90,57,93.7846889952153,69.85645933014354,1.4818392512246465,220,0.9451763796493389,16.312788383647018,1,0.8600823045267489,0.6748370305170167,28.731497187531854,26.1725046566048,5.0,2.3476055315430324,2.0,8.0,9.382565541113927,0.6872751401220736,62.384776310850235,0.95,0.3884774669337942,0.009464724315366706,0.12897511599085104,0.1044166921458446,0.007863941252992933,0.007582543471213016,0.04675786694078539,0.05335613200243023,0.04795561555792986,0.00321649764599134,0.0050840247945985175,0.005185259850976651,0.010954047905981416,0.02508093103592612,0.015466169412820788,0.026487693997790947,0.0017086095488656635,0.004578839804629911,0.0018846012696733317,0.0040304252898295066,0.010138552371823789,0.0030847090143008345,0.005949352856800283,0.00038029429039859416,0.01582586384794745,0.0033779506039547194,0.002210327362270526,0.0027159785880064412,0.0019587397614004498,0.0030167230409027155,93.7846889952153,69.85645933014354,0,24.135780239247275,20.267387431228848,2,2.0,30.0,21.365236305916262,1,3,3,3.1030920824301895,0.798127174729408,nan,3.3587971746689034,3,3,0.9238700406898133,2.0,3,0.08080550006967258,-0.7940261067496692
4,1,254,567,126,69,99,48,111.68110236220473,57.425196850393704,1.7082329457054781,274,0.9583248489069247,17.983404693292407,1,0.4479717813051146,0.5854002538201913,33.89708504524466,31.622776601683793,5.0,2.36981406248675,2.23606797749979,8.875203139603666,9.68374426603707,-55.29831237812035,73.84062043356595,0.927007299270073,0.32340284436273137,0.013445071986770342,0.12132444973872417,0.08476876153230002,0.016611187152946124,0.006076319908712881,0.04320258638398314,0.05482491119532119,0.03991048596568565,0.012588328541484168,0.009364472693538814,0.003134462062181726,0.0230941060538504,0.020017852075906097,0.026507693193819515,0.02227821912223755,0.006750524294348756,0.007194881668403182,0.00421388501579203,0.0018813685373533907,0.008357851953720637,0.0064004572086298,0.008520332867045715,0.011545597642829118,0.013637834269311502,0.0021385586468403626,0.002335942916862275,0.002900049004579988,0.0013839753316591962,0.0013797249366958332,111.68110236220473,57.425196850393704,0,71.6375547795323,8.767781391797014,3,2.0,55.43478260869565,21.431358391810303,2,1,1,1.2415376094819017,0.471642460467006,nan,2.928197212497006,1,4,0.4239938499303421,3.0,1,0.46533472734995485,-0.07687783840297868
4,2,228,261,99,84,90,55,93.85087719298245,69.3157894736842,1.565392272340649,240,0.9513116216419956,17.03815178355966,1,0.8735632183908046,0.6388175140948872,30.928496262812622,28.160255680657446,5.0,2.390249271571476,2.0,8.0,9.533113764186117,1.7787868774593136,66.97056274847714,0.95,0.36125964384036774,0.017967427268719496,0.1271986246601285,0.09455221759737939,0.015278973317934274,0.012770921801983772,0.03956666755962042,0.05818687298725561,0.04089042717900835,0.009738028356725763,0.01078918574426258,0.00866979859533318,0.020134659817625904,0.018580263845846923,0.023428044930564274,0.020180659445351648,0.0065614251178360535,0.0028987634401124516,0.006859661908401248,0.005446275974008376,0.003709876737814567,0.006179198998168073,0.0032724734532679745,0.006895210303744361,0.010545186175766611,0.0023878922164909584,0.0018737013636963477,0.00040502125028815206,0.003196341472039395,0.003289635057644748,93.85087719298245,69.3157894736842,0,24.023700128570855,20.439826661728578,3,2.0,28.37837837837838,21.431358391810303,1,2,2,3.522938070165572,0.5447061328894846,nan,3.903503307558388,3,4,0.9025067465279396,3.0,3,0.06618819776714702,-0.5406698564593313
4,3,260,660,129,77,99,55,114.0,65.88076923076923,1.9629095502769778,288,0.9724261757441642,18.19456736586892,1,0.3939393939393939,0.509447824459815,38.54298166559053,34.66987164671943,4.47213595499958,2.232135659184406,2.23606797749979,8.320502943378436,8.988644174138043,-56.44453915563173,80.08326112068522,0.9027777777777778,0.2732910170895774,0.009984979468238248,0.09735743529514174,0.07806491084590327,0.012605716721365708,0.00446710350233807,0.03221147912257876,0.054924265199087725,0.03738376750263384,0.010911732084936964,0.007804723423558243,0.0020519104165903895,0.021552932934324955,0.02330234724467615,0.02923385651367421,0.021027573960062856,0.008254142995183627,0.007153325274749549,0.003910188211629527,0.0010003731158623654,0.00769095243470661,0.015477424678160928,0.010099276458160108,0.015797168819354612,0.012621849552364863,0.005934397042145105,0.004311324821122802,0.0033963078122850356,0.0017419085715928884,0.0005837609072172251,114.0,65.88076923076923,0,84.33874509189685,8.767781391797014,1,2.0,52.0,20.439826661728578,2,3,3,1.5306639846261598,0.33596828849383226,nan,3.5824761630507473,2,4,0.4272642482351326,3.0,2,0.3333333333333286,-0.04199499687304353
