StepNumber,NumberOfCells
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,2
10,2
11,1
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,3
24,4
25,4
26,4
27,5
28,5
29,5
30,7
31,8
32,8
33,8
34,8
35,10
36,9
37,13
38,16
39,16
40,16
