StepNumber,NumberOfCells
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,5
10,5
11,5
12,5
13,5
14,6
15,8
16,9
17,9
18,9
19,10
20,12
21,13
22,17
23,18
24,18
25,18
26,26
27,27
28,29
29,32
30,33
