TimeStep,CellId,Orientation,label,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2,InstantaneousGrowthRate,InstantaneousVelocity
1.0,0.0,2.3036114397331664,1.0,86.16851806640625,119.70166778564453,24.900354385375977,7.878917694091797,0.0,,,,
1.0,1.0,1.8925468662621197,2.0,74.04999542236328,144.35000610351562,24.6657657623291,7.273238182067871,0.0,,,,
2.0,2.0,2.356194490192345,3.0,86.25000762939453,119.25001525878906,25.455841064453125,7.77817440032959,0.0,,,,
2.0,3.0,1.862253075967332,4.0,73.90367126464844,144.82110595703125,25.57396125793457,7.56682825088501,0.0,,,,
3.0,4.0,2.3036114397331664,5.0,86.72376251220703,118.75140380859375,27.055906295776367,8.324893951416016,0.0,,,,
3.0,5.0,1.8925468662621197,6.0,73.89999389648438,145.3000030517578,26.56313133239746,7.589465618133545,0.0,,,,
4.0,6.0,2.356194490192345,7.0,87.25000762939453,118.25001525878906,28.284271240234375,7.77817440032959,0.0,,,,
4.0,7.0,1.8370484034233607,8.0,74.0230712890625,145.41537475585938,26.92568016052246,7.805815696716309,0.0,,,,
5.0,8.0,2.2730531975421338,9.0,87.82069396972656,117.8482666015625,29.948232650756836,8.103639602661133,0.0,,,,
5.0,9.0,1.8925468662621197,10.0,73.6500015258789,146.0500030517578,29.409183502197266,7.589466094970703,0.0,,,,
6.0,10.0,2.0524600024729125,11.0,80.28661346435547,131.34300231933594,62.17677307128906,11.782770156860352,0.0,,,,
7.0,11.0,2.2655345611526223,12.0,88.95081329345703,116.45899963378906,33.54566192626953,8.706507682800293,0.0,,,,
7.0,12.0,1.8766751918240607,13.0,73.02140808105469,147.848876953125,31.919923782348633,7.879603862762451,0.0,,,,
8.0,13.0,2.2531128454591927,14.0,88.69647216796875,116.56588745117188,34.34304428100586,8.488746643066406,0.0,,,,
8.0,14.0,1.8925468995516332,15.0,72.6500015258789,148.55001831054688,32.88768768310547,7.905693531036377,0.0,,,,
9.0,15.0,2.239085776260664,16.0,89.50513458251953,115.79353332519531,37.798301696777344,9.129426002502441,0.0,,,,
9.0,16.0,1.8925468995516332,17.0,72.29999542236328,149.60000610351562,35.10127639770508,7.905693531036377,0.0,,,,
10.0,17.0,2.2142974057293423,18.0,90.05999755859375,114.91999816894531,38.599998474121094,9.19999885559082,0.0,,,,
10.0,18.0,1.8925468995516332,19.0,72.19999694824219,149.90000915527344,36.366188049316406,7.905693531036377,0.0,,,,
11.0,19.0,2.049148727842049,20.0,81.2270278930664,130.56216430664062,82.26525115966797,12.691600799560547,0.0,58.0,20.0,,
12.0,20.0,1.8925468662621197,20.0,71.9000015258789,151.3000030517578,40.47715377807617,8.221921920776367,19.0,,,,
12.0,58.0,2.2083450409559338,20.0,91.58812713623047,112.80602264404297,43.80875015258789,9.702208518981934,19.0,,,0.799,-0.085
13.0,21.0,1.9295670358116337,21.0,71.39725494384766,152.7739715576172,41.90073013305664,8.309921264648438,0.0,,,,
13.0,58.0,2.2197919065323393,20.0,92.0169906616211,111.90943908691406,47.80147171020508,10.906427383422852,19.0,,,0.594,0.053
14.0,22.0,2.00055858809474,22.0,71.88163757324219,151.2582550048828,45.112342834472656,8.484604835510254,0.0,,,,
14.0,58.0,2.238102470607179,20.0,90.5053939819336,113.47393798828125,50.771324157714844,11.092094421386719,19.0,,,1.244,0.032
15.0,23.0,2.0681390637851313,23.0,73.42906188964844,149.10435485839844,49.24090576171875,10.244919776916504,0.0,,,,
15.0,58.0,2.256525886133211,20.0,88.56929779052734,115.19306945800781,56.99140548706055,10.976122856140137,19.0,,,0.435,0.042
16.0,24.0,2.089942463498151,24.0,73.68460845947266,148.6769256591797,51.10231018066406,10.294882774353027,0.0,,,,
16.0,58.0,2.2597206807558976,20.0,87.84020233154297,116.01546478271484,59.16618347167969,11.034061431884766,19.0,,,1.189,0.147
17.0,25.0,2.1112158275752178,25.0,75.80883026123047,146.98529052734375,57.10902786254883,9.946916580200195,0.0,59.0,29.0,0.344,0.037
17.0,58.0,2.2489156370022005,20.0,85.99392700195312,118.30065155029297,65.11248016357422,10.534810066223145,19.0,,,0.437,0.064
18.0,25.0,2.125103813185817,25.0,76.01966857910156,147.08360290527344,58.83024978637695,9.433894157409668,0.0,59.0,29.0,1.549,-0.098
18.0,58.0,2.2489156370022005,20.0,85.2052001953125,119.26252746582031,67.29731750488281,10.210329055786133,19.0,,,1.495,0.187
19.0,25.0,2.140109527505923,25.0,77.80078887939453,145.59251403808594,66.57313537597656,9.66927433013916,0.0,59.0,29.0,0.445,-0.102
19.0,58.0,2.221873033766182,20.0,82.79483795166016,122.08177947998047,74.77058410644531,10.37848949432373,19.0,,,0.819,0.147
20.0,25.0,2.140109527505923,25.0,78.42848205566406,144.6742401123047,68.7967300415039,10.208328247070312,0.0,59.0,29.0,1.611,-0.183
20.0,58.0,2.2035451591442565,20.0,81.80781555175781,123.62571716308594,78.86640930175781,10.752067565917969,19.0,,,2.033,0.281
21.0,25.0,2.1375255288792467,25.0,79.87940979003906,142.8323516845703,76.84989166259766,11.274385452270508,0.0,59.0,29.0,0.829,-0.147
21.0,58.0,2.1587988596668,20.0,79.46151733398438,126.80769348144531,89.0293960571289,11.648704528808594,19.0,,,0.946,0.181
22.0,25.0,2.1458686133632194,25.0,80.71144104003906,141.51666259765625,80.99378967285156,11.23532485961914,0.0,59.0,29.0,1.608,-0.257
22.0,58.0,2.155067637821544,20.0,78.3342056274414,128.56777954101562,93.75713348388672,11.8121337890625,19.0,,,2.337,0.182
23.0,25.0,2.1546666989194327,25.0,82.08567810058594,139.2351837158203,89.0354995727539,11.516807556152344,0.0,59.0,29.0,0.78,-0.086
23.0,58.0,2.1434627802134694,20.0,77.55369567871094,130.10040283203125,105.44444274902344,12.429946899414062,19.0,,,0.831,-0.079
24.0,25.0,2.1507991232263652,25.0,82.73877716064453,138.34609985351562,92.9337158203125,11.133584976196289,0.0,59.0,29.0,1.998,-0.077
24.0,58.0,2.1359456751415844,20.0,77.81671905517578,129.48133850097656,109.60073852539062,12.358660697937012,19.0,,,2.438,0.182
25.0,25.0,2.144462996939876,25.0,83.68207550048828,137.32534790039062,102.92210388183594,11.681304931640625,0.0,59.0,29.0,0.78,-0.001
25.0,58.0,2.1247487805229963,20.0,78.08124542236328,130.38531494140625,121.79000091552734,13.344206809997559,19.0,,,,
26.0,25.0,2.144462996939876,25.0,83.93244934082031,137.1640625,106.8244857788086,11.926816940307617,0.0,59.0,29.0,2.231,0.089
26.0,26.0,2.1240907134176377,26.0,78.00813293457031,131.03445434570312,126.76891326904297,14.163285255432129,0.0,,,,
27.0,25.0,2.1293956304405346,25.0,83.25279998779297,138.09548950195312,117.97775268554688,12.401972770690918,0.0,59.0,29.0,1.102,-0.013
27.0,27.0,2.1527014191930087,27.0,86.19406127929688,117.82502746582031,97.63385772705078,12.619193077087402,0.0,63.0,32.0,0.844,0.089
27.0,28.0,1.7894652881079947,28.0,55.58823776245117,164.85293579101562,44.5792121887207,8.24335765838623,0.0,,,0.393,-0.189
28.0,25.0,2.130736132575226,25.0,83.1963119506836,138.055908203125,123.48894500732422,12.886353492736816,0.0,59.0,29.0,,
28.0,27.0,2.1359457417206116,27.0,85.4382553100586,118.92426300048828,101.85597229003906,13.759309768676758,0.0,63.0,32.0,2.404,0.263
28.0,28.0,1.7975951699019501,28.0,55.57022476196289,163.8623504638672,46.54592514038086,8.094942092895508,0.0,,,0.923,-0.344
29.0,27.0,2.109615833681812,27.0,84.87509155273438,120.93618774414062,113.87600708007812,16.233348846435547,0.0,63.0,32.0,0.991,0.192
29.0,28.0,1.8100279210691466,28.0,56.05390548706055,161.87901306152344,51.158836364746094,7.582597732543945,0.0,,,,
29.0,29.0,2.356194490192345,25.0,60.00000762939453,183.50001525878906,37.476661682128906,6.363960266113281,25.0,,,0.059,0.212
29.0,59.0,2.1257921071695485,25.0,93.37068176269531,122.36982727050781,98.7927017211914,13.0545072555542,25.0,60.0,31.0,0.787,-0.026
30.0,27.0,2.093199742537913,27.0,83.9013671875,122.77655029296875,118.83232879638672,16.886009216308594,0.0,63.0,32.0,,
30.0,29.0,2.44685435265304,25.0,59.28688049316406,184.84426879882812,37.77088165283203,7.298102855682373,25.0,,,1.159,0.498
30.0,30.0,1.8313987069078395,29.0,55.5871467590332,161.92324829101562,53.40058135986328,7.665464401245117,0.0,,,1.396,-0.207
30.0,59.0,2.1094204908158543,25.0,93.42668151855469,122.16350555419922,102.72718048095703,13.671832084655762,25.0,60.0,31.0,,
31.0,29.0,2.582993349944155,25.0,60.483150482177734,187.0730438232422,43.565914154052734,8.47998332977295,25.0,,,0.276,0.043
31.0,30.0,1.8797270745647505,29.0,54.83443069458008,161.08546447753906,60.38238525390625,8.087469100952148,0.0,,,,
