TimeStep,NumberOfCells
1,2
2,2
3,2
4,2
5,2
6,1
7,2
8,2
9,2
10,2
11,1
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,3
28,3
29,4
30,4
31,6
32,7
33,6
34,6
35,10
36,12
37,13
38,10
39,12
40,17
