CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
0,1,33.949623107910156,33.949623107910156,0.0,1,NaN,0.2186689113788277
1.0,2.0,33.940223693847656,33.940223693847656,-0.014,3.0,0.26,0.20749621823664555
2,3,40.60332489013672,40.60332489013672,0.0,1,NaN,0.188221506623413
3.0,4.0,41.976043701171875,41.976043701171875,0.087,6.0,0.589,0.21866896131309815
4,4,31.780315399169922,31.780315399169922,0.0,1,NaN,0.21866894466834133
5,5,36.00827407836914,36.00827407836914,0.0,1,NaN,0.04542327502655499
6.0,6.0,38.971187591552734,38.971187591552734,-0.13,2.0,0.418,0.038442593016050096
7,7,46.11829376220703,46.11829376220703,0.0,1,NaN,3.1145722211698494
8.0,7.0,25.0,25.0,-0.362,8.0,0.511,3.141592653589793
9.0,4.0,30.0,30.0,0.131,2.0,0.3,3.141592653589793
10.0,8.0,29.75372886657715,29.75372886657715,0.806,5.0,2.324,0.30970296461743607
11.0,9.0,28.14224624633789,28.14224624633789,-0.1,4.0,0.543,3.0999501352047694
12,10,32.0,32.0,0.0,1,NaN,3.141592653589793
13.0,7.0,24.16980743408203,24.16980743408203,0.106,7.0,0.631,3.0916342815429423
14.0,8.0,68.8249740600586,68.8249740600586,0.001,2.0,0.296,0.20176234918592087
15.0,11.0,17.0,17.0,-0.113,7.0,0.521,3.141592653589793
16.0,8.0,31.31096839904785,31.31096839904785,-0.436,4.0,0.357,0.26625207662846423
17.0,12.0,22.0,22.0,0.123,2.0,0.1,3.141592653589793
18.0,8.0,15.0,15.0,0.011,7.0,0.351,3.141592653589793
19.0,8.0,28.790433883666992,28.790433883666992,0.032,3.0,0.42,2.966920445065349
20.0,8.0,24.736221313476562,24.736221313476562,0.164,5.0,0.455,0.7140907602090589
21,7,23.76646614074707,23.76646614074707,0.0,1,NaN,2.736700821472359
22.0,11.0,18.91777801513672,18.91777801513672,-0.05,4.0,0.289,2.896614057551693
23.0,8.0,17.424591064453125,17.424591064453125,0.046,3.0,0.25,2.843093707546861
24.0,8.0,24.18580436706543,24.18580436706543,0.063,3.0,0.298,1.0427219092476379
25.0,8.0,18.384775161743164,18.384775161743164,0.003,2.0,0.146,0.7853981633974483
26.0,13.0,25.36490821838379,25.36490821838379,0.136,2.0,0.386,2.843093707546861
27.0,14.0,24.018516540527344,24.018516540527344,0.013,2.0,0.283,0.33929261512000675
28,7,36.24647521972656,36.24647521972656,0.0,1,NaN,2.727085744672737
29.0,4.0,30.04163360595703,46.53158950805664,0.263,7.0,0.642,0.21866894466834133
30,4,28.456912994384766,48.267032623291016,0.0,1,NaN,0.2186689113788277
31.0,7.0,23.0,23.0,-0.069,3.0,0.333,3.141592653589793
32.0,7.0,25.483423233032227,26.0,-0.123,6.0,0.371,3.141592653589793
33.0,8.0,27.434444427490234,32.88768768310547,0.376,5.0,1.407,0.32175053946722293
34.0,8.0,39.64518356323242,34.152591705322266,-0.08,4.0,0.505,0.3217505727567366
35.0,8.0,34.117496490478516,40.159584045410156,-0.281,2.0,0.282,0.34097892872224494
36.0,7.0,23.24748992919922,25.218496322631836,-0.432,3.0,2.337,3.0916342815429423
37,7,28.144268035888672,30.281082153320312,0.0,1,NaN,2.9147937272589557
38.0,8.0,31.021059036254883,71.78804779052734,-0.036,2.0,0.099,0.19424099970104866
39.0,8.0,30.785863876342773,31.021059036254883,0.079,4.0,0.476,0.21866894466834133
40.0,8.0,22.62741470336914,32.00824737548828,-0.162,3.0,0.441,0.23109064371701385
41.0,11.0,16.63536262512207,18.0,0.12,4.0,0.265,3.141592653589793
42.0,8.0,19.991968154907227,33.58280563354492,0.132,3.0,0.289,0.35299038444974756
43.0,8.0,20.240793228149414,32.88768768310547,0.245,3.0,0.316,2.819842047543543
