StepNumber,NumberOfCells
1,3
2,2
3,2
4,2
5,3
6,3
7,3
8,4
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,9
17,9
18,9
19,9
20,9
21,14
22,14
23,13
24,15
25,19
26,26
