TimeStep,CellLifeId,label,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2
36,22,1,-0.149562459906403,83.2554972544035,43.6855818157687,35,6.30822456584182,8,42,43
36,26,1,0.642489851147544,54.4296968272864,57.3804046563856,25,6.66804983136287,14,0,0
36,27,1,0.428117646619498,75.6224204649257,65.6348744185139,25,6.46780591703859,14,0,0
36,28,1,-0.0396157754415334,96.33,63.18,26,7.30505808938486,15,0,0
36,29,1,0.522261128669956,121.328841116799,67.8133065477401,26,6.70134058210997,15,0,0
36,30,10,-0.602690401592551,42.3035221475539,28.3774188164385,8,4.81204481322951,0,0,0
36,31,11,1.07288926911535,35.1519140953522,31.9795018555747,28,6.93226270663237,0,0,0
36,32,1,0.167401950902897,99.4966211833556,37.193979015813,36,7.20386014375718,9,48,49
36,33,1,0.667799766445806,127.24703690643,53.4777770118365,32,7.01407970439335,9,0,0
36,34,12,0.206767371921489,54.2380015586543,47.0667012353798,26,6.23316499314786,0,0,0
36,35,13,-0.197087501962416,72.4279070251129,53.1703205221419,29,5.78947339239842,0,46,47
36,36,1,0.0684350686099645,116.364190831728,57.1811703827701,20,5.98942456733139,13,0,0
36,37,1,0.94642896636387,132.33,68.18,22,6.4777787697535,13,0,0
36,38,1,-0.321602851776659,104.67195618022,52.7056350023142,24,5.74855141015102,12,0,0
36,39,1,-0.176097400346025,82.4175943358916,57.672267439833,22,5.85530722637219,12,0,0
37,17,1,-0.261099978766028,101.819071702303,46.9430533052,30,5.59782426077227,4,0,0
37,21,1,0.289838168519563,54.9755071316599,37.3557253475912,37,7.01306855771861,8,44,45
37,22,1,-0.159486448170541,90.19,41.96,38,6.07490136562637,8,42,43
37,26,1,0.662341819937897,51.19,56.46,28,6.75796930701571,14,0,0
37,27,1,0.447759962070918,73.8063430002849,66.644945477286,28,6.54725506848645,14,0,0
37,28,1,0.0897609856395904,94.7348202498138,63.4620129065863,30,7.16147556671617,15,0,0
37,29,1,0.545356633461044,122.395555712386,68.4369479855189,30,6.81164249300418,15,0,0
37,31,11,1.1178049663559,35.7908580631021,32.8976571458476,30,6.85630717434345,0,0,0
37,32,1,-0.00856845651265236,100.19,34.96,40,7.37552377045728,9,48,49
37,33,1,0.755341170923744,128.847231453078,53.8240188501173,34,7.12686239247747,9,0,0
37,34,12,0.093149087817442,58.6434927795094,46.4578323798652,28,6.40208315107916,0,0,0
37,35,13,-0.149452592098418,71.19,52.46,32,5.63025211529199,0,46,47
37,36,1,-0.07146797394778,114.654296424835,56.9612763744112,23,5.70672157680095,13,0,0
37,37,1,0.970687837668105,133.602637176242,68.6776339949939,25,6.40334206600581,13,0,0
37,38,1,-0.295136033372572,105.544564997772,52.481618708427,28,5.48883989794167,12,0,0
37,39,1,-0.161783645685795,80.2705394079694,57.9534707729582,25,5.5537719454842,12,0,0
38,17,1,-0.253676853711845,102.73,46.41,32,5.86588506513905,4,0,0
38,21,1,0.292589436926265,54.551418352192,36.5153179454995,39,7.17946550853007,8,44,45
38,26,1,0.701167805812805,50.8479553276194,56.5874447825478,29,6.56272316010475,14,0,0
38,27,1,0.455980660672966,73.7896570083854,66.8078296329125,28,6.94233327491711,14,0,0
38,28,1,0.129664795968447,93.8593017597987,63.9183947081056,32,7.06278557637147,15,0,0
38,29,1,0.552629274823514,122.442964055623,68.8957425377322,30,6.82663087915293,15,0,0
38,31,11,1.19935748950377,35.2981939250595,31.7729565245369,32,6.98763531618041,0,0,0
38,32,1,-0.0366661831728722,100.73,34.41,42,7.38075895602032,9,48,49
38,33,1,0.825998471922442,130.36238753197,54.2489116010835,36,7.12301734632555,9,0,0
38,34,12,0.0665239663540133,58.6967625445363,46.4088940484254,29,6.28931371999638,0,0,0
38,35,13,-0.146053885310254,70.802767587507,52.4046765389711,34,5.85277167529231,0,46,47
38,36,1,-0.0846287982910389,114.187736092294,56.9117894399901,24,5.94449024132918,13,0,0
38,37,1,0.986433831789703,133.037134139576,69.2688019141124,25,6.72445345067314,13,0,0
38,38,1,-0.298610559517838,106.582903730681,52.432126912714,28,6.0749713758255,12,0,0
38,39,1,-0.150064049110173,80.3047507310374,57.4043807522643,26,5.6005201454782,12,0,0
38,42,1,-0.176161208760605,101.047010356539,39.8378505543316,21,5.82461790387149,22,0,0
38,43,1,-0.0291647998270325,81.23,43.41,20,5.7342404397694,22,0,0
39,17,1,-0.268239436324526,104.427482877922,45.1578804999212,36,5.87394158594807,4,0,0
39,26,1,0.81270730180792,50.1969244009399,57.4837675222692,33,6.53664806350256,14,0,0
39,27,1,0.443186351202402,73.1311798455067,67.043389879897,32,6.93539559807798,14,0,0
39,28,1,0.161293620475144,90.3008927555694,64.1594694598509,36,6.78718372545988,15,0,0
39,29,1,0.507540402030184,121.712044222619,69.1981581201062,33,7.33896162974896,15,0,0
39,31,11,1.51101140572832,33.0617865861582,31.6997493131867,36,7.03801002147788,0,0,0
39,32,1,-0.0846703246766859,100.602284596553,34.138208804513,48,7.08322822370852,9,48,49
39,33,1,0.989132361194595,132.531968089678,55.0463477341358,40,7.14134477357414,9,0,0
39,34,12,0.242146147060185,53.714907135942,43.9763450344571,34,6.42799622101447,0,0,0
39,36,1,-0.263959219481978,113.912229945593,57.0268653774026,27,6.0029969887136,13,0,0
39,37,1,0.951850089848171,132.387067935978,68.5354211204115,28,6.24259697573834,13,0,0
39,38,1,-0.309054704089441,108.384231625889,52.0116101108601,32,5.83970322453084,12,0,0
39,39,1,-0.0713490528301079,78.56,56.64,29,5.67255548489492,12,0,0
39,42,1,-0.239093859438718,102.441588819889,39.1542235159822,24,5.78624238884309,22,0,0
39,43,1,-0.0432935965166333,80.581640036665,43.6395314893109,21,5.97762768688734,22,0,0
39,44,1,0.649547201036369,45.053990499713,32.6278896116258,24,6.10435072813193,21,0,0
39,45,1,-0.152981330098658,66.56,37.64,22,6.72742605167702,21,0,0
39,46,13,-0.112075533148902,77.56,50.14,19,5.64995119937859,35,0,0
39,47,13,0.0881932694870501,59.06,52.14,18,5.91812078250202,35,0,0
