TimeStep,CellId,Orientation,label,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2,InstantaneousGrowthRate,InstantaneousVelocity
1.0,0.0,1.5707963267948966,1.0,51.0,100.0,24.0,8.0,0.0,,,,
2.0,1.0,1.5707963267948966,2.0,51.0,99.5,25.0,8.0,0.0,,,,
3.0,2.0,1.6421037882399347,3.0,50.685279846191406,99.90608978271484,26.218914031982422,7.765928268432617,0.0,,,,
4.0,3.0,1.5707963267948966,4.0,51.0,99.5,27.0,8.0,0.0,,,,
5.0,4.0,1.5707963267948966,5.0,51.0,100.0,28.0,8.0,0.0,,,,
6.0,5.0,1.5707963267948966,6.0,51.0,100.0,32.0,8.0,0.0,,,,
7.0,6.0,1.5707963267948966,7.0,51.0,100.0,34.0,8.0,0.0,,,,
8.0,7.0,1.5707963267948966,8.0,51.0,100.0,38.0,8.0,0.0,,,,
9.0,8.0,1.5707963267948966,9.0,51.0,100.0,40.0,8.0,0.0,,,,
10.0,9.0,1.5707963267948966,10.0,51.0,100.5,43.0,8.0,0.0,,,,
11.0,10.0,1.480136464334201,11.0,50.094268798828125,88.03689575195312,28.337688446044922,8.148216247558594,0.0,,,,
11.0,11.0,1.5707963267948966,12.0,52.0,116.0,22.0,8.0,0.0,,,,
12.0,12.0,1.4711276561567357,13.0,50.35148239135742,88.51484680175781,29.35359764099121,8.15930461883545,0.0,,,,
12.0,13.0,1.7359450046821898,14.0,50.851356506347656,117.39189147949219,21.86506462097168,7.726752281188965,0.0,,,,
13.0,14.0,1.5208379547480455,15.0,51.09601593017578,100.92019653320312,51.98506546020508,8.689146041870117,0.0,,,,
14.0,15.0,1.4382448072292002,16.0,50.18122482299805,88.10917663574219,28.547359466552734,8.52455997467041,0.0,,,,
14.0,16.0,1.7359450046821898,17.0,51.09459686279297,117.93243408203125,22.851459503173828,8.055550575256348,0.0,,,,
15.0,17.0,1.4601391871829597,18.0,50.402435302734375,87.62196350097656,29.37479019165039,8.171934127807617,0.0,,,,
15.0,18.0,1.7681918907414147,19.0,50.71154022216797,117.94230651855469,25.49509620666504,8.040761947631836,0.0,,,,
16.0,19.0,1.8157750060567805,20.0,47.55883026123047,90.76470947265625,31.28709602355957,7.761139392852783,0.0,,,0.483,0.105
16.0,20.0,1.8281200393555723,21.0,53.23057174682617,108.32383728027344,35.42546844482422,7.73659610748291,0.0,64.0,21.0,,
17.0,19.0,1.7359450046821898,20.0,47.33783721923828,91.47297668457031,33.70178985595703,8.055550575256348,0.0,,,0.104,0.26
17.0,21.0,1.9890206756985669,21.0,50.53607177734375,117.2938232421875,19.596181869506836,7.310492992401123,20.0,,,,
17.0,64.0,1.5707963267948966,21.0,55.5,96.5,17.0,7.0,20.0,65.0,23.0,0.4,-0.123
18.0,19.0,1.6614562142227272,20.0,47.18033218383789,93.01640319824219,34.222511291503906,7.605002403259277,0.0,,,0.41,0.147
18.0,22.0,1.997423814465121,22.0,50.61301040649414,117.5513687133789,21.021188735961914,7.034649848937988,0.0,,,0.511,0.091
18.0,64.0,1.5707963267948966,21.0,56.0,95.5,19.0,6.0,20.0,65.0,23.0,0.4,-0.172
19.0,19.0,1.6447353659039612,20.0,46.947479248046875,93.95907592773438,36.270999908447266,8.0150785446167,0.0,,,0.562,0.071
19.0,22.0,2.158798926245827,22.0,51.34614562988281,117.73075866699219,23.574756622314453,6.933752059936523,0.0,,,0.271,0.1
19.0,64.0,1.5707963267948966,21.0,56.0,94.5,21.0,6.0,20.0,65.0,23.0,0.4,-0.172
20.0,19.0,1.605265427288494,20.0,46.70783615112305,94.4726791381836,39.080223083496094,7.650625705718994,0.0,,,1.54,0.082
20.0,22.0,2.2896263819008333,22.0,52.3230094909668,117.84513092041016,24.92910385131836,6.6791181564331055,0.0,,,1.661,-0.002
20.0,64.0,1.5707963267948966,21.0,56.0,93.5,23.0,6.0,20.0,65.0,23.0,2.073,0.156
21.0,19.0,1.7016237241932541,20.0,46.55173873901367,95.00680541992188,46.78099060058594,7.827270984649658,0.0,,,0.2,0.081
21.0,22.0,2.356194490192345,22.0,55.75000762939453,116.25001525878906,33.23401641845703,7.0710673332214355,0.0,,,0.564,-0.093
21.0,64.0,1.6951513272827368,21.0,55.607696533203125,94.63846588134766,33.3653450012207,6.821910381317139,20.0,65.0,23.0,0.447,0.038
22.0,19.0,1.7051177582539243,20.0,46.47345733642578,95.49641418457031,47.78190994262695,7.445835590362549,0.0,,,0.4,-0.029
22.0,22.0,2.306236118145494,22.0,56.11534881591797,115.5567398071289,36.052757263183594,8.12158203125,0.0,,,0.579,0.037
22.0,64.0,1.6951513272827368,21.0,55.91538619995117,94.67692565917969,35.59796905517578,7.194014549255371,20.0,65.0,23.0,0.666,-0.082
23.0,19.0,1.7126933779683855,20.0,46.220001220703125,95.45999145507812,49.78031921386719,7.071067810058594,0.0,,,1.066,0.082
23.0,22.0,2.3086113249427083,22.0,56.29412078857422,115.67647552490234,38.947750091552734,8.610211372375488,0.0,,,0.612,-0.028
23.0,64.0,1.7234456578429849,21.0,56.101158142089844,94.09248352050781,38.92664337158203,7.070659637451172,20.0,65.0,23.0,,
24.0,19.0,1.7681918907414147,20.0,45.88461685180664,96.07691955566406,55.10862731933594,7.256296634674072,0.0,,,,
24.0,22.0,2.2545056787093043,22.0,56.26875305175781,115.5338134765625,42.00625228881836,9.187970161437988,0.0,,,,
24.0,23.0,1.7818896600711553,21.0,53.38780212402344,105.69024658203125,20.044952392578125,5.9366583824157715,64.0,,,,
