TimeStep,NumberOfCells
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,2
12,2
13,1
14,2
15,2
16,2
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,4
25,4
26,6
27,6
28,6
29,7
30,7
31,10
32,10
33,10
34,11
35,11
36,14
37,15
38,16
39,18
40,19
