TimeStep,NumberOfCells
1,2
2,2
3,3
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,3
13,3
14,4
15,5
16,5
17,7
18,7
19,6
20,5
21,7
22,9
23,8
24,11
25,12
