CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
0,1,16.933095932006836,16.933095932006836,0.0,1,NaN,1.7359450046821898
1,2,16.54690170288086,16.54690170288086,0.0,1,NaN,2.034443917435608
2,3,18.432706832885742,18.432706832885742,0.0,1,NaN,1.8157750060567805
3,4,17.441329956054688,17.441329956054688,0.0,1,NaN,2.034443917435608
4,5,18.91777801513672,18.91777801513672,0.0,1,NaN,1.8157750060567805
5,6,18.335756301879883,18.335756301879883,0.0,1,NaN,2.034443917435608
6,7,18.04268455505371,18.04268455505371,0.0,1,NaN,1.7681918907414147
7,8,21.62395668029785,21.62395668029785,0.0,1,NaN,2.1293956304405346
8,9,18.492502212524414,18.492502212524414,0.0,1,NaN,1.92956700252212
9,10,24.40680503845215,24.40680503845215,0.0,1,NaN,2.55359012071789
10,11,19.56466293334961,19.56466293334961,0.0,1,NaN,1.9756881256228167
11,12,25.222190856933594,25.222190856933594,0.0,1,NaN,2.589937609065564
12,13,20.124608993530273,20.124608993530273,0.0,1,NaN,2.034443917435608
13,14,27.97370147705078,27.97370147705078,0.0,1,NaN,2.589937609065564
14,15,20.57182502746582,20.57182502746582,0.0,1,NaN,2.034443917435608
15,16,29.677017211914062,29.677017211914062,0.0,1,NaN,2.589937609065564
16,17,20.657207489013672,20.657207489013672,0.0,1,NaN,2.0647377410199095
17,18,38.27362060546875,38.27362060546875,0.0,1,NaN,2.57025511755517
18,19,20.124608993530273,20.124608993530273,0.0,1,NaN,2.034443917435608
19,20,41.602516174316406,41.602516174316406,0.0,1,NaN,2.55359012071789
20,21,20.191600799560547,20.191600799560547,0.0,1,NaN,2.070143092505416
21,22,44.40385818481445,44.40385818481445,0.0,1,NaN,2.5283852983711075
22.0,23.0,20.523906707763672,20.523906707763672,0.065,3.0,0.003,2.1587988596668
23.0,24.0,47.201438903808594,47.201438903808594,0.002,2.0,0.481,2.503272887714151
24,24,30.85053253173828,30.85053253173828,0.0,1,NaN,2.7430701706934473
25,25,20.80125617980957,20.80125617980957,0.0,1,NaN,2.158798926245827
26,26,34.008365631103516,34.008365631103516,0.0,1,NaN,2.736700821472359
27.0,27.0,23.23580551147461,23.23580551147461,-0.016,13.0,0.242,2.2896262487427785
28.0,28.0,37.21335220336914,37.21335220336914,-0.047,2.0,0.418,2.594803737009357
29.0,24.0,22.200002670288086,22.200002670288086,-0.153,3.0,0.771,2.2142974057293423
30.0,28.0,24.629690170288086,24.629690170288086,-0.18,5.0,0.813,2.512796285193247
31.0,29.0,25.983135223388672,25.983135223388672,0.196,3.0,0.942,1.92956700252212
32.0,24.0,17.600000381469727,17.600000381469727,0.091,6.0,0.64,2.49809150807632
33.0,29.0,21.16796112060547,21.16796112060547,0.033,5.0,0.681,1.8622531092568455
34.0,28.0,22.807893753051758,22.807893753051758,0.017,3.0,0.877,2.034443917435608
35.0,28.0,29.67646026611328,29.67646026611328,-0.098,4.0,0.831,2.55359012071789
36.0,28.0,15.808955192565918,15.808955192565918,-0.044,6.0,0.746,2.158798926245827
37.0,24.0,17.89676284790039,17.89676284790039,-0.042,5.0,0.646,2.4329663670424404
38.0,29.0,18.384777069091797,18.384777069091797,0.038,6.0,0.71,2.356194490192345
39,30,22.02050018310547,22.02050018310547,0.0,1,NaN,2.466851762962336
40.0,29.0,23.3847599029541,23.3847599029541,0.294,4.0,0.596,1.2679114207527131
41.0,28.0,22.825284957885742,22.825284957885742,-0.076,4.0,1.009,2.642245954458301
42.0,31.0,24.800004959106445,24.800004959106445,-0.161,4.0,0.9,2.49809150807632
43.0,27.0,21.920310974121094,21.920310974121094,-0.019,3.0,0.423,2.356194490192345
44.0,28.0,32.526912689208984,32.526912689208984,-0.163,3.0,0.424,2.356194490192345
45.0,28.0,33.599998474121094,33.599998474121094,-0.003,2.0,0.36,2.2142974057293423
46,28,19.400001525878906,19.400001525878906,0.0,1,NaN,2.2142974057293423
47,24,16.26345443725586,16.26345443725586,0.0,1,NaN,2.356194490192345
48.0,24.0,36.05183410644531,52.009071350097656,-0.042,3.0,0.523,2.4742865097775106
49,24,24.18580436706543,36.05183410644531,0.0,1,NaN,2.1730836562798213
50.0,27.0,22.62741470336914,22.807893753051758,0.162,3.0,0.285,2.677945096238595
51.0,28.0,19.630229949951172,41.39108657836914,0.067,6.0,0.746,2.4719537138206555
52.0,28.0,28.284271240234375,19.630229949951172,0.068,5.0,0.679,2.512796418351302
53.0,28.0,30.75529670715332,26.969451904296875,-0.047,3.0,0.484,2.5213431015006114
54.0,24.0,18.35713768005371,24.179508209228516,0.006,12.0,0.29,2.5213431015006114
55.0,28.0,24.81374740600586,34.40882873535156,-0.358,6.0,0.878,2.1962813872710654
56.0,28.0,33.23401641845703,37.443233489990234,-0.323,3.0,0.484,2.1679729169899042
57.0,29.0,20.0140380859375,38.188419342041016,0.17,7.0,0.604,1.6421037882399347
58.0,29.0,22.749473571777344,40.10923767089844,0.304,4.0,0.802,1.6332151385619023
59.0,24.0,17.679832458496094,19.799999237060547,0.148,6.0,0.731,2.49809150807632
60,29,20.610862731933594,22.83106803894043,0.0,1,NaN,1.937970174578188
61.0,28.0,20.695859909057617,31.858173370361328,0.223,6.0,0.725,2.0778948553588505
62.0,28.0,26.619312286376953,35.54399490356445,-0.445,4.0,1.05,2.5360480117755926
63,24,17.677669525146484,19.93091583251953,0.0,1,NaN,2.4149503485841635
64,28,20.60000228881836,37.2021484375,0.0,1,NaN,2.2035450925652293
