TimeStep,CellLifeId,label,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2
1,1,1,0.528094280886536,71.7566371681416,80.9695796460177,38.1509085062538,7.84654846400593,0,0,0
2,1,1,0.519499678074528,71.5614457831325,80.4825301204819,36.7662518947144,7.37457841810637,0,0,0
3,1,1,0.515386946743191,72.8225629791895,80.7902519167579,39.4900562094014,7.58973673918955,0,0,0
4,1,1,0.522652412187499,72.4816138917263,80.5102145045965,42.7752574878355,7.75767614698449,0,0,0
5,1,1,0.52805481835646,72.4249317561419,80.1273885350318,46.1004561459231,8.04072374093868,0,0,0
6,1,1,0.533503858312642,73.0433333333333,80.2841666666667,49.0188677126229,8.37228836571133,0,0,0
7,1,1,0.537868835371639,72.9290322580645,80.8511520737327,49.6078433533034,7.50686215424382,0,0,0
8,1,1,0.543016797030505,72.5456484641638,80.5473549488055,51.5601168621269,7.7513856566201,0,0,0
9,1,1,0.546595597817685,72.6571654790182,80.5696753760887,55.8294817484834,7.84034709301634,0,0,0
10,1,1,0.552965619196598,73.2717472118959,80.2263940520446,60.0066659303408,7.90665951676365,0,0,0
11,1,1,0.564776328627681,73.2560303239145,80.3376981392143,66.9628894749098,8.02381066042322,0,0,0
12,1,1,0.565803419278231,73.3381855111713,80.2389979688558,68.6788837060733,7.80342830048004,0,0,0
13,1,1,0.569220536212895,74.1418481459682,80.4440847557387,75.9629530349425,8.07526036362557,0,0,0
14,1,1,0.576659395276997,74.0532030401737,80.6959826275787,80.4468344092685,8.3577781245701,0,0,0
15,1,1,0.592729012587399,74.2186794582393,79.691309255079,85.1885418324247,7.8347027037411,0,0,0
16,1,1,0.601625777625574,73.6217208814271,79.8950682056663,87.1912007175077,8.09486877321389,0,0,0
17,1,1,0.618968603795139,75.0481927710843,80.1812048192771,92.5747022594878,8.46995122666897,0,0,0
18,1,1,0.625337367631323,74.2775077330977,79.4633230225365,94.5603197990854,9.21169536744305,0,0,0
19,1,1,0.641616390734779,74.5736137667304,79.7214149139579,98.7711859632926,10.208966162204,0,0,0
20,1,1,0.649911912416169,74.2253914988814,79.2164429530201,99.2002279982302,10.6805767722501,0,0,0
21,1,1,0.685140704983251,73.4953798767967,78.2905544147844,98.4799656282721,12.9014844201395,0,0,0
22,1,1,0.698970204605334,73.488140254383,78.4023719491234,97.7075038387143,13.9132795277819,0,0,0
23,1,1,0.746275715365554,73.7661937075879,77.8872609500308,103.83274676979,16.7464640967139,0,0,0
24,1,1,0.772833133353771,74.277682892115,78.2096498719044,107.476400825083,19.0082742380693,0,0,0
25,1,1,0.738561582862936,85.2735982966643,88.8699432221434,90.838839733013,15.2434486846569,0,0,0
25,2,2,1.38990633962159,41.3507677543186,49.3546065259117,44.7216689880445,7.96791190850607,0,0,0
26,1,1,0.76424859237853,85.1130063965885,87.9328358208955,92.8319615096608,15.7229677772912,0,0,0
26,2,2,1.39752971537211,41.6089438629876,49.7597526165557,46.3659971483379,7.99766105360083,0,0,0
27,1,1,0.818870812850798,85.5896017699115,88.033185840708,101.690755466864,18.3342370368396,0,0,0
27,2,2,1.35731429941331,42.1830985915493,52.0396126760563,43.7844111372392,11.3371506284963,0,0,0
28,1,1,0.842290628699383,85.3829755065014,88.0210160266102,106.028305256132,19.1287150865098,0,0,0
28,2,2,1.31932079606121,42.366298811545,53.3361629881154,43.1279051323302,13.6017399561891,0,0,0
29,1,1,0.746585604935803,74.6476333583772,75.8159278737791,84.4985197043829,30.8111595727718,0,0,0
29,2,2,1.26783573888906,43.3018196202532,55.4276107594937,47.0727804926822,18.52306822423,0,0,0
29,3,0,0.960817317785221,114.328571428571,119.134857142857,35.972147624937,8.77146212123067,3,3,3
30,1,1,0.743419875558078,75.643109540636,75.789222614841,90.0491124095296,35.8461390481492,0,0,0
30,2,2,1.25000786243704,44.191097467383,56.8952417498081,48.3025018745329,18.3759756960892,0,0,0
30,3,0,0.874873609723642,114.074013157895,119.158442982456,35.5942933795093,10.0063470583267,3,3,3
31,1,1,0.739915746571615,76.2603184920377,74.9655508612285,101.332091124788,39.9689306515948,0,0,0
31,2,2,1.19895150977669,45.1455119214586,58.2156381486676,53.5337762701527,26.1980251634265,0,0,0
31,3,0,0.79258576729392,112.292275574113,118.337682672234,40.49345003317,9.60906214633854,3,3,3
32,1,1,0.747012565834369,77.4569774718398,75.4555694618273,106.42158527194,40.2329926703946,0,0,0
32,2,2,1.21048223982589,45.9513749161637,58.7407780013414,56.215467793601,30.2096288344256,0,0,0
32,3,0,0.799670887795984,111.442348008386,117.866352201258,45.1956386767823,8.33716807409674,3,3,3
33,1,1,0.659063861963653,88.9025181228539,87.4021365890881,106.049441327662,10.2427566736882,0,0,0
33,2,2,0.690592616281788,54.2743764172336,74.6660997732426,38.4461127986279,9.0333378264152,0,0,0
33,3,0,0.966033015943381,116.982071713147,122.768924302789,27.3563842634724,5.82925513999503,3,3,3
33,4,3,-1.54252608134009,40.4403778040142,40.1676505312869,41.9072697186092,6.93083878468608,0,0,0
33,5,4,1.41579238370183,51.4712103407756,37.810223266745,35.539427882581,9.73256627199093,0,0,0
33,6,5,0.700274440738178,100.055309734513,105.606194690265,24.6335408512519,5.72908244233732,0,0,0
