StepNumber,NumberOfCells
1,3
2,3
3,3
4,3
5,3
6,3
7,4
8,4
9,4
10,4
11,5
12,5
13,5
14,6
15,8
16,9
17,11
18,11
19,13
20,14
21,17
22,18
23,19
24,20
25,20
26,25
27,30
