StepNumber,NumberOfCells
1,1
2,1
3,1
4,1
5,1
6,1
7,2
8,2
9,2
10,2
11,2
12,4
13,3
14,5
15,4
16,5
17,5
18,4
19,5
20,6
21,7
22,8
23,8
24,8
25,9
26,7
27,11
28,12
29,12
30,14
31,14
