StepNumber,NumberOfCells
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,2
12,2
13,2
14,2
15,2
16,3
17,4
18,4
19,4
20,4
21,8
22,8
23,8
24,8
25,8
26,13
27,13
28,15
29,16
30,16
31,23
32,28
33,31
34,31
