Channel_bacteria_img,Count_FilterObjects,Count_RunOmnipose,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05RunOmnipose,ExecutionTime_06FilterObjects,ExecutionTime_07TrackObjects,ExecutionTime_08MeasureObjectSizeShape,ExecutionTime_09MeasureObjectNeighbors,ExecutionTime_10ConvertObjectsToImage,ExecutionTime_11ConvertObjectsToImage,ExecutionTime_12Tile,ExecutionTime_13SaveImages,ExecutionTime_14SaveImages,ExecutionTime_15SaveImages,ExecutionTime_16SaveImages,FileName_bacteria_img,Frame_bacteria_img,Group_Index,Group_Length,Group_Number,Height_bacteria_img,ImageNumber,ImageSet_ImageSet,MD5Digest_bacteria_img,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05RunOmnipose,ModuleError_06FilterObjects,ModuleError_07TrackObjects,ModuleError_08MeasureObjectSizeShape,ModuleError_09MeasureObjectNeighbors,ModuleError_10ConvertObjectsToImage,ModuleError_11ConvertObjectsToImage,ModuleError_12Tile,ModuleError_13SaveImages,ModuleError_14SaveImages,ModuleError_15SaveImages,ModuleError_16SaveImages,PathName_bacteria_img,ProcessingStatus,Scaling_bacteria_img,Series_bacteria_img,TrackObjects_LostObjectCount_FilterObjects_50,TrackObjects_MergedObjectCount_FilterObjects_50,TrackObjects_NewObjectCount_FilterObjects_50,TrackObjects_SplitObjectCount_FilterObjects_50,URL_bacteria_img,Width_bacteria_img
-1,2.0,2.0,0.0,0.0,0.9000000000000021,0.0,1.7799999999999994,0.08999999999999986,0.060000000000002274,0.13999999999999702,0.019999999999999574,0.0,0.0,0.0,0.03999999999999915,0.00999999999999801,0.0,0.010000000000001563,baby15_T00.tif,0,1,25,1,169,1,b'eLs6jL/DG01OA1TQGuiVZKaBS1SYa4GhAXIFZtkLYiDKX3B4ABngMAXSwJC2AwDUPJEu',978158f7d92940ff8c948c34cfe19feb,file:/media/alireza/Transcend/ecoli_babies/done/baby15%2B%2B/modified_raw/baby15_T00.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/media/alireza/Transcend/ecoli_babies/done/baby15++/modified_raw,Done,255,0,0,0,2,0,file:/media/alireza/Transcend/ecoli_babies/done/baby15%2B%2B/modified_raw/baby15_T00.tif,188
-1,2.0,2.0,0.0,0.0,0.3000000000000007,0.0,1.7799999999999994,0.03999999999999915,0.11000000000000121,0.10000000000000142,0.009999999999999787,0.009999999999999787,0.0,0.0,0.009999999999999787,0.009999999999999787,0.0,0.0,baby15_T01.tif,0,2,25,1,169,2,b'eLs6jL/DG01OA1TQGuqVZKaBS1SYa4GhAXIFZtkLYiDKX3B4ABngMAXSwJC2AwDUiZEv',153aa7ec8bf9e5f0afb7675f353ee7bc,file:/media/alireza/Transcend/ecoli_babies/done/baby15%2B%2B/modified_raw/baby15_T01.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/media/alireza/Transcend/ecoli_babies/done/baby15++/modified_raw,Done,255,0,0,0,0,0,file:/media/alireza/Transcend/ecoli_babies/done/baby15%2B%2B/modified_raw/baby15_T01.tif,188
-1,2.0,2.0,0.0,0.0,0.1800000000000015,0.0,1.7600000000000033,0.05999999999999872,0.10000000000000142,0.10000000000000142,0.019999999999999574,0.0,0.0,0.0,0.00999999999999801,0.0,0.0,0.0,baby15_T02.tif,0,3,25,1,169,3,b'eLs6jL/DG01OA1TQGumVZKaBS1SYa4GhAXIFZtkLYiDKX3B4ABngMAXSwJC2AwDU1pEw',f57a8b2b1b3131d169845ca6662ee474,file:/media/alireza/Transcend/ecoli_babies/done/baby15%2B%2B/modified_raw/baby15_T02.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/media/alireza/Transcend/ecoli_babies/done/baby15++/modified_raw,Done,255,0,0,0,0,0,file:/media/alireza/Transcend/ecoli_babies/done/baby15%2B%2B/modified_raw/baby15_T02.tif,188
-1,2.0,2.0,0.0,0.0,0.20000000000000284,0.0,1.620000000000001,0.0400000000000027,0.120000000000001,0.09999999999999787,0.019999999999999574,0.0,0.0,0.0,0.010000000000001563,0.0,0.00999999999999801,0.0,baby15_T03.tif,0,4,25,1,169,4,b'eLs6jL/DG01OA1TQGuuVZKaBS1SYa4GhAXIFZtkLYiDKX3B4ABngMAXSwJC2AwDVI5Ex',e2ab5bb13501ae02a9cfb53964233542,file:/media/alireza/Transcend/ecoli_babies/done/baby15%2B%2B/modified_raw/baby15_T03.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/media/alireza/Transcend/ecoli_babies/done/baby15++/modified_raw,Done,255,0,0,0,0,0,file:/media/alireza/Transcend/ecoli_babies/done/baby15%2B%2B/modified_raw/baby15_T03.tif,188
-1,2.0,2.0,0.0,0.0,0.16000000000000014,0.0,1.5199999999999996,0.05000000000000071,0.10999999999999943,0.15000000000000213,0.03999999999999915,0.0,0.010000000000001563,0.0,0.00999999999999801,0.0,0.0,0.0,baby15_T04.tif,0,5,25,1,169,5,b'eLs6jL/DG01OA1TQmuiVZKaBS1SYa4GhAXIFZtkLYiDKX3B4ABngMAXSwJC2AwDVcJEy',6515a1e048ad42b179c355e7939d6e36,file:/media/alireza/Transcend/ecoli_babies/done/baby15%2B%2B/modified_raw/baby15_T04.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/media/alireza/Transcend/ecoli_babies/done/baby15++/modified_raw,Done,255,0,0,0,0,0,file:/media/alireza/Transcend/ecoli_babies/done/baby15%2B%2B/modified_raw/baby15_T04.tif,188
-1,2.0,2.0,0.0,0.0,0.13000000000000256,0.0,1.8200000000000003,0.03999999999999915,0.11999999999999744,0.10000000000000142,0.019999999999999574,0.0,0.0,0.0,0.010000000000001563,0.00999999999999801,0.0,0.0,baby15_T05.tif,0,6,25,1,169,6,b'eLs6jL/DG01OA1TQmuqVZKaBS1SYa4GhAXIFZtkLYiDKX3B4ABngMAXSwJC2AwDVvZEz',2ff9a7e5e85836e7ecb15c81edd1359f,file:/media/alireza/Transcend/ecoli_babies/done/baby15%2B%2B/modified_raw/baby15_T05.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/media/alireza/Transcend/ecoli_babies/done/baby15++/modified_raw,Done,255,0,0,0,0,0,file:/media/alireza/Transcend/ecoli_babies/done/baby15%2B%2B/modified_raw/baby15_T05.tif,188
-1,2.0,2.0,0.0,0.0,0.120000000000001,0.0,1.4899999999999949,0.030000000000001137,0.11999999999999744,0.10999999999999943,0.010000000000001563,0.00999999999999801,0.0,0.0,0.00999999999999801,0.0,0.0,0.0,baby15_T06.tif,0,7,25,1,169,7,b'eLs6jL/DG01OA1TQmumVZKaBS1SYa4GhAXIFZtkLYiDKX3B4ABngMAXSwJC2AwDWCpE0',114a891cda3c402fd5f9ca40f5e6d89b,file:/media/alireza/Transcend/ecoli_babies/done/baby15%2B%2B/modified_raw/baby15_T06.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/media/alireza/Transcend/ecoli_babies/done/baby15++/modified_raw,Done,255,0,0,0,0,0,file:/media/alireza/Transcend/ecoli_babies/done/baby15%2B%2B/modified_raw/baby15_T06.tif,188
-1,2.0,2.0,0.0,0.0,0.16999999999999815,0.0,1.5,0.05999999999999517,0.08000000000000185,0.10000000000000142,0.019999999999999574,0.010000000000001563,0.0,0.0,0.00999999999999801,0.0,0.0,0.00999999999999801,baby15_T07.tif,0,8,25,1,169,8,b'eLs6jL/DG01OA1TQmuuVZKaBS1SYa4GhAXIFZtkLYiDKX3B4ABngMAXSwJC2AwDWV5E1',6ec732ed12bf6f32119ecce2e2808814,file:/media/alireza/Transcend/ecoli_babies/done/baby15%2B%2B/modified_raw/baby15_T07.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/media/alireza/Transcend/ecoli_babies/done/baby15++/modified_raw,Done,255,0,0,0,0,0,file:/media/alireza/Transcend/ecoli_babies/done/baby15%2B%2B/modified_raw/baby15_T07.tif,188
-1,2.0,2.0,0.0,0.0,0.11000000000000298,0.0,1.4600000000000009,0.05000000000000071,0.10999999999999943,0.11999999999999744,0.010000000000001563,0.0,0.0,0.0,0.00999999999999801,0.0,0.0,0.0,baby15_T08.tif,0,9,25,1,169,9,b'eLs6jL/DG01OA1TQWuiVZKaBS1SYa4GhAXIFZtkLYiDKX3B4ABngMAXSwJC2AwDWpJE2',a3f4a8c9d4241d166169b2a0f24cd2b7,file:/media/alireza/Transcend/ecoli_babies/done/baby15%2B%2B/modified_raw/baby15_T08.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/media/alireza/Transcend/ecoli_babies/done/baby15++/modified_raw,Done,255,0,0,0,0,0,file:/media/alireza/Transcend/ecoli_babies/done/baby15%2B%2B/modified_raw/baby15_T08.tif,188
-1,2.0,2.0,0.0,0.0,0.09999999999999787,0.0,1.6600000000000037,0.09999999999999787,0.060000000000002274,0.09999999999999432,0.00999999999999801,0.00999999999999801,0.0,0.010000000000005116,0.00999999999999801,0.0,0.00999999999999801,0.0,baby15_T09.tif,0,10,25,1,169,10,b'eLs6jL/DG01OA1TQWuqVZKaBS1SYa4GhAXIFZtkLYiDKX3B4ABngMAXSwJC2AwDW8ZE3',788443d1c8fd9bb94d2c2fcfd940d618,file:/media/alireza/Transcend/ecoli_babies/done/baby15%2B%2B/modified_raw/baby15_T09.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/media/alireza/Transcend/ecoli_babies/done/baby15++/modified_raw,Done,255,0,0,0,0,0,file:/media/alireza/Transcend/ecoli_babies/done/baby15%2B%2B/modified_raw/baby15_T09.tif,188
