StepNumber,NumberOfCells
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,3
14,3
15,3
16,4
17,4
18,4
19,4
20,5
21,7
22,7
23,7
24,8
25,8
26,9
27,11
28,12
29,13
30,13
31,13
32,16
33,16
34,18
35,20
36,23
37,24
38,25
39,28
