ImageNumber,ObjectNumber,Children_FilterObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
27,6,1,111.61490683229813,69.9472049689441,0,6
27,7,1,139.23170731707316,75.59756097560975,0,7
27,8,1,180.88111888111888,78.44055944055944,0,8
27,9,1,181.64117647058825,86.53529411764706,0,9
27,10,1,158.1614906832298,84.74534161490683,0,10
28,1,1,120.6534090909091,45.67613636363637,0,1
28,2,1,116.86644951140065,56.22149837133551,0,2
28,3,1,151.40857142857143,63.1,0,3
28,4,1,141.58249158249157,65.58922558922559,0,4
28,5,1,104.70746268656717,60.89850746268657,0,5
28,6,1,113.67130919220055,71.2033426183844,0,6
28,7,1,142.14285714285714,76.81318681318682,0,7
28,8,1,183.50306748466258,79.23312883435582,0,8
28,9,1,181.7493188010899,86.46321525885558,0,9
28,10,1,163.56315789473683,87.4421052631579,0,10
29,1,1,120.90425531914893,44.712765957446805,0,1
29,2,1,141.11675126903555,56.005076142131976,0,2
29,3,1,108.4060606060606,51.593939393939394,0,3
29,4,1,140.84142394822007,65.23948220064725,0,4
29,5,1,104.91520467836257,61.32748538011696,0,5
29,6,1,126.67123287671232,62.57534246575342,0,6
29,7,1,114.51697127937337,71.62924281984334,0,7
29,8,1,162.7150837988827,70.09497206703911,0,8
29,9,1,143.76683937823833,77.93782383419689,0,9
29,10,1,181.6762402088773,86.28981723237598,0,10
29,11,1,184.97633136094674,79.67455621301775,0,11
29,12,1,166.32105263157894,88.86315789473684,0,12
30,1,1,120.02816901408451,43.35680751173709,0,1
30,2,1,141.8985507246377,54.17391304347826,0,2
30,3,1,109.04395604395604,52.08791208791209,0,3
30,4,1,131.09941520467837,55.666666666666664,0,4
30,5,1,95.82673267326733,59.945544554455445,0,5
30,6,1,130.3470588235294,65.48823529411764,0,6
30,7,1,120.32972972972973,65.92432432432433,0,7
30,8,1,149.9090909090909,73.0340909090909,0,8
30,9,1,163.6010101010101,69.36363636363636,0,9
30,10,1,116.25552825552826,73.17690417690417,0,10
30,11,1,146.26244343891403,80.24886877828054,0,11
