StepNumber,NumberOfCells
1,3
2,3
3,3
4,3
5,4
6,5
7,5
8,5
9,5
10,5
11,5
12,6
13,7
14,7
15,8
16,8
17,7
18,13
19,12
20,13
21,14
22,13
23,21
24,20
25,23
26,25
27,24
28,31
29,36
30,41
31,43
