Cell_lable,NumberOfDivision
0,4
1,12
2,2
3,0
4,9
5,2
6,0
7,1
8,4
9,3
10,2
11,3
12,1
13,2
14,1
15,0
16,1
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
