StepNumber,NumberOfCells
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,3
13,3
14,3
15,3
16,4
17,4
18,4
19,5
20,5
21,7
22,7
23,7
24,8
25,8
26,9
27,9
28,10
29,11
30,12
31,12
32,14
33,14
34,15
35,19
36,24
37,25
38,27
39,27
