StepNumber,NumberOfCells
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,2
12,2
13,2
14,2
15,2
16,2
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,4
26,6
27,6
28,5
29,6
30,7
31,10
32,10
33,10
34,10
35,11
36,12
37,14
38,16
39,16
40,18
