StepNumber,NumberOfCells
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,3
10,3
11,3
12,3
13,3
14,4
15,4
16,5
17,5
18,5
19,6
20,7
21,7
22,9
23,10
24,10
25,11
26,13
27,15
28,16
29,16
30,23
31,28
32,30
33,28
34,34
35,44
36,49
