Cell_lable,NumberOfDivision
1,5
2,1
3,7
4,6
5,6
6,3
7,17
8,3
9,3
10,7
11,2
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
