TimeStep,NumberOfCells
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,2
12,2
13,2
14,2
15,2
16,2
17,3
18,4
19,4
20,4
21,4
22,5
23,6
24,6
25,6
26,8
27,8
28,10
29,14
30,15
31,15
32,16
33,17
34,21
35,24
