TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,InstantaneousGrowthRate,InstantaneousVelocity,divideFlag,Major_axis,Minor_axis,parent
1,1,-2.226182492142584,1,93.32093023255814,94.11627906976744,0.381,-0.137,False,25.34650710187401,10.871215590295838,0
2,1,-2.2422283807251406,1,92.9409282700422,93.52742616033755,0.26,-0.088,False,27.24956310740189,11.16773649195183,0
3,1,-2.2538555686291772,1,92.65853658536584,93.1869918699187,0.222,-0.004,False,28.548729332528,11.097879442025311,0
4,1,-2.249226744155104,1,92.61023622047244,93.20866141732284,0.309,-0.077,False,29.65728705895557,11.041578838417283,0
5,1,-2.2562775935176855,1,92.3925925925926,92.88148148148149,0.409,-0.084,False,31.200481135387683,11.185403062319423,0
6,1,-2.26597889514284,1,92.0979020979021,92.5804195804196,1.17,-0.258,False,33.24467997995418,11.122465739674965,0
7,1,-2.2696002200481034,1,91.31454005934718,91.540059347181,0.511,-0.088,False,39.09232362591973,11.205021651204992,0
8,1,-2.273040531763692,1,91.03641456582632,91.19887955182072,0.524,-0.05,False,41.64780729258124,11.16514325519042,0
9,1,-2.290098907518084,1,90.88772845953002,90.99738903394255,0.667,0.076,False,44.26919540126869,11.294075142065882,0
10,1,-2.306808162293049,1,91.17848410757946,91.24449877750612,,,True,47.6064571682257,11.25706015869102,0
11,2,-2.2114798218103844,1,84.1588785046729,83.77570093457943,1.164,0.139,False,24.694829024445617,11.15831448394547,1
11,3,-2.396966852723236,1,99.5964125560538,99.77578475336324,1.216,1.248,False,25.43690429287029,11.32765408220764,1
12,2,-2.2666757625044043,1,84.47328244274809,84.44656488549619,0.468,-0.273,False,30.51553864720447,11.111361396950327,1
12,3,-2.42714740847015,1,104.4375,103.75735294117646,0.359,0.169,False,31.516034661389902,11.22888947652658,1
13,2,-2.294143734651129,1,83.48591549295774,83.50352112676056,0.392,-0.302,False,32.85615133248295,11.20447989892585,1
13,3,-2.4124905914096106,1,105.11379310344827,104.27241379310344,0.689,0.21,False,33.313326694775014,11.303957640759055,1
14,2,-2.279365839770245,1,82.51333333333334,82.34,0.571,-0.261,False,34.81675977385045,11.174709291023085,1
14,3,-2.4082417239147484,1,105.84952978056428,105.01880877742948,0.61,0.234,False,36.7584757916879,11.294635612203662,1
15,2,-2.2560433127206867,1,81.74922600619195,81.25696594427245,0.597,-0.26,False,37.6703708509282,11.166400673868134,1
15,3,-2.4090340907882415,1,106.65606936416184,105.86416184971098,0.771,0.356,False,39.80702600621146,11.374299349248531,1
16,2,-2.2457529218425365,1,80.97126436781609,80.19252873563218,,,True,40.65564417625779,11.239590729111129,1
16,3,-2.405463505281992,1,107.91798941798942,107.11640211640211,2.632,1.052,False,43.66306182690706,11.31211525925991,1
17,4,-1.925991083540204,1,72.65919282511211,66.92825112107623,0.463,-0.293,False,25.41192360320343,11.347235239680492,2
17,5,-2.278706871229657,1,84.96788990825688,85.48165137614679,0.407,-0.011,False,25.263217931337035,11.174399407976782,2
17,3,-2.439822465437641,1,111.95918367346938,110.51428571428572,,,True,56.82369853192964,11.442162320636172,1
18,4,-1.8311724650452958,1,72.30962343096235,65.13389121338912,0.47,-0.201,False,27.727736843858192,11.124082817954042,2
18,5,-2.2816218958802423,1,84.75641025641026,85.61111111111111,0.524,0.098,False,27.29847072117248,11.12502800580006,2
18,6,-2.470335397233929,1,104.02197802197804,103.82783882783885,0.541,0.606,False,30.935468411217887,11.51882512692327,3
18,7,-2.438634381760257,1,124.8,121.012,0.54,1.108,False,29.4012634947668,11.027755932704231,3
19,4,-1.720320897709404,1,72.13461538461539,63.823076923076925,0.394,-0.253,False,30.079586922975047,11.224834612663576,2
19,5,-2.339395580474967,1,84.94980694980696,86.11196911196912,0.529,-0.14,False,29.920886261937568,11.297557153923377,2
