StepNumber,NumberOfCells
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,4
9,4
10,4
11,4
12,4
13,6
14,6
15,6
16,7
17,8
18,10
19,10
20,10
21,13
22,13
23,19
24,19
25,21
26,25
27,27
28,35
29,36
