Channel_bacteria_img,Count_FilterObjects,Count_RunOmnipose,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05RunOmnipose,ExecutionTime_06FilterObjects,ExecutionTime_07TrackObjects,ExecutionTime_08MeasureObjectSizeShape,ExecutionTime_09MeasureObjectNeighbors,ExecutionTime_10ConvertObjectsToImage,ExecutionTime_11ConvertObjectsToImage,ExecutionTime_12Tile,ExecutionTime_13SaveImages,ExecutionTime_14SaveImages,ExecutionTime_15SaveImages,ExecutionTime_16SaveImages,FileName_bacteria_img,Frame_bacteria_img,Group_Index,Group_Length,Group_Number,Height_bacteria_img,ImageNumber,ImageSet_ImageSet,MD5Digest_bacteria_img,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05RunOmnipose,ModuleError_06FilterObjects,ModuleError_07TrackObjects,ModuleError_08MeasureObjectSizeShape,ModuleError_09MeasureObjectNeighbors,ModuleError_10ConvertObjectsToImage,ModuleError_11ConvertObjectsToImage,ModuleError_12Tile,ModuleError_13SaveImages,ModuleError_14SaveImages,ModuleError_15SaveImages,ModuleError_16SaveImages,PathName_bacteria_img,ProcessingStatus,Scaling_bacteria_img,Series_bacteria_img,TrackObjects_LostObjectCount_FilterObjects_50,TrackObjects_MergedObjectCount_FilterObjects_50,TrackObjects_NewObjectCount_FilterObjects_50,TrackObjects_SplitObjectCount_FilterObjects_50,URL_bacteria_img,Width_bacteria_img
-1,1.0,1.0,0.0,0.0,0.879999999999999,0.0,3.7200000000000006,0.07000000000000028,0.08999999999999986,0.11999999999999922,0.009999999999999787,0.0,0.0,0.0,0.03999999999999915,0.0,0.0,0.009999999999999787,baby9_T00.tif,0,1,35,1,270,1,b'eLt9rERbG01LA5LXDfRKMtPAmRrmVmBYgNyAmf1BDEQRAA4NIAMcokAaGM52AMiAkNQ=',ae8f2eb967ec1335d9f057e244e81eb7,file:/media/alireza/Transcend/ecoli_babies/done/baby9%2B%2B/modified_raw/baby9_T00.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/media/alireza/Transcend/ecoli_babies/done/baby9++/modified_raw,Done,255,0,0,0,1,0,file:/media/alireza/Transcend/ecoli_babies/done/baby9%2B%2B/modified_raw/baby9_T00.tif,234
-1,1.0,1.0,0.0,0.0,0.25,0.0,3.6000000000000014,0.08000000000000185,0.06999999999999673,0.120000000000001,0.010000000000001563,0.0,0.0,0.010000000000001563,0.019999999999999574,0.0,0.00999999999999801,0.010000000000001563,baby9_T01.tif,0,2,35,1,270,2,b'eLt9rERbG01LA5LXDfVKMtPAmRrmVmBYgNyAmf1BDEQRAA4NIAMcokAaGM52AMjNkNU=',30612b3a369c28bf23e8f8d587ef4ff7,file:/media/alireza/Transcend/ecoli_babies/done/baby9%2B%2B/modified_raw/baby9_T01.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/media/alireza/Transcend/ecoli_babies/done/baby9++/modified_raw,Done,255,0,0,0,0,0,file:/media/alireza/Transcend/ecoli_babies/done/baby9%2B%2B/modified_raw/baby9_T01.tif,234
-1,1.0,1.0,0.0,0.0,0.2199999999999953,0.0,3.8200000000000003,0.05000000000000071,0.129999999999999,0.120000000000001,0.010000000000001563,0.00999999999999801,0.0,0.0,0.019999999999999574,0.0,0.0,0.010000000000001563,baby9_T02.tif,0,3,35,1,270,3,b'eLt9rERbG01LA5LXjfRKMtPAmRrmVmBYgNyAmf1BDEQRAA4NIAMcokAaGM52AMkakNY=',09becbe049cbc1df83e37c16896fd22c,file:/media/alireza/Transcend/ecoli_babies/done/baby9%2B%2B/modified_raw/baby9_T02.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/media/alireza/Transcend/ecoli_babies/done/baby9++/modified_raw,Done,255,0,0,0,0,0,file:/media/alireza/Transcend/ecoli_babies/done/baby9%2B%2B/modified_raw/baby9_T02.tif,234
-1,1.0,1.0,0.0,0.0,0.3099999999999987,0.0,3.5299999999999976,0.05000000000000071,0.120000000000001,0.10999999999999943,0.0,0.0,0.0,0.0,0.020000000000003126,0.00999999999999801,0.0,0.0,baby9_T03.tif,0,4,35,1,270,4,b'eLt9rERbG01LA5LXjfVKMtPAmRrmVmBYgNyAmf1BDEQRAA4NIAMcokAaGM52AMlnkNc=',b39e8f1f3a78c1678d84da549a2ffe93,file:/media/alireza/Transcend/ecoli_babies/done/baby9%2B%2B/modified_raw/baby9_T03.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/media/alireza/Transcend/ecoli_babies/done/baby9++/modified_raw,Done,255,0,0,0,0,0,file:/media/alireza/Transcend/ecoli_babies/done/baby9%2B%2B/modified_raw/baby9_T03.tif,234
-1,1.0,1.0,0.0,0.0,0.25,0.0,3.59,0.04999999999999716,0.11000000000000298,0.14000000000000057,0.00999999999999801,0.010000000000001563,0.0,0.0,0.019999999999999574,0.0,0.0,0.0,baby9_T04.tif,0,5,35,1,270,5,b'eLt9rERbG01LA5LXTfRKMtPAmRrmVmBYgNyAmf1BDEQRAA4NIAMcokAaGM52AMm0kNg=',c0ebf513af0fd89d097abbe386453179,file:/media/alireza/Transcend/ecoli_babies/done/baby9%2B%2B/modified_raw/baby9_T04.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/media/alireza/Transcend/ecoli_babies/done/baby9++/modified_raw,Done,255,0,0,0,0,0,file:/media/alireza/Transcend/ecoli_babies/done/baby9%2B%2B/modified_raw/baby9_T04.tif,234
-1,1.0,1.0,0.0,0.0,0.2799999999999976,0.0,3.530000000000001,0.05000000000000426,0.13000000000000256,0.12999999999999545,0.010000000000005116,0.0,0.0,0.0,0.01999999999999602,0.010000000000005116,0.0,0.00999999999999801,baby9_T05.tif,0,6,35,1,270,6,b'eLt9rERbG01LA5LXTfVKMtPAmRrmVmBYgNyAmf1BDEQRAA4NIAMcokAaGM52AMoBkNk=',eaca3a927c2e182a6538ea6cfae3019d,file:/media/alireza/Transcend/ecoli_babies/done/baby9%2B%2B/modified_raw/baby9_T05.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/media/alireza/Transcend/ecoli_babies/done/baby9++/modified_raw,Done,255,0,0,0,0,0,file:/media/alireza/Transcend/ecoli_babies/done/baby9%2B%2B/modified_raw/baby9_T05.tif,234
-1,1.0,1.0,0.0,0.0,0.25,0.0,3.450000000000003,0.05000000000000426,0.12000000000000455,0.12999999999999545,0.010000000000005116,0.00999999999999801,0.0,0.00999999999999801,0.020000000000003126,0.00999999999999801,0.00999999999999801,0.00999999999999801,baby9_T06.tif,0,7,35,1,270,7,b'eLt9rERbG01LA5LXzfRKMtPAmRrmVmBYgNyAmf1BDEQRAA4NIAMcokAaGM52AMpOkNo=',3ec4d0c90c9a6c1cb480c3116dad2c39,file:/media/alireza/Transcend/ecoli_babies/done/baby9%2B%2B/modified_raw/baby9_T06.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/media/alireza/Transcend/ecoli_babies/done/baby9++/modified_raw,Done,255,0,0,0,0,0,file:/media/alireza/Transcend/ecoli_babies/done/baby9%2B%2B/modified_raw/baby9_T06.tif,234
-1,1.0,1.0,0.0,0.0,0.21999999999999886,0.0,4.009999999999991,0.05000000000001137,0.11999999999999744,0.12999999999999545,0.0,0.0,0.0,0.0,0.020000000000003126,0.0,0.0,0.00999999999999801,baby9_T07.tif,0,8,35,1,270,8,b'eLt9rERbG01LA5LXzfVKMtPAmRrmVmBYgNyAmf1BDEQRAA4NIAMcokAaGM52AMqbkNs=',3a57f2ddec8f14a3804b33695472d936,file:/media/alireza/Transcend/ecoli_babies/done/baby9%2B%2B/modified_raw/baby9_T07.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/media/alireza/Transcend/ecoli_babies/done/baby9++/modified_raw,Done,255,0,0,0,0,0,file:/media/alireza/Transcend/ecoli_babies/done/baby9%2B%2B/modified_raw/baby9_T07.tif,234
-1,1.0,1.0,0.0,0.0,0.11999999999999744,0.0,3.3500000000000014,0.05000000000000426,0.12000000000000455,0.11999999999999744,0.00999999999999801,0.010000000000005116,0.0,0.0,0.020000000000003126,0.0,0.0,0.0,baby9_T08.tif,0,9,35,1,270,9,b'eLt9rERbG01LA5LXLfRKMtPAmRrmVmBYgNyAmf1BDEQRAA4NIAMcokAaGM52AMrokNw=',6b6444f31e6b09b4c85a76fb55b6c661,file:/media/alireza/Transcend/ecoli_babies/done/baby9%2B%2B/modified_raw/baby9_T08.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/media/alireza/Transcend/ecoli_babies/done/baby9++/modified_raw,Done,255,0,0,0,0,0,file:/media/alireza/Transcend/ecoli_babies/done/baby9%2B%2B/modified_raw/baby9_T08.tif,234
-1,1.0,1.0,0.0,0.0,0.1600000000000037,0.0,3.759999999999998,0.04999999999999716,0.11999999999999744,0.11999999999999744,0.020000000000003126,0.00999999999999801,0.0,0.0,0.020000000000003126,0.0,0.0,0.00999999999999801,baby9_T09.tif,0,10,35,1,270,10,b'eLt9rERbG01LA5LXLfVKMtPAmRrmVmBYgNyAmf1BDEQRAA4NIAMcokAaGM52AMs1kN0=',8fc8fbb74eff0ef8ea4a98a5bc475eb8,file:/media/alireza/Transcend/ecoli_babies/done/baby9%2B%2B/modified_raw/baby9_T09.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/media/alireza/Transcend/ecoli_babies/done/baby9++/modified_raw,Done,255,0,0,0,0,0,file:/media/alireza/Transcend/ecoli_babies/done/baby9%2B%2B/modified_raw/baby9_T09.tif,234
