TimeStep,NumberOfCells
1,2
2,2
3,2
4,1
5,2
6,2
7,2
8,2
9,2
10,2
11,3
12,3
13,3
14,3
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,5
24,5
25,5
26,6
27,7
28,9
29,8
30,7
31,11
32,11
33,14
34,15
35,18
