CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
1.0,1.0,33.21345890278498,45.57024849619034,0.018,12.0,0.471,-2.68906089238483
2.0,1.0,34.976727085884505,50.55659856549633,0.204,9.0,0.806,-2.94083991949774
3.0,1.0,33.34021501985527,41.886229653655334,-0.224,6.0,0.57,-2.8459173536740163
4.0,1.0,29.492418107240663,36.36418755169629,-0.172,8.0,0.448,-2.96132285304033
5.0,1.0,27.37458450202313,37.87558020383662,-0.011,9.0,0.567,-2.8853634254004956
6.0,1.0,42.15951026481192,51.7042204249345,0.173,5.0,0.774,-2.943845645030758
7.0,1.0,29.9043694028842,37.702485380780146,0.324,6.0,0.56,-2.861703837052984
8.0,1.0,34.48288264290834,45.56909371848835,0.05,8.0,0.62,-2.838069102989237
9.0,1.0,25.60240430790463,40.61157844454623,0.936,2.0,3.002,-2.8194186413703006
10.0,1.0,34.412818822876034,48.19255594871471,0.411,8.0,0.73,-2.8788122908672076
11,1,27.233186073304623,,,1,NaN,-0.05770576724449915
12.0,1.0,24.00602159930192,34.32695518828124,-0.108,8.0,0.623,-0.8921760539203211
13.0,1.0,25.14310633271807,32.70185488187583,0.141,8.0,0.444,-2.5005678068853032
14.0,1.0,26.32375487862414,34.16025144070539,-0.235,6.0,0.571,-1.980557308708265
15.0,1.0,27.96338652616977,36.19971226408445,0.061,6.0,0.555,-2.941347321858178
16.0,1.0,30.526340089606304,60.00570538559985,0.42,5.0,2.248,-2.8087052166822515
17.0,1.0,31.96503663090136,33.27568707812814,0.116,2.0,0.262,-0.169150518560996
18,1,69.28619184787699,,,1,NaN,-2.6834341539286735
19.0,1.0,23.733610879843404,32.71734369188728,0.234,7.0,0.532,-0.2538220871918876
20.0,1.0,22.635967886862524,30.314807443817255,-0.327,7.0,0.452,-2.502610614051661
21.0,1.0,23.89783839637336,32.401534041082336,-0.195,7.0,0.515,-1.7312530462183953
22.0,1.0,22.934134792170077,29.623115218302996,-0.162,7.0,0.367,-2.735449741768275
23.0,1.0,23.98828042014149,30.731015985013162,0.06,7.0,0.369,-2.6050850986891203
24.0,1.0,27.774059828178828,34.97616967778064,-0.049,6.0,0.526,-1.8890785682131461
25.0,1.0,34.38265640395131,38.34625680929285,0.133,4.0,0.392,-2.7414850137236364
26.0,1.0,37.98743011290532,44.135198865751114,-0.021,5.0,0.581,-1.2101452926524767
27.0,1.0,35.63751373660565,38.51914706334171,0.511,3.0,0.46,-0.15692071552949893
28.0,1.0,26.0848306177617,32.23124953269586,-0.112,6.0,0.46,-2.932940880055426
29.0,1.0,33.014914761701654,39.1920864782977,0.249,6.0,0.43,-2.319390650394578
30.0,1.0,28.628811254606973,33.03042560502708,-0.147,4.0,0.418,-0.17879637507855078
31.0,1.0,25.581314513282454,31.265864992042548,0.126,5.0,0.404,-0.30985881002624677
32.0,1.0,24.332617323915827,28.480183930257972,-0.155,5.0,0.333,-0.11917784593007434
33.0,1.0,21.60736997491177,26.80842055551624,-0.091,5.0,0.4,-0.7554717445580337
34.0,1.0,24.160049614555327,28.05413650297673,0.002,5.0,0.313,-2.187223171601061
35.0,1.0,22.718283107783584,24.90857183128791,0.122,3.0,0.248,-0.22590186995614422
36.0,1.0,20.21938540278608,22.993946865764894,-0.054,3.0,0.328,-0.040864320159330864
37,1,25.227446329728643,,,1,NaN,-2.4952626773206874
38.0,1.0,24.066037919319957,24.4085799566882,-0.049,2.0,0.069,-0.1614120722149263
39.0,1.0,15.563249052268684,19.06723830967097,0.185,2.0,0.701,-0.13224722205729497
40.0,1.0,19.88903294461532,20.394803329419126,-0.164,2.0,0.101,-3.040874774335687
41,1,10.581154279161629,,,1,NaN,-2.1772494580356065
42,1,25.932690937662795,,,1,NaN,-2.8660134813844786
43,1,16.998404806045297,,,1,NaN,-2.639752630641173
44,1,29.70735298198233,,,1,NaN,-0.22958262088396206
