TimeStep,NumberOfCells
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,2
14,2
15,2
16,2
17,2
18,2
19,3
20,3
21,3
22,4
23,4
24,4
25,4
26,4
27,6
28,7
29,8
30,8
31,7
32,7
33,7
34,10
35,14
36,16
37,16
38,17
39,19
40,21
