TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,InstantaneousGrowthRate,InstantaneousVelocity,divideFlag,Major_axis,Minor_axis,parent
1,1,-1.1635303189125559,1,60.78817733990148,110.16748768472908,0.043,0.014,False,22.961069038372667,11.269074111092223,0
2,1,-1.1532387897212937,1,60.77948717948718,110.25128205128205,0.151,0.005,False,23.17544164280488,10.741858803994589,0
3,1,-1.1632538902971685,1,60.78606965174129,110.27860696517412,0.274,0.005,False,23.930215096211903,10.71463637790538,0
4,1,-1.1610613846021292,1,60.88317757009346,110.25233644859811,0.243,-0.004,False,25.30233808937488,10.819390994572624,0
5,1,-1.1723325915165173,1,60.90350877192982,110.21929824561404,0.784,-0.039,False,26.51887783699329,11.01701145836594,0
6,1,-1.2109528681832986,1,61.03137254901961,109.92549019607844,0.433,-0.017,False,30.43689196322107,10.782013576764584,0
7,1,-1.205004111199799,1,61.2029520295203,109.73062730627306,0.505,0.009,False,32.60246026685903,10.729712224886152,0
8,1,-1.1927473200925607,1,61.12286689419796,109.82935153583618,0.557,-0.026,False,35.12754788028621,10.770794827076326,0
9,1,-1.1670630175767753,1,61.325806451612905,109.56774193548388,0.731,-0.033,False,37.91191704509468,10.6322037792808,0
10,1,-1.152604641436113,1,61.44444444444444,109.30930930930931,,,True,41.56774171492243,10.557823400169523,0
11,2,-1.0730127402193494,1,66.68518518518519,99.03703703703704,0.582,0.546,False,26.91769882959671,10.294559539458028,1
11,3,-1.31343100598607,1,56.41089108910891,120.45544554455444,0.474,-0.636,False,25.17973160203033,10.265800744479447,1
12,2,-1.3781875982722742,1,66.10169491525424,102.69067796610167,0.631,0.194,False,29.830145591592316,10.200945186613437,1
12,3,-1.6024719564501229,1,55.43913043478261,117.4,0.63,-0.206,False,27.54727550827288,10.65945507902285,1
13,2,-1.4446720261028914,1,65.87209302325581,103.98837209302326,0.774,0.195,False,32.98550916296851,10.069641759744066,1
13,3,-1.509906215014051,1,55.4349593495935,116.26422764227642,0.654,-0.127,False,30.69859332516545,10.286398655966766,1
14,2,-1.4488775339155842,1,65.82116788321167,105.17153284671532,0.79,0.265,False,36.85395726472889,9.64102423163848,1
14,3,-1.4773415529013192,1,55.80377358490566,115.38490566037736,0.703,-0.209,False,33.96636719406168,10.113756182028135,1
15,2,-1.4349191492902966,1,65.64,106.84333333333332,,,True,40.80545833227992,9.667553595134072,1
15,3,-1.456616641925752,1,55.83093525179856,114.21223021582732,,,True,37.47900099761529,9.659811540042549,1
16,4,-1.463864443483871,1,67.90710382513662,96.18579234972678,0.487,-0.065,False,25.058575517569103,9.402379458962386,2
