Cell_lable,NumberOfDivision
0,0
1,7
2,1
3,2
4,3
5,1
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
