TimeStep,CellLifeId,label,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2
1,1,1,0.87000645594041,53.305724725944,66.4323995127893,34.7861929504043,7.87712707770864,0,11,9
1,2,2,0.624412419111773,75.827917282127,79.9460856720827,25.9105706695951,8.14988061884697,0,4,3
2,1,1,0.885289958643709,53.2796208530806,67.1125592417062,35.1122174735385,7.99251970460516,0,11,9
2,2,2,0.651060291657654,75.4992469879518,80.2582831325301,25.9423938410043,8.00594493492783,0,4,3
3,1,1,0.884774385303503,53.6601830663616,66.9159038901602,36.6096026194881,7.83760571627037,0,11,9
3,2,2,0.708248756827865,75.7103004291845,79.585121602289,26.9858920840808,8.27697969253188,0,4,3
4,1,1,0.886409495455058,54.1573348264278,67.4048152295633,37.959190885109,7.73769475280951,0,11,9
4,2,2,0.712335374593186,75.9909217877095,79.4364525139665,28.2521050603511,8.25664232973958,0,4,3
5,1,1,0.905118693024515,54.2876787678768,68.0533553355336,40.0973274233734,7.6392856039892,0,11,9
5,2,2,0.770469223747908,75.1708443271768,78.6701846965699,30.0104398711375,8.25533541640496,0,4,3
6,1,1,0.912341308384788,54.1162280701754,68.1776315789474,42.8824639990933,7.29828215158901,0,11,9
6,2,2,0.792004956903998,74.5542168674699,78.4170013386881,32.8318231367029,7.91159721422652,0,4,3
7,1,1,0.913293000515104,54.8853305785124,69.3254132231405,48.7611609254648,6.91072952243838,0,11,9
7,2,2,0.816128490918385,74.4316730523627,78.0236270753512,34.3169179862175,8.04880916697154,0,4,3
8,1,1,0.900594919842191,54.838905775076,68.8500506585613,48.761618178121,7.07028189529446,0,11,9
8,2,2,0.814156571154525,74.3411689961881,77.4027954256671,35.0014509296988,8.13529134144722,0,4,3
9,1,1,0.898870647836123,55.5654936461388,70.1950146627566,51.6115095927761,7.33337755205837,0,11,9
9,2,2,0.822425135414723,73.8199513381995,77.1429440389294,37.7291400194755,8.15541167232766,0,4,3
10,1,1,0.901260877061495,55.6674733785092,70.8717328170378,56.2522625594892,6.9323236795264,0,11,9
10,2,2,0.808077779340962,73.4149700598802,76.997005988024,40.6426717930312,7.49169823370281,0,4,3
11,1,1,0.880642219970498,57.3009883198562,72.4164420485175,59.3989196059923,7.07288261925944,0,11,9
11,3,2,0.784974268602006,66.5492424242424,69.2159090909091,19.2398490270793,6.23281310183005,2,5,0
11,4,2,0.741860051983258,79.2421307506053,82.4007263922518,18.5904898604812,7.16745426011973,2,0,5
12,1,1,0.872067657322456,58.02045256745,73.2380330722367,59.4169140799284,7.45541602904881,0,11,9
12,5,2,0.777855878336405,72.7760047281324,75.3971631205674,45.4543057757459,6.49759537297761,4,7,6
13,1,1,0.846281963155972,59.185303514377,74.6417731629393,55.8021994892213,9.44990527136239,0,11,9
13,5,2,0.766211662922099,71.9994232987313,74.8650519031142,46.9280740606898,6.32992526418508,4,7,6
14,1,1,0.838095905085931,59.9873076923077,75.2688461538462,55.4930167231625,10.5236912209328,0,11,9
14,5,2,0.765187277788502,71.9832775919732,74.6326644370123,48.1607697532022,6.38420982750452,4,7,6
15,1,1,0.811915954639914,62.1970354302241,77.3333333333333,55.7191483732135,13.8353407311874,0,11,9
15,6,2,0.819321491635981,63.7710970464135,66.7647679324894,24.4615223164066,5.99621617659428,5,8,0
