TimeStep,NumberOfCells
1,2
2,2
3,2
4,2
5,2
6,3
7,3
8,3
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,9
17,8
18,8
19,8
20,8
21,13
22,13
23,13
24,14
25,18
26,24
