TimeStep,NumberOfCells
1,4
2,4
3,4
4,4
5,4
6,4
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,6
15,7
16,9
17,9
18,9
19,11
20,12
21,14
22,16
23,18
24,18
25,19
26,25
27,26
28,28
29,31
30,32
