CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
0,1,23.4759464263916,23.4759464263916,0.0,1,NaN,0.1418970678182456
1.0,2.0,23.536956787109375,23.536956787109375,-0.067,9.0,0.259,0.21866894466834133
2,3,17.439130783081055,17.439130783081055,0.0,1,NaN,0.35877067572722365
3.0,4.0,15.504340171813965,15.504340171813965,0.042,9.0,0.322,3.0172376780690877
4,5,23.97081756591797,23.97081756591797,0.0,1,NaN,0.21866894466834133
5,6,18.375459671020508,18.375459671020508,0.0,1,NaN,0.3587707090167373
6,7,25.48062515258789,25.48062515258789,0.0,1,NaN,0.2310906770065275
7,8,18.75522804260254,18.75522804260254,0.0,1,NaN,0.3805063312800144
8,9,25.938703536987305,25.938703536987305,0.0,1,NaN,0.2310906770065275
9,10,19.606117248535156,19.606117248535156,0.0,1,NaN,0.3217505727567366
10.0,11.0,26.899377822875977,26.899377822875977,-0.061,2.0,0.565,0.21866896131309815
11.0,12.0,21.819713592529297,21.819713592529297,0.01,10.0,0.031,0.32175053946722293
12.0,11.0,16.5028018951416,16.5028018951416,0.191,6.0,0.384,0.3587707090167373
13,13,18.8271484375,18.8271484375,0.0,1,NaN,0.19739556394651794
14,14,31.557167053222656,31.557167053222656,0.0,1,NaN,0.2573237125606759
15,15,32.5119743347168,32.5119743347168,0.0,1,NaN,2.83870774754761
16,16,25.399253845214844,25.399253845214844,0.0,1,NaN,0.11065722283572099
17,17,36.13840866088867,36.13840866088867,0.0,1,NaN,0.2551823978861977
18,18,39.53330612182617,39.53330612182617,0.0,1,NaN,2.896614057551693
19,19,27.341794967651367,27.341794967651367,0.0,1,NaN,0.09065988742783065
20.0,20.0,38.32062911987305,38.32062911987305,-0.023,2.0,0.44,0.24497867926188402
21,21,43.1608772277832,43.1608772277832,0.0,1,NaN,2.932569661744962
22,22,30.145509719848633,30.145509719848633,0.0,1,NaN,0.08314123439356214
23,23,30.785863876342773,30.785863876342773,0.0,1,NaN,0.5880025328719031
24,24,45.67269515991211,45.67269515991211,0.0,1,NaN,3.003586580637451
25,20,20.57182502746582,20.57182502746582,0.0,1,NaN,0.4636475906407117
26,25,32.18040466308594,32.18040466308594,0.0,1,NaN,0.04164258496405126
27.0,26.0,33.55936050415039,33.55936050415039,0.019,2.0,0.306,0.5880025994509304
28,27,49.3481330871582,49.3481330871582,0.0,1,NaN,3.0466409738743803
29.0,27.0,27.65237808227539,27.65237808227539,-0.676,5.0,0.88,0.19739556394651794
30,28,35.11076736450195,35.11076736450195,0.0,1,NaN,3.1093457675305682
31,29,21.46625328063965,21.46625328063965,0.0,1,NaN,0.4636475906407117
32,30,23.0,23.0,0.0,1,NaN,3.141592653589793
33.0,26.0,22.360679626464844,22.360679626464844,-0.36,10.0,0.698,0.4636475906407117
34,31,19.733802795410156,19.733802795410156,0.0,1,NaN,0.26625207662846423
35.0,32.0,25.431934356689453,25.431934356689453,-0.039,2.0,0.1,2.907849534716574
