TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,InstantaneousGrowthRate,InstantaneousVelocity,divideFlag,Major_axis,Minor_axis,parent
25,2,-1.36588752510707,1,46.70938215102975,96.8741418764302,,,True,68.46011396581841,8.626060925846996,1
25,6,-1.4877228455999294,1,56.96341463414634,84.03048780487805,1.994,-0.803,False,24.538607847570603,8.727078571545345,4
25,5,-0.9805079720940421,1,57.36201780415431,112.98516320474778,,,True,51.905473630576616,9.692314451097804,3
25,7,-1.2553550470318744,1,52.95890410958904,106.18493150684932,1.221,0.337,False,24.92667591836885,7.6930164123457825,4
26,8,-1.4085879169239228,1,50.88235294117647,77.6470588235294,0.661,-0.069,False,44.39700722085233,8.944612672013655,2
26,6,-1.4382274859386588,1,57.9634703196347,78.40639269406392,0.9,-0.155,False,34.50771388215954,8.37349959295702,4
26,9,-1.460149438736921,1,64.45205479452055,92.9771689497717,0.778,-0.156,False,31.51118067197443,9.005599884841756,5
26,7,-1.1661509456197376,1,52.61497326203209,108.22994652406418,0.421,0.077,False,31.03262299825368,8.148624742380306,4
26,10,-1.2949575485169025,1,42.29770992366412,114.62595419847328,0.519,0.285,False,40.68173668032861,8.650769937635967,2
26,11,-0.883798324808944,1,53.972093023255816,120.04651162790698,0.611,0.039,False,33.5606838808172,8.585327131938694,5
27,8,-1.3911155774635382,1,51.36893203883495,76.90938511326861,0.842,0.206,False,47.70157239985088,8.874440514144927,2
27,6,-1.4072114670817746,1,58.61290322580645,76.95161290322581,1.089,-0.033,False,39.00680001962114,8.426288066827723,4
27,9,-1.5323298202103675,1,64.92857142857143,91.69327731092436,0.661,-0.223,False,35.40163765870124,8.792338979358979,5
27,7,-1.1857129123714243,1,51.67980295566503,109.10837438423646,0.358,-0.004,False,33.13956143396188,8.252197583849734,4
27,10,-1.2666186625277178,1,41.4136690647482,116.46043165467626,0.58,0.037,False,43.27639168392788,8.827009611984826,2
27,11,-0.9314246020273179,1,53.262008733624455,120.5764192139738,0.632,0.03,False,36.61532892127467,8.604564845369438,5
28,8,-1.268205576946766,1,48.93957703927492,79.68882175226587,0.532,0.1,False,51.91384241223649,8.480878553764692,2
28,6,-1.2922458534900438,1,57.16044776119403,77.83208955223881,,,True,44.449701390950125,8.10858233701959,4
28,9,-1.6697356394871943,1,64.94252873563218,90.31417624521072,0.657,-0.763,False,38.70717859405338,8.886661096957337,5
28,7,-1.0924416680954918,1,53.23474178403756,108.33802816901408,-0.031,0.052,False,34.9273920616923,8.220911034588912,4
28,10,-1.1760650783546744,1,41.69127516778524,116.55704697986576,0.011,0.267,False,46.17497539536109,9.004806908952458,2
28,11,-0.892606206379234,1,53.41463414634146,120.67073170731707,0.694,-0.099,False,39.77349024313915,8.503867111728011,5
29,8,-1.287135459113483,1,48.54335260115607,80.51734104046243,0.683,-0.011,False,54.57599196202894,8.370998605250303,2
29,12,-1.2501622603201392,1,59.648648648648646,67.25675675675676,0.32,-0.257,False,24.656751441282577,7.893792294728823,6
29,9,-1.6038337952392427,1,65.15172413793104,85.41379310344827,0.85,-0.027,False,41.991451761804704,9.348965891499878,5
29,13,-1.310859197881636,1,54.26206896551725,88.51034482758621,0.418,-0.045,False,23.063396040402925,8.18913470239044,6
29,7,-1.0675362122432335,1,53.11650485436893,108.68446601941748,1.036,0.029,False,34.77272710218164,7.960991507386547,4
29,10,-1.165203437890957,1,40.89115646258504,118.25170068027212,0.241,0.145,False,46.23093495485638,8.898568742240942,2
29,11,-0.8850867512569321,1,53.71636363636364,119.99272727272728,0.196,0.032,False,43.245608980254566,8.777149603749196,5
30,12,-1.252914132770471,1,60.20496894409938,65.01863354037268,1.727,-0.561,False,26.256520168769004,8.03745151218584,6
30,8,-1.2812767770976763,1,48.33972602739726,80.57808219178082,,,True,57.9915704553592,8.332681830196021,2
30,9,-1.6231294487269305,1,65.66246056782335,84.85173501577287,,,True,46.24386278530689,9.636905150991792,5
30,13,-1.2921371198582543,1,54.16770186335404,88.30434782608695,1.522,-0.527,False,25.155595488438088,8.286598705300467,6
30,7,-1.0556606386638245,1,52.75757575757576,109.02164502164504,-2.938,-0.916,False,39.950842210919305,7.930688382934789,4
30,10,-1.1810008302398072,1,40.30844155844156,119.21753246753246,2.415,0.977,False,47.43560476864327,9.520978425956544,2
30,11,-0.9042376476697763,1,53.68551236749117,120.18374558303888,,,True,44.223782396683184,8.83696945447718,5
31,12,-1.033327621014281,1,65.15837104072398,55.83257918552036,0.627,-0.199,False,34.89012029028044,8.534298633517757,6
31,14,-1.2334503329500648,1,52.57476635514018,66.94392523364486,-0.115,0.058,False,35.65946564689031,7.96259671825806,8
31,15,-1.269524245078101,1,66.35643564356435,70.41584158415841,0.647,-0.323,False,30.55565224277912,8.674996072476382,9
31,13,-1.294562820241929,1,54.49484536082474,84.98969072164948,0.574,-0.432,False,32.76720929465954,7.727220151596914,6
31,16,-1.2025049323233221,1,43.25,96.25,-0.416,-0.128,False,32.72936782384255,8.493937391908291,8
31,17,-1.834467440725256,1,66.95693779904306,97.33971291866028,0.491,-0.052,False,31.5674879762463,8.63786840930417,9
31,7,-1.194476667946137,1,55.92156862745098,102.24183006535948,0.643,-0.15,False,25.25887063659357,7.922073185793676,4
31,10,-1.2147517002252386,1,38.44562334217507,124.94960212201592,0.959,0.125,False,59.51235578019208,9.670186974751587,2
31,18,-1.0380047133587302,1,52.46849315068493,125.73150684931508,0.375,0.158,False,57.56633575048692,9.237491534488848,11
31,19,-1.0879770344992659,1,45.61290322580645,124.4516129032258,0.539,0.3,False,26.816937081026296,7.4965036633061635,11
32,12,-0.963959353114727,1,68.07818930041152,50.58024691358025,0.735,-0.1,False,38.02379301313986,8.771363452172166,6
32,14,-1.2410935217846073,1,52.239234449760765,67.57416267942584,0.634,-0.147,False,35.08282296459682,7.970065544013842,8
32,15,-1.2343291859410457,1,67.38938053097345,67.15929203539822,0.736,-0.298,False,33.79194998689042,8.795496191326421,9
32,13,-1.2976480833429587,1,55.14563106796116,81.97572815533981,0.762,-0.011,False,35.63892823050869,7.589183355090558,6
32,17,-1.7599381577737574,1,66.85152838427948,97.09606986899564,0.686,-0.143,False,34.02424327254492,8.75073646694493,9
32,16,-1.1968886609195928,1,43.364102564102566,95.49743589743588,0.329,0.09,False,30.651288176897825,8.379331387630673,8
32,7,-1.1958786792391336,1,55.56804733727811,101.57988165680472,0.438,-0.021,False,28.47372073058793,7.790529200533351,4
32,10,-1.2385408405370415,1,38.31617647058823,125.6421568627451,,,True,64.30523349831469,10.006488537687371,2
32,18,-1.079323559480304,1,52.36315789473685,126.62894736842104,0.118,0.049,False,59.43937805139926,9.37381299705902,11
32,19,-1.0778836298680496,1,45.417647058823526,126.11764705882354,0.32,0.34,False,29.511588830456997,7.560402682125279,11
33,12,-0.9498937613590122,1,69.26315789473684,48.07518796992481,0.69,0.08,False,41.69808633243886,9.116397603401126,6
33,15,-1.1985888903534314,1,68.72834645669292,63.61811023622048,0.884,-0.219,False,37.471100944069846,9.00179694676769,9
33,14,-1.2385690518153223,1,52.391304347826086,66.52608695652174,0.486,-0.216,False,38.25489224072357,8.013998055291282,8
33,13,-1.2779659842940936,1,54.73706896551724,82.18103448275862,0.958,-0.264,False,39.44927889926432,7.780596893943118,6
33,17,-1.7547403094565757,1,66.796875,96.265625,0.582,-0.195,False,37.45528150782404,8.912789948700382,9
33,16,-1.2414228884069634,1,42.61057692307692,96.32692307692308,0.472,-0.061,False,32.296443936302644,8.428167879378519,8
33,7,-1.2267409830939324,1,55.38172043010753,101.56451612903226,0.403,-0.093,False,30.663861871126247,7.907838588457045,4
33,20,-1.0834864510692048,1,42.45641025641026,113.68717948717948,0.642,0.195,False,32.04856468732515,7.9917302652738735,10
33,18,-1.1305920437089956,1,52.90052356020942,126.67277486910994,0.444,0.199,False,60.02900005681259,8.895463900107412,11
33,19,-1.1126452094023562,1,44.88461538461539,128.1098901098901,0.575,0.431,False,31.11131888806178,7.6307965811752,11
33,21,-1.5864034194338554,1,34.24894514767932,141.67088607594937,0.548,0.763,False,34.319195588796724,9.260860554116505,10
34,12,-0.8623499334980936,1,72.5944055944056,43.65734265734266,,,True,45.14766482253476,9.198814406834952,6
34,15,-1.1424300664660363,1,70.36823104693141,60.12996389891697,0.768,-0.21,False,41.890189032839736,9.101102626751937,9
