CellId,label,birth_length,AverageLength,AverageVelocity,LifeHistory,GrowthRate,AverageOrientation
1.0,1.0,27.7582581081742,35.82458141490169,0.007,10.0,0.416,-1.5247690453394596
2.0,1.0,33.57227830632404,44.440004159334954,0.076,15.0,0.465,-1.5061354129136706
3.0,1.0,26.12934903174566,29.7910241131933,-0.186,6.0,0.487,-1.410940818755808
4.0,1.0,21.53422059813216,32.11257340891005,-0.09,7.0,0.665,-1.4752068780588623
5.0,1.0,22.49062545939084,35.9416677320434,-0.021,9.0,0.654,-0.9337444325564914
6.0,1.0,24.572488838537893,33.41506239576786,-0.167,5.0,0.795,-1.4241877064321666
7.0,1.0,25.656805191751587,31.306851752123013,-0.053,12.0,0.142,-1.188663479631724
8.0,1.0,44.39700722085233,51.31599689006556,0.045,5.0,0.544,-1.3272642615090773
9.0,1.0,31.51118067197443,38.77106229436813,-0.234,5.0,0.589,-1.5778356284801314
10.0,1.0,40.68173668032861,49.659604680232,0.262,7.0,0.675,-1.2195911568989057
11.0,1.0,33.5606838808172,39.483778884433754,0.0,5.0,0.427,-0.8994307064284408
12.0,1.0,24.656751441282577,35.112156011407585,-0.173,6.0,0.683,-1.0521011770127873
13.0,1.0,23.063396040402925,35.83252860015167,-0.061,12.0,0.337,-1.2638643201210742
14.0,1.0,35.65946564689031,45.60838636635103,-0.069,8.0,0.629,-1.218187286422324
15.0,1.0,30.55565224277912,41.62078841932689,-0.159,6.0,0.991,-1.1410819096258065
16.0,1.0,32.72936782384255,36.88654953835612,0.112,10.0,0.283,-1.2500290994787508
17.0,1.0,31.5674879762463,37.613244799372715,-0.085,5.0,0.524,-1.7648317838075518
18.0,1.0,57.56633575048692,60.10399834237076,0.105,5.0,0.147,-1.133260783445294
19.0,1.0,26.816937081026296,41.27839063717417,0.492,9.0,0.715,-1.3045735398992206
20.0,1.0,32.04856468732515,39.039180528626076,0.237,8.0,0.438,-1.2184380559278556
21.0,1.0,34.319195588796724,45.218865400526305,0.067,6.0,0.766,-1.664866941510135
22.0,1.0,24.42313496715059,34.82088519923567,0.169,6.0,0.626,-0.3088518966007681
23.0,1.0,24.29957113650773,36.0877451064864,0.004,6.0,0.699,-1.0022688366211097
24.0,1.0,29.919034539131893,37.5817822110611,-0.128,5.0,0.638,-1.3653638796990488
25.0,1.0,23.09035601803328,26.984435625321616,-0.238,5.0,0.332,-1.2535847922310697
26.0,1.0,30.32081066901461,36.6548003762046,0.201,5.0,0.548,-1.4767705736950922
27.0,1.0,69.13325777232409,73.93742779529524,0.022,5.0,0.301,-1.4631857361016793
28.0,1.0,22.995367093911703,28.00515794225769,-0.09,5.0,0.437,-1.1918599114970143
29.0,1.0,48.41609091937894,57.3335874435381,0.122,5.0,0.76,-1.468471516451723
30.0,1.0,34.41291730945819,40.89225991237746,0.682,4.0,0.661,-0.9980302830090123
31.0,1.0,32.63404721994729,39.150800506480664,-0.066,4.0,0.674,-0.974481984925365
32.0,1.0,33.37214190073055,34.53335734963728,-0.068,2.0,0.232,-0.8720588055099479
33.0,1.0,30.098190891165142,31.647833064665527,0.024,2.0,0.31,-1.3948440399941373
34.0,1.0,31.121806145825182,32.11139038200757,-0.185,2.0,0.198,-1.7837824899148962
35.0,1.0,29.27873237110588,29.889853010677207,0.018,2.0,0.122,-1.6869568320091128
36,1,30.6017487415079,,,1,NaN,-1.440280644502495
37,1,31.1717427476424,,,1,NaN,-1.5349680756056425
