TimeStep,NumberOfCells
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,3
17,3
18,3
19,3
20,5
21,5
22,6
23,5
24,5
25,6
26,5
27,6
28,7
29,9
30,7
31,7
32,7
33,7
34,8
35,7
36,13
37,19
38,18
39,21
