TimeStep,CellId,Orientation,label,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2,InstantaneousGrowthRate,InstantaneousVelocity
1.0,0.0,0.06656816654816047,1.0,173.00665283203125,78.90045166015625,22.217344284057617,7.383609294891357,0.0,43.0,4.0,0.371,0.027
1.0,1.0,3.141592653589793,2.0,172.0,88.5,18.0,5.0,0.0,46.0,5.0,0.2,0.089
1.0,2.0,0.04542327502655499,3.0,172.4659881591797,96.74845123291016,29.151718139648438,6.629518508911133,0.0,47.0,3.0,0.587,0.089
2.0,0.0,0.05549850445065074,1.0,172.984619140625,79.27692413330078,24.073989868164062,6.545462608337402,0.0,43.0,4.0,0.985,-0.111
2.0,1.0,3.141592653589793,2.0,172.5,88.5,19.0,5.0,0.0,46.0,5.0,0.2,-0.089
2.0,2.0,0.03702011545405471,3.0,172.9917755126953,96.721923828125,32.089111328125,6.5510640144348145,0.0,47.0,3.0,1.018,0.096
3.0,0.0,3.141592653589793,1.0,172.5,79.0,29.0,6.0,0.0,43.0,4.0,0.411,-0.164
3.0,1.0,3.141592653589793,2.0,172.0,88.5,20.0,5.0,0.0,46.0,5.0,0.0,0.046
3.0,2.0,3.0771658599727596,3.0,173.6036376953125,96.6062240600586,37.180763244628906,7.339579105377197,0.0,47.0,3.0,0.584,-0.088
4.0,0.0,0.03844258885486089,1.0,171.49114990234375,79.23043060302734,31.05396270751953,6.648930549621582,0.0,43.0,4.0,0.608,-0.242
4.0,1.0,3.141592653589793,2.0,172.0,89.0,20.0,6.0,0.0,46.0,5.0,0.0,0.0
4.0,2.0,3.1112989298740326,3.0,173.05136108398438,96.6954116821289,40.10279846191406,8.480955123901367,0.0,47.0,3.0,,
5.0,0.0,3.1016139450957962,1.0,169.9656524658203,79.6413803100586,34.09273910522461,7.91367244720459,0.0,43.0,4.0,0.239,-0.265
5.0,1.0,3.141592653589793,2.0,172.0,89.0,20.0,6.0,0.0,46.0,5.0,0.0,0.178
5.0,3.0,2.8753405936060856,3.0,183.3500213623047,96.44999694824219,21.838741302490234,7.191874980926514,2.0,51.0,6.0,0.189,-0.065
5.0,47.0,0.24497867926188402,3.0,159.7647247314453,95.4411849975586,20.130456924438477,7.276068687438965,2.0,48.0,9.0,0.464,-0.482
6.0,0.0,3.0617626688599597,1.0,168.37281799316406,79.9101791381836,35.28726577758789,8.652358055114746,0.0,43.0,4.0,,
6.0,1.0,3.141592653589793,2.0,173.0,89.0,20.0,6.0,0.0,46.0,5.0,-0.2,-0.089
6.0,3.0,2.9147937272589557,3.0,182.9072723388672,96.59832000732422,22.7857666015625,7.570270538330078,2.0,51.0,6.0,0.498,0.006
6.0,47.0,0.3217505727567366,3.0,157.84999084472656,93.94999694824219,22.45216941833496,6.957010269165039,2.0,48.0,9.0,0.339,-0.323
7.0,1.0,3.141592653589793,2.0,172.5,89.0,19.0,6.0,0.0,46.0,5.0,-0.005,-0.136
7.0,3.0,2.863292985466785,3.0,182.90567016601562,96.66980743408203,25.27433967590332,7.28010892868042,2.0,51.0,6.0,1.985,0.09
7.0,4.0,3.141592653589793,1.0,178.5,79.5,17.0,7.0,0.0,55.0,8.0,0.722,0.234
7.0,43.0,2.9441971562223026,1.0,156.75001525878906,81.25,21.768890380859375,7.8446455001831055,0.0,44.0,7.0,0.646,-0.646
7.0,47.0,0.4636475906407117,3.0,156.30003356933594,93.40001678466797,24.149534225463867,7.602630615234375,2.0,48.0,9.0,1.422,0.131
8.0,1.0,0.32175053946722293,2.0,171.5500030517578,89.35000610351562,18.973663330078125,6.640782833099365,0.0,46.0,5.0,0.024,-0.012
8.0,3.0,2.49809150807632,3.0,182.62001037597656,98.16000366210938,35.20000076293945,7.400000095367432,2.0,51.0,6.0,0.675,0.069
