TimeStep,NumberOfCells
1,3
2,3
3,3
4,3
5,4
6,4
7,5
8,5
9,5
10,5
11,5
12,5
13,7
14,8
15,8
16,8
17,8
18,13
19,13
20,13
21,13
22,14
23,20
24,24
25,24
26,24
27,25
28,32
29,36
30,41
31,43
