ImageNumber,ObjectNumber,Children_FilterObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,1,123.96296296296296,51.386243386243386,0,1
1,2,1,120.34183673469387,59.27040816326531,0,2
1,3,1,109.83850931677019,66.0,0,3
1,4,1,127.12408759124088,69.35766423357664,0,4
2,1,1,123.83582089552239,51.36318407960199,0,1
2,2,1,120.32178217821782,59.21287128712871,0,2
2,3,1,109.44047619047619,66.06547619047619,0,3
2,4,1,127.3529411764706,69.70588235294117,0,4
3,1,1,123.75121951219512,51.35121951219512,0,1
3,2,1,120.17061611374407,59.18957345971564,0,2
3,3,1,109.00574712643679,65.90229885057471,0,3
3,4,1,127.9496855345912,69.64779874213836,0,4
4,1,1,123.85909090909091,51.35,0,1
4,2,1,120.0952380952381,59.1,0,2
4,3,1,108.51295336787565,65.76165803108809,0,3
4,4,1,128.6529411764706,69.77058823529411,0,4
5,1,1,123.73542600896862,51.399103139013455,0,1
5,2,1,120.05963302752293,59.11009174311926,0,2
5,3,1,108.2156862745098,65.68627450980392,0,3
5,4,1,129.53333333333333,69.75,0,4
6,1,1,122.94252873563218,51.0919540229885,0,1
6,2,1,118.97674418604652,58.70542635658915,0,2
6,3,1,107.27727272727273,65.5,0,3
6,4,1,129.91904761904763,70.24285714285715,0,4
7,1,1,122.53928571428571,50.996428571428574,0,1
7,2,1,118.55555555555556,58.54074074074074,0,2
7,3,1,107.45739910313901,65.45739910313901,0,3
7,4,1,129.65777777777777,70.62222222222222,0,4
8,1,1,113.7410071942446,48.57553956834533,0,1
8,2,1,131.34265734265733,53.26573426573427,0,2
8,3,1,118.07342657342657,58.34265734265734,0,3
8,4,1,107.7579908675799,65.38812785388127,0,4
8,5,1,129.10878661087867,71.07531380753139,0,5
9,1,1,112.68456375838926,48.16778523489933,0,1
9,2,1,131.58552631578948,53.26973684210526,0,2
9,3,1,117.6936026936027,58.04040404040404,0,3
9,4,1,108.03964757709251,65.33480176211454,0,4
9,5,1,128.73643410852713,71.4186046511628,0,5
10,1,1,112.3841059602649,48.3046357615894,0,1
10,2,1,132.61146496815286,54.254777070063696,0,2
10,3,1,117.4812030075188,58.13157894736842,0,3
10,4,1,108.36150234741784,65.2018779342723,0,4
10,5,1,128.70220588235293,71.2279411764706,0,5
11,1,1,109.65865384615384,47.78846153846154,0,1
11,2,1,135.05853658536586,55.22439024390244,0,2
11,3,1,116.28980891719745,57.82802547770701,0,3
11,4,1,107.81777777777778,65.2311111111111,0,4
11,5,1,125.85959885386819,72.20630372492836,0,5
12,1,1,107.92727272727272,47.518181818181816,0,1
12,2,1,135.8296943231441,55.51091703056768,0,2
12,3,1,115.83976261127596,57.62611275964392,0,3
12,4,1,108.18025751072962,65.18025751072962,0,4
12,5,1,123.94638069705094,72.67560321715818,0,5
13,1,1,106.70731707317073,47.52845528455285,0,1
13,2,1,136.8,55.95102040816327,0,2
13,3,1,115.16986301369863,57.66301369863014,0,3
13,4,1,108.38914027149322,65.3393665158371,0,4
13,5,1,121.93137254901961,72.97058823529412,0,5
14,1,1,105.25746268656717,47.723880597014926,0,1
14,2,1,137.95636363636365,56.43636363636364,0,2
14,3,1,103.04591836734694,55.60204081632653,0,3
14,4,1,125.91208791208791,59.91208791208791,0,4
14,5,1,108.8695652173913,65.30434782608695,0,5
14,6,1,120.16099773242631,72.99773242630386,0,6
15,1,1,103.1067615658363,47.88612099644128,0,1
15,2,1,130.62666666666667,50.96666666666667,0,2
15,3,1,101.17857142857143,55.839285714285715,0,3
15,4,1,126.12435233160622,59.72020725388601,0,4
15,5,1,145.7972972972973,61.88513513513514,0,5
15,6,1,109.78536585365853,65.09756097560975,0,6
15,7,1,133.17872340425532,71.45531914893617,0,7
15,8,1,105.72413793103448,73.816091954023,0,8
16,1,1,128.79601990049753,47.72139303482587,0,1
16,2,1,90.70202020202021,48.07070707070707,0,2
16,3,1,115.07142857142857,48.80952380952381,0,3
16,4,1,95.00456621004567,55.36073059360731,0,4
16,5,1,123.7344398340249,60.170124481327804,0,5
16,6,1,147.43406593406593,61.54945054945055,0,6
16,7,1,107.74396135265701,64.58937198067633,0,7
16,8,1,98.08982035928143,70.85329341317366,0,8
16,9,1,133.22611464968153,71.99363057324841,0,9
17,1,1,128.75,47.495370370370374,0,1
17,2,1,115.27868852459017,48.86338797814208,0,2
17,3,1,90.11219512195122,48.18048780487805,0,3
17,4,1,96.23849372384937,55.28870292887029,0,4
17,5,1,147.91709844559585,59.20725388601036,0,5
17,6,1,126.98823529411764,61.15294117647059,0,6
17,7,1,94.02493074792244,69.5983379501385,0,7
17,8,1,106.91666666666667,64.58823529411765,0,8
17,9,1,133.2470238095238,72.16071428571429,0,9
18,1,1,130.1695652173913,48.47391304347826,0,1
18,2,1,116.725,49.285,0,2
18,3,1,89.07174887892377,48.08071748878924,0,3
18,4,1,147.35981308411215,56.0607476635514,0,4
18,5,1,95.50583657587549,54.94163424124513,0,5
18,6,1,128.3,61.714285714285715,0,6
18,7,1,90.9020618556701,68.76030927835052,0,7
18,8,1,105.71028037383178,64.28504672897196,0,8
18,9,1,134.20954907161803,72.37931034482759,0,9
19,1,1,130.54365079365078,49.00396825396825,0,1
19,2,1,117.72246696035242,49.60352422907489,0,2
19,3,1,146.97816593886463,54.80349344978166,0,3
19,4,1,87.73858921161826,48.25726141078838,0,4
19,5,1,95.4963503649635,54.88321167883212,0,5
19,6,1,89.20785219399538,67.90069284064666,0,6
19,7,1,128.97769516728624,62.479553903345725,0,7
19,8,1,105.15714285714286,63.93333333333333,0,8
19,9,1,123.66666666666667,72.78494623655914,0,9
19,10,1,147.26486486486488,71.92972972972973,0,10
20,1,1,132.2057761732852,50.59205776173285,0,1
20,2,1,120.12295081967213,51.15573770491803,0,2
20,3,1,87.64814814814815,47.54814814814815,0,3
20,4,1,147.44979919678715,54.092369477911646,0,4
20,5,1,94.85172413793103,54.38275862068966,0,5
20,6,1,75.20331950207469,62.15767634854772,0,6
20,7,1,121.21290322580646,61.380645161290325,0,7
20,8,1,103.0,63.051162790697674,0,8
20,9,1,140.23076923076923,67.23776223776224,0,9
20,10,1,101.1375,73.0,0,10
20,11,1,124.42211055276383,73.08040201005025,0,11
20,12,1,148.34928229665073,73.81818181818181,0,12
21,1,1,142.17741935483872,48.696774193548386,0,1
21,2,1,134.3343108504399,52.085043988269796,0,2
21,3,1,126.67692307692307,55.55384615384615,0,3
21,4,1,86.73623188405797,47.530434782608694,0,4
21,5,1,107.03508771929825,54.099415204678365,0,5
21,6,1,75.7427652733119,63.21221864951769,0,6
21,7,1,83.58536585365853,55.40853658536585,0,7
21,8,1,103.48695652173913,62.88695652173913,0,8
21,9,1,127.26424870466322,67.03626943005182,0,9
21,10,1,149.175,73.005,0,10
21,11,1,126.25806451612904,77.06451612903226,0,11
21,12,1,111.78834355828221,78.35889570552148,0,12
21,13,1,152.49019607843138,80.0156862745098,0,13
22,1,1,140.67246376811593,47.30724637681159,0,1
22,2,1,124.69154228855722,42.6865671641791,0,2
22,3,1,118.22727272727273,47.13131313131313,0,3
22,4,1,70.5873786407767,45.83495145631068,0,4
22,5,1,97.80952380952381,46.386243386243386,0,5
22,6,1,65.22598870056497,56.6271186440678,0,6
22,7,1,80.40217391304348,54.94565217391305,0,7
22,8,1,105.20618556701031,53.97938144329897,0,8
22,9,1,142.5195530726257,59.865921787709496,0,9
22,10,1,135.92814371257484,64.61676646706587,0,10
22,11,1,127.47945205479452,67.43835616438356,0,11
22,12,1,102.86574074074075,62.879629629629626,0,12
22,13,1,84.07100591715977,67.5266272189349,0,13
22,14,1,151.04017857142858,73.17410714285714,0,14
22,15,1,126.55272727272727,77.53454545454545,0,15
22,16,1,154.95985401459853,79.75912408759125,0,16
22,17,1,114.00275482093664,79.93112947658402,0,17
23,1,1,122.0,40.062780269058294,0,1
23,2,1,138.76315789473685,45.66842105263158,0,2
23,3,1,116.26666666666667,45.40888888888889,0,3
23,4,1,66.82959641255606,43.90582959641256,0,4
23,5,1,95.83412322274881,46.687203791469194,0,5
23,6,1,60.88383838383838,53.36363636363637,0,6
23,7,1,78.63243243243244,55.49189189189189,0,7
23,8,1,103.43835616438356,54.182648401826484,0,8
23,9,1,142.28795811518324,59.78534031413613,0,9
23,10,1,136.4262295081967,64.77595628415301,0,10
23,11,1,128.46473029045643,68.13278008298755,0,11
23,12,1,81.63297872340425,65.59042553191489,0,12
23,13,1,102.71428571428571,62.98522167487685,0,13
23,14,1,152.16666666666666,73.60975609756098,0,14
23,15,1,156.8428093645485,79.65551839464882,0,15
23,16,1,127.9042904290429,78.99009900990099,0,16
23,17,1,103.61256544502618,73.82198952879581,0,17
23,18,1,123.73148148148148,85.91203703703704,0,18
24,1,1,137.0906862745098,44.16421568627451,0,1
24,2,1,120.37179487179488,38.294871794871796,0,2
24,3,1,115.08,44.072,0,3
24,4,1,63.029535864978904,41.78902953586498,0,4
24,5,1,58.13084112149533,51.13084112149533,0,5
24,6,1,94.10729613733906,46.7038626609442,0,6
24,7,1,77.37297297297297,55.12432432432433,0,7
24,8,1,102.33333333333333,54.05907172995781,0,8
24,9,1,142.11111111111111,59.710144927536234,0,9
24,10,1,137.03381642512076,65.34299516908213,0,10
24,11,1,129.26717557251908,68.82824427480917,0,11
24,12,1,80.51941747572816,65.57766990291262,0,12
24,13,1,101.65979381443299,62.72680412371134,0,13
24,14,1,153.90804597701148,73.95785440613027,0,14
24,15,1,158.06050955414014,80.69108280254777,0,15
24,16,1,128.1820895522388,79.50149253731344,0,16
24,17,1,104.71497584541063,73.84057971014492,0,17
24,18,1,125.92672413793103,88.30172413793103,0,18
25,1,1,117.7378277153558,35.87265917602996,0,1
25,2,1,135.82102908277406,43.2751677852349,0,2
25,3,1,113.97818181818182,43.083636363636366,0,3
25,4,1,60.530534351145036,40.5,0,4
25,5,1,52.60085836909871,47.00858369098712,0,5
25,6,1,93.24358974358974,46.81623931623932,0,6
25,7,1,76.71929824561404,55.099415204678365,0,7
25,8,1,141.85531914893616,60.09361702127659,0,8
25,9,1,101.97165991902834,53.983805668016196,0,9
25,10,1,138.29017857142858,67.30803571428571,0,10
25,11,1,75.87323943661971,63.521126760563384,0,11
25,12,1,131.26334519572953,71.06405693950178,0,12
