TimeStep,CellId,Orientation,label,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2,InstantaneousGrowthRate,InstantaneousVelocity
1.0,0.0,1.7454685353193407,1.0,62.62751770019531,62.11073684692383,30.933788299560547,8.689265251159668,0.0,,,,
1.0,1.0,1.343997400464059,2.0,66.18257141113281,91.95787048339844,27.13304901123047,8.16989517211914,0.0,,,,
2.0,2.0,1.490966342065063,3.0,62.98569869995117,76.3211441040039,58.45325469970703,14.354141235351562,0.0,,,,
3.0,3.0,1.7607846077749818,4.0,61.741085052490234,65.04635620117188,37.42955017089844,8.724749565124512,0.0,,,,
3.0,4.0,1.5337761239558685,5.0,66.76301574707031,88.10137176513672,34.08774185180664,9.660043716430664,0.0,,,,
4.0,5.0,1.7681918907414147,6.0,61.76923751831055,65.15385437011719,39.223228454589844,8.629110336303711,0.0,,,,
4.0,6.0,1.5707963267948966,7.0,67.0,87.0,36.0,10.0,0.0,,,,
5.0,7.0,1.7681918907414147,8.0,61.096160888671875,67.01923370361328,43.53778076171875,8.04076099395752,0.0,,,,
5.0,8.0,1.6041173198172096,9.0,67.85238647460938,85.42841339111328,41.11050033569336,9.528042793273926,0.0,,,,
6.0,9.0,1.786154030121888,10.0,60.35881805419922,67.3597412109375,44.57106399536133,7.937313556671143,0.0,,,,
6.0,10.0,1.6020361592938537,11.0,67.8765869140625,83.94927215576172,42.13568115234375,9.49536418914795,0.0,29.0,15.0,-3.364,-1.951
7.0,10.0,1.7359450046821898,11.0,69.3243179321289,69.5540542602539,25.31744384765625,7.39795446395874,0.0,29.0,15.0,0.232,-0.194
7.0,11.0,1.7590178334183098,12.0,60.48906326293945,68.80744934082031,49.210487365722656,8.092598915100098,0.0,30.0,16.0,0.482,0.091
7.0,12.0,1.4601391871829597,13.0,67.60974884033203,95.48780822753906,21.42371940612793,7.28848123550415,0.0,,,,
8.0,10.0,1.7681918907414147,11.0,69.50000762939453,68.0,26.475679397583008,7.2562971115112305,0.0,29.0,15.0,5.967,1.36
8.0,11.0,1.7321714385756022,12.0,60.64067840576172,69.27871704101562,51.622772216796875,8.33217716217041,0.0,30.0,16.0,-5.274,2.306
8.0,13.0,1.5707963267948966,14.0,68.5,95.0,22.0,7.0,0.0,,,,
9.0,10.0,1.6172744549620965,11.0,68.8977279663086,77.94873046875,56.31121826171875,8.618589401245117,0.0,29.0,15.0,0.788,-0.079
9.0,11.0,1.5120406015611325,12.0,58.500003814697266,85.50001525878906,25.250469207763672,6.341978549957275,0.0,30.0,16.0,0.403,0.226
9.0,14.0,1.8788490969323786,15.0,62.16979217529297,55.89493179321289,28.804344177246094,7.016998291015625,0.0,,,0.175,-0.02
10.0,10.0,1.6152115454145861,11.0,69.42435455322266,76.95219421386719,60.25162887573242,9.368529319763184,0.0,29.0,15.0,,
10.0,11.0,1.4711276561567357,12.0,59.049503326416016,86.49505615234375,27.264019012451172,6.36823844909668,0.0,30.0,16.0,0.798,0.357
10.0,14.0,1.8545904291418742,15.0,62.36799240112305,55.52399826049805,29.67999839782715,6.840000152587891,0.0,,,0.661,-0.083
11.0,11.0,1.4601391871829597,12.0,59.32926940917969,88.46340942382812,31.252126693725586,6.073734283447266,0.0,30.0,16.0,0.221,0.26
11.0,14.0,1.8157750060567805,15.0,62.76470947265625,54.44117736816406,32.98484420776367,6.063390731811523,0.0,,,0.286,0.007
11.0,15.0,1.5707963267948966,11.0,69.0,94.5,31.0,8.0,10.0,35.0,17.0,0.2,0.243
11.0,29.0,1.801887003801424,11.0,71.05901336669922,59.24917984008789,36.87533187866211,7.443778038024902,10.0,,,0.323,-0.004
12.0,11.0,1.4601391871829597,12.0,59.54267883300781,89.88414764404297,32.35643768310547,6.184166431427002,0.0,30.0,16.0,9.043,-2.644
12.0,14.0,1.801887003801424,15.0,62.96885681152344,54.25737762451172,34.41315841674805,6.241322040557861,0.0,,,,
12.0,15.0,1.5707963267948966,11.0,69.0,96.0,32.0,8.0,10.0,35.0,17.0,0.862,0.318
12.0,29.0,1.784857004091992,11.0,71.47562408447266,58.71209716796875,38.492252349853516,7.010178565979004,10.0,,,0.983,-0.207
13.0,11.0,1.6563016243209867,12.0,61.06442642211914,72.24838256835938,77.57270050048828,11.614555358886719,0.0,30.0,16.0,0.824,-0.033
13.0,15.0,1.6352231661850112,11.0,68.766845703125,98.1139907836914,36.31160354614258,9.5929594039917,10.0,35.0,17.0,0.407,0.155
13.0,29.0,1.8063413238169066,11.0,72.03176879882812,56.36762237548828,43.407371520996094,7.856889724731445,10.0,,,0.483,-0.079
14.0,11.0,1.6704649807883005,12.0,60.82673645019531,72.23267364501953,81.69255828857422,11.044913291931152,0.0,30.0,16.0,,
14.0,15.0,1.6295521518972016,11.0,68.6689682006836,99.12759399414062,38.34547805786133,9.454245567321777,10.0,35.0,17.0,,
