ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_3,Neighbors_FirstClosestDistance_3,Neighbors_FirstClosestObjectNumber_3,Neighbors_NumberOfNeighbors_3,Neighbors_PercentTouching_3,Neighbors_SecondClosestDistance_3,Neighbors_SecondClosestObjectNumber_3,Number_Object_Number,Parent_RunOmnipose,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
11,1,449,1296,109,67,61,40,84.75946547884188,51.935412026726056,2.561746979542786,544,0.9830892540370417,23.90992587997897,1,0.3464506172839506,0.3903586138622002,58.304475389857735,52.32590180780452,5.0,2.473022010831763,2.23606797749979,10.73312629199899,10.677126923029826,64.33069417909472,120.22539674441617,0.8253676470588235,0.2087964045237721,0.004958793446256507,0.07459666397408089,0.06251761614165048,0.010414479676964817,0.001148256019534999,0.03298572876254099,0.041443011999428264,0.033156138290557545,0.011816584654618474,0.0030825466349687766,0.0024494137510042667,0.023682188355587847,0.020404309526446306,0.026298022668998423,0.020508549072281414,0.010089519249634055,0.00669343709666344,0.0004706869966539131,0.0025452713153911477,0.013174258310458646,0.01350511487456296,0.014229548318762894,0.01685566661278862,0.013611406297461236,0.007853816130543173,0.006664372400160004,0.0028439573399899154,0.0017327341742628107,0.0022637408520424845,84.75946547884188,51.935412026726056,0,0.0,0.0,0,0.0,0.0,0.0,0,1,1,1.585086909608595,0.15189395420169854,nan,3.9050426898412116,1,11,0.4059077033222007,10.0,1,-0.05243928306288126,0.14255488386891102
12,1,468,1479,110,68,59,39,84.32051282051282,51.861111111111114,2.7048668753935274,567,0.9848440545477172,24.410573670769317,1,0.31643002028397565,0.36970396180940013,61.48571489865457,54.62600113499065,5.0,2.4579105104429493,2.23606797749979,11.009553924374206,10.664216150622076,64.26345584919807,126.12489168102785,0.8253968253968254,0.1996903843619491,0.008650080926224367,0.06863970883383771,0.06099347755500049,0.013437915670550117,0.0028247025599638436,0.02941857099698558,0.03921915777285775,0.03279704149860501,0.014342458480290211,0.006336006557250228,0.0014970060088616275,0.020475149488777388,0.018831558068237005,0.025304707956299473,0.02059196934597752,0.012489284089160875,0.008740559917590556,0.0028081152300479337,0.0010608101569136033,0.010858199256630768,0.011899867557166882,0.013451922680869097,0.016586247080630976,0.013877578227616169,0.009861954722449212,0.008738708453891549,0.004519099134203576,0.001248120659508145,0.0008017212420222391,84.32051282051282,51.861111111111114,0,0.0,0.0,0,0.0,0.0,0.0,0,1,1,1.2820657089861922,0.44519665577738216,nan,4.3502393456185935,1,12,0.2947115335797427,11.0,1,-0.4389526583290575,-0.07430091561494123
13,1,258,384,91,52,59,40,74.37596899224806,45.627906976744185,1.744852028083232,293,0.9596472151884285,18.12445316531431,1,0.671875,0.5731145013474452,34.976727085884505,31.400636936215164,5.0,2.373812267744715,2.0,9.683113005887467,9.835690887221507,83.12473092251876,75.21320343559643,0.8805460750853242,0.33316004314571196,0.0037807197884043115,0.110047534103212,0.09515798277872739,0.013401273138747418,0.007069844532206063,0.04596774138622146,0.05153746565305604,0.046062218667667146,0.011603616341889448,0.002788429315320805,0.008147689675530758,0.02188064686200677,0.023134072346106024,0.024624537813365318,0.024673935609587423,0.008400205046061019,0.0031098954966575533,0.0009596776553588231,0.007148726235027004,0.010660441572763921,0.006118982868551994,0.011993906274302125,0.00874000639286694,0.013431322241843294,0.0041131511332245544,0.0015918084216160892,0.0036749635098690084,0.00019445951389253445,0.005542097114594035,74.37596899224806,45.627906976744185,0,0.0,24.376997104084822,2,1.0,16.666666666666668,0.0,0,1,1,10.665135493266746,11.736557661127373,nan,16.086797006745968,1,13,0.6629744559339154,12.0,1,-9.944543828264756,-6.233204134366929
13,2,251,464,110,67,81,51,95.46613545816733,57.852589641434264,1.6947359414176113,277,0.9550549968098406,17.876888032555495,1,0.540948275862069,0.5900624253967971,33.34021501985527,30.870698080866262,5.0,2.374990194679985,2.23606797749979,9.454063165900024,9.88299540861519,67.33751719599435,73.11269837220809,0.9061371841155235,0.3353443082146127,0.01733194196667106,0.12079673882565059,0.08839018566377947,0.023110967529344547,0.005448834550383585,0.041636420522933634,0.05325165442842659,0.0417085474940231,0.017850532038551015,0.009907871504742137,0.002417119561624371,0.020068710532095684,0.018248657932106647,0.025241604511954292,0.02296749132422836,0.009151440708961763,0.008594456982234542,0.0029695614505272044,0.0015294153536384266,0.005081273817634314,0.005384964264267111,0.0079056367826118,0.010608904357410418,0.013507215399383817,0.0020874856492042295,0.0021428625844152546,0.0030185740228596673,0.0011098757765031168,0.001055072563036559,95.46613545816733,57.852589641434264,0,0.0,24.376997104084822,1,1.0,15.116279069767442,0.0,0,2,2,13.719487435703327,12.653960603712973,nan,17.004199949331564,1,13,0.8068293407854593,12.0,1,11.145622637654512,5.99147853032315
14,1,263,442,93,52,59,39,75.11026615969581,45.551330798479086,1.8821693825369648,298,0.9683994007215185,18.29923496393627,1,0.5950226244343891,0.5313018101761415,37.30383713777232,33.54101966249684,4.47213595499958,2.3170447000438537,2.0,8.94427190999916,9.303744554917543,81.41296255806213,78.8700576850888,0.8825503355704698,0.29539157437855784,0.011983451556975711,0.10340943489807183,0.08377517988899526,0.014106026455770613,0.0052442792088694765,0.037632115631903766,0.05423098442118792,0.04007590813250257,0.011920508626710348,0.007404268073244217,0.002975087405819502,0.025225907411763372,0.021240763383485073,0.028658577768561722,0.02185940366783981,0.009116259372693456,0.005617377104940465,0.0041955388646367844,0.001721934128665318,0.008410813140916924,0.013281803243563562,0.009785389547727258,0.014188460730308373,0.012532814077181499,0.00516146726129801,0.0039808282537381326,0.002370394452080373,0.00243410111313192,0.00087313491954475,75.11026615969581,45.551330798479086,0,0.0,21.61658002552811,2,1.0,23.59550561797753,0.0,0,1,1,10.064822697892115,0.7382792433757547,nan,16.82507625012172,1,14,0.5982036900319724,13.0,1,0.7342971674477496,-0.07657617826509977
14,2,274,544,110,67,76,51,93.15328467153284,57.456204379562045,1.9500395646570858,318,0.9661663198400943,18.677998695187732,1,0.5036764705882353,0.5128101081250881,37.97840383725365,34.785054261852174,5.0,2.32629699525518,2.0,9.803060746521975,9.795383733743506,73.17913591440167,81.94112549695427,0.8616352201257862,0.2883203597168881,0.010853974965587595,0.10422806223317986,0.08051341766204965,0.013340108471763002,0.005957536640785283,0.0389683296797564,0.053304606625780376,0.03869824162670606,0.012515319574239575,0.002192358906698499,0.0068172258531340344,0.020695581421605953,0.025365429077497226,0.02652897110447919,0.0218989753642454,0.00879860126816778,0.006231275033436233,0.0027468740306038054,0.006187676933217449,0.012154066639397217,0.009901485284415059,0.013472731378839097,0.011951822403386105,0.01349113158720199,0.005950099419800035,0.003035716993753395,0.003936337791409055,0.004168659673934375,0.004923400958540066,93.15328467153284,57.456204379562045,0,0.0,21.61658002552811,1,1.0,21.05263157894737,0.0,0,2,2,11.57064636819798,2.346571975683947,nan,19.35077192501551,1,14,0.5979423670039822,13.0,2,-2.3128507866344847,-0.39638526187221856
15,1,272,481,97,53,60,40,78.02573529411765,45.94485294117647,2.1659004723660957,305,0.9797198686721138,18.609705966725112,1,0.5654885654885655,0.4617017322626878,42.40136229480109,37.107950630558946,4.0,2.1875488010719764,2.0,7.692073842599276,8.496050055671798,79.39803782803727,86.04163056034261,0.8918032786885246,0.2515041076020074,0.006040183071289617,0.08043425612210812,0.07866963261661905,0.006484456859185311,0.004833192835457981,0.0381069627924821,0.045357786108882935,0.041471763538162267,0.005397699448923497,0.004694526042775437,0.004046057187598512,0.024436745742817338,0.02463707043806586,0.026245862141721556,0.02499534865431217,0.004858175417644607,0.0034761541541432944,0.0036961138434344603,0.0032096239703292735,0.015971399296366044,0.013599564391473891,0.015605116137323365,0.014280933264852077,0.015867421359436185,0.003108688777804155,0.0035617435828613074,0.0017500710091218126,0.002825596048522551,0.002350448025900781,78.02573529411765,45.94485294117647,0,0.0,18.092055306058853,2,1.0,27.083333333333332,0.0,0,1,1,7.450465645472813,2.94190753603161,nan,19.766983786153332,1,15,0.37691464343142855,14.0,1,2.9154691344218406,0.3935221426973854
15,2,274,525,110,66,75,51,92.08759124087591,57.32846715328467,2.07505484119281,325,0.9721839636121061,18.677998695187732,1,0.5219047619047619,0.48191497407613915,39.980078313435556,35.73513677041127,4.47213595499958,2.2554083158988063,2.0,9.244454589256144,9.364076972704463,73.93644025587172,84.5269119345812,0.8430769230769231,0.27119902597334716,0.002944871629779323,0.0947678755831135,0.07877925982199033,0.01243879167777726,0.0054579361309727474,0.03530056951592541,0.05282803727547695,0.03815625131853705,0.010876872799834843,0.002941054177497535,0.006478877371342978,0.02493239032883883,0.02248845324015616,0.02955189091410105,0.020876017879369727,0.008353017830403455,0.005319334592241835,0.0020275766739621657,0.005653267681448902,0.010778844287668852,0.014627218612872672,0.011866970148555294,0.01588750913220822,0.011740116158413543,0.005978372990477737,0.003871254911304114,0.002414433185994927,0.0027544043764898794,0.004351233723471503,92.08759124087591,57.32846715328467,0,0.0,18.092055306058853,1,1.0,26.804123711340207,0.0,0,2,2,10.642803590615566,1.073321614019948,nan,20.42409353903546,1,15,0.521090621244686,14.0,2,-1.0656934306569354,-0.12773722627737527
16,1,294,585,99,54,60,39,78.9625850340136,46.054421768707485,2.2759731001200225,341,0.9809335047194193,19.347672370394786,1,0.5025641025641026,0.4393725039840169,44.91307633658857,39.293765408777,4.123105625617661,2.2134222706176914,2.0,8.082668448225327,8.728571768456286,78.70087583997271,91.698484809835,0.8621700879765396,0.24244328118661782,0.0008149666658783469,0.07808415219212304,0.0761933107515513,0.003258729635414714,0.001428917424699391,0.03612555001998137,0.04560759468178457,0.04021411924022391,0.0010798847740551849,0.0014939820972966842,0.0009976053819373792,0.02398037745133354,0.02498599103826402,0.02675751089731577,0.024424353421633387,0.0002932491191096269,0.001216712333985817,0.0007799101943465064,0.0005131033761983182,0.015414777436512938,0.015160621600489818,0.015770315307650398,0.015150368607623862,0.015690487153096035,0.00016833112286125334,0.0003717867270433384,0.0013128031424255314,0.00023431534432787377,0.0002129536261003616,78.9625850340136,46.054421768707485,0,0.0,17.010198751454833,2,1.0,30.76923076923077,0.0,0,1,1,6.680330055348181,0.9432352639239194,nan,20.710219050077253,1,16,0.3225620182575163,15.0,1,0.9368497398959477,0.10956882753101382
16,2,289,576,110,66,74,50,91.82698961937716,57.18339100346021,2.0615539380289882,335,0.9742474332926352,19.182445840623714,1,0.5017361111111112,0.48507098531512627,41.67917984982835,36.68787265568828,5.0,2.2910661780640966,2.0,9.126337591335389,9.397886937784312,73.91570043124028,86.5269119345812,0.8626865671641791,0.27337758427077424,0.006783080222334566,0.08766068267487565,0.08363622110826695,0.01234556570290952,0.0008531224667689833,0.03660860471970706,0.04942066022778134,0.042540224431323666,0.010516277313189243,0.004245392415289268,0.0014253726988351298,0.02278754717015207,0.02413235234113042,0.027208355122930575,0.02467762311760597,0.008740171111247697,0.005164218419693103,0.001323088341379353,0.001330985400796986,0.011949618473896317,0.01355249552703805,0.013330439421352829,0.013907723917578503,0.014998421729836963,0.006509939791960748,0.0036527773968275707,0.0027586563786177365,0.0009165409477052311,0.0011160169198182548,91.82698961937716,57.18339100346021,0,0.0,17.010198751454833,1,1.0,31.0,0.0,0,2,2,10.348601574617357,0.29826212360215587,nan,20.722355662637618,1,16,0.4993931068018426,15.0,2,-0.26060162149875055,-0.1450761498244617
