TimeStep,NumberOfCells
1,3
2,3
3,3
4,3
5,3
6,4
7,4
8,4
9,4
10,4
11,4
12,5
13,5
14,7
15,10
16,10
17,11
18,11
19,13
20,14
21,17
22,19
23,19
24,20
25,27
26,27
27,31
