TimeStep,NumberOfCells
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,3
13,4
14,4
15,5
16,6
17,7
18,7
19,7
20,8
21,9
22,11
23,12
24,13
25,12
