CellId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength,AverageOrientation
1,0.618181818181818,27,22,0.268648820095069,51.4090909090909,-0.912527068801602
2,0.55,28,24,0.460551181935629,50.5416666666667,-1.15924617306339
3,1.04,74,5,0.90908666695786,84.6,-0.924272056856978
4,0.666666666666667,33,9,1.8842135617552,45.6666666666667,-1.26162886850832
5,0.45,50,4,0.482032520571723,54.5,-0.953180134918718
6,0.6,55,4,3.8408086937688,61,-1.14152900712515
7,0.466666666666667,30,6,-0.414078915450533,36.3333333333333,-0.877767928795728
8,1.42857142857143,75,7,1.37655985844756,99.7142857142857,-1.04511489194063
9,0,1,1,NaN,NaN,NaN
10,0.457142857142857,32,7,-0.293299771247889,38.1428571428571,-1.01136631086104
11,0.75,36,12,0.435819548624229,57.75,-0.828806440310888
12,0.716666666666667,37,12,1.24664385294788,58.25,-1.18454238418312
13,0.433333333333333,37,6,3.71419476807064,43.8333333333333,-0.672768762765813
14,0,1,1,NaN,NaN,NaN
15,0.55,36,4,3.47366648108378,41.5,-1.31763773938674
16,0.542857142857143,30,7,3.31291061295841,39.5714285714286,-0.929632144191431
17,0,1,1,NaN,NaN,NaN
18,0,1,1,NaN,NaN,NaN
19,0.285714285714286,26,7,-0.781318400746046,31,-0.972041333703037
20,0.314285714285714,21,7,-0.0803957717071991,27,-0.81963986538391
21,0.5,99,2,2.42483786727592,101.5,-0.88814353412021
22,0.45,43,4,5.91957178167813,47.25,-0.865348295426455
23,0.366666666666667,28,6,2.87165566060293,33.3333333333333,-1.16651023272018
24,0.433333333333333,31,6,4.32865975065133,37.5,-0.52279120556628
25,0.28,28,5,-1.34543298419319,31.6,-0.869079232215395
26,0.36,23,5,-0.474014429510584,28.6,-0.937296660316557
27,0,1,1,NaN,NaN,NaN
28,0.4,27,5,1.94170357950516,32,-0.768530249634531
29,0.4,26,5,3.25822163968666,31.2,-0.849697782345591
30,0,1,1,NaN,NaN,NaN
31,0.4,43,4,-1.02507285757943,46.5,-1.07224353879237
32,0.7,75,4,2.2164732245082,80.75,-0.958699387306564
33,0,1,1,NaN,NaN,NaN
34,0,1,1,NaN,NaN,NaN
35,0,1,1,NaN,NaN,NaN
36,0,1,1,NaN,NaN,NaN
37,0.1,26,2,10.9782304564339,26.5,-0.495481497666163
38,0.1,30,2,15.0619959827072,30.5,-0.661285240166123
39,0,7,1,NaN,NaN,NaN
40,0.3,28,2,11.3031310112504,29.5,-0.594615762268437
41,0,31,2,15.5815979552745,31,-0.519655439871049
